,MVT_GT_Chicago IL
2017-01-01,21.0
2017-01-08,26.0
2017-01-15,61.0
2017-01-22,21.0
2017-02-05,16.0
2017-02-19,21.0
2017-02-26,33.0
2017-03-05,13.0
2017-03-12,28.0
2017-03-26,11.0
2017-04-02,10.0
2017-04-09,23.0
2017-04-16,18.0
2017-04-23,32.0
2017-04-30,30.0
2017-05-07,26.0
2017-05-14,13.0
2017-05-21,23.0
2017-05-28,22.0
2017-06-04,29.0
2017-06-11,18.0
2017-06-18,31.0
2017-06-25,23.0
2017-07-02,100.0
2017-07-09,35.0
2017-07-16,33.0
2017-07-23,28.0
2017-07-30,26.0
2017-08-06,41.0
2017-08-13,19.0
2017-08-20,26.0
2017-08-27,11.0
2017-09-10,27.0
2017-09-24,12.0
2017-10-01,17.0
2017-10-08,11.0
2017-10-15,13.0
2017-10-22,36.0
2017-10-29,35.0
2017-11-05,42.0
2017-11-12,43.0
2017-11-26,28.0
2017-12-03,10.0
2017-12-10,26.0
2017-12-17,24.0
2017-12-24,10.0
2017-12-31,46.0
2018-01-07,28.910768998289974
2018-01-14,24.693727613937668
2018-01-21,8.064575871312556
2018-01-28,22.085206921761518
2018-02-04,11.042603460880759
2018-02-11,25.932741408721768
2018-02-18,46.278934535699186
2018-02-25,35.23633107481842
2018-03-04,53.97400350961969
2018-03-11,40.32287935656278
2018-03-18,19.607179332193315
2018-03-25,21.71570002436947
2018-04-01,32.758303485250224
2018-04-08,28.910768998289974
2018-04-15,36.10583797221048
2018-04-22,11.912110358272809
2018-04-29,30.149782793074074
2018-05-06,14.890137947841012
2018-05-13,20.846193126977415
2018-05-20,21.71570002436947
2018-05-27,33.99731728003432
2018-06-03,17.36816553740921
2018-06-17,8.934082768704606
2018-06-24,21.71570002436947
2018-07-01,10.673096563488707
2018-07-15,8.064575871312556
2018-07-22,23.824220716545618
2018-07-29,17.36816553740921
2018-08-05,31.888796587858174
2018-08-12,9.803589666096657
2018-08-19,11.042603460880759
2018-08-26,11.042603460880759
2018-09-02,49.25696212526739
2018-09-09,33.99731728003432
2018-09-16,15.259644845233062
2018-09-23,39.08386556177868
2018-09-30,25.432741408721768
2018-10-07,21.71570002436947
2018-10-14,24.693727613937668
2018-10-21,28.410768998289974
2018-10-28,34.86682417742638
2018-11-04,14.890137947841012
2018-11-11,20.846193126977415
2018-11-18,30.149782793074074
2018-11-25,25.063234511329718
2018-12-02,39.08386556177868
2018-12-09,33.99731728003432
2018-12-16,53.10449661222764
2018-12-23,36.10583797221048
2018-12-30,39.95337245917073
2019-01-06,28.04126210089792
2019-01-13,34.86682417742638
2019-01-20,26.30224830611382
2019-01-27,30.149782793074074
2019-02-03,43.80090694613098
2019-02-10,28.410768998289974
2019-02-17,13.65112415305691
2019-02-24,11.912110358272809
2019-03-10,15.759644845233062
2019-03-17,30.149782793074074
2019-03-24,27.17175520350587
2019-03-31,18.73767243480126
2019-04-14,31.888796587858174
2019-04-21,45.409427638307136
2019-04-28,36.10583797221048
2019-05-05,15.759644845233062
2019-05-12,21.21570002436947
2019-05-19,17.36816553740921
2019-05-26,20.846193126977415
2019-06-02,33.127810382642274
2019-06-09,16.129151742625112
2019-06-16,25.932741408721768
2019-06-23,11.912110358272809
2019-06-30,25.063234511329718
2019-07-07,20.346193126977415
2019-07-14,32.258303485250224
2019-07-21,25.063234511329718
2019-07-28,25.063234511329718
2019-08-04,36.97534486960252
2019-08-11,51.365482817443535
2019-08-18,53.10449661222764
2019-08-25,27.67175520350587
2019-09-01,36.97534486960252
2019-09-08,14.02063105044896
2019-09-15,47.148441433091236
2019-09-22,23.824220716545618
2019-09-29,8.064575871312556
2019-10-06,44.170413843523036
2019-10-13,24.193727613937668
2019-10-20,22.954713819153568
2019-11-03,16.629151742625112
2019-11-10,20.846193126977415
2019-11-24,25.063234511329718
2019-12-01,35.73633107481842
2019-12-08,29.280275895682024
2019-12-15,57.82153799657995
2019-12-22,31.019289690466124
2019-12-29,46.278934535699186
2020-01-05,53.97400350961969
2020-01-12,31.888796587858174
2020-01-19,16.99865864001716
2020-01-26,26.30224830611382
2020-02-02,33.127810382642274
2020-02-09,26.30224830611382
2020-02-16,21.21570002436947
2020-03-01,17.86816553740921
2020-03-15,13.15112415305691
2020-04-05,15.259644845233062
2020-04-12,19.976686229585365
2020-04-26,17.36816553740921
2020-05-10,29.280275895682024
2020-05-17,16.129151742625112
2020-05-24,11.912110358272809
2020-05-31,45.909427638307136
2020-06-07,19.976686229585365
2020-06-14,18.23767243480126
2020-06-21,10.173096563488707
2020-06-28,25.063234511329718
2020-07-05,10.173096563488707
2020-07-12,39.08386556177868
2020-07-19,27.17175520350587
2020-08-02,27.17175520350587
2020-08-09,14.02063105044896
2020-08-16,25.063234511329718
2020-08-23,17.86816553740921
2020-08-30,23.824220716545618
2020-09-13,33.99731728003432
2020-09-20,31.888796587858174
2020-09-27,32.258303485250224
2020-10-04,13.15112415305691
2020-10-11,41.19238625395483
2020-10-25,29.280275895682024
2020-11-01,27.67175520350587
2020-11-08,16.99865864001716
2020-11-15,50.126469022659435
2020-11-22,28.910768998289974
2020-11-29,39.95337245917073
2020-12-06,30.149782793074074
2020-12-13,24.193727613937668
2020-12-20,48.017948330483286
2020-12-27,42.93140004873894
2021-01-03,32.758303485250224
2021-01-10,48.017948330483286
2021-01-17,71.8421690470289
2021-01-31,68.8641414574607
2021-02-07,10.673096563488707
2021-02-14,30.149782793074074
2021-02-28,22.954713819153568
2021-03-07,21.21570002436947
2021-03-14,25.932741408721768
2021-03-21,19.976686229585365
2021-04-04,24.693727613937668
2021-04-11,23.824220716545618
2021-04-18,30.649782793074074
2021-04-25,59.06055179136405
2021-05-02,22.954713819153568
2021-05-23,57.32153799657995
2021-05-30,32.258303485250224
2021-06-06,10.673096563488707
2021-06-13,34.86682417742638
2021-06-20,17.86816553740921
2021-06-27,23.824220716545618
2021-07-04,36.10583797221048
2021-07-11,45.909427638307136
2021-07-18,57.82153799657995
2021-07-25,22.085206921761518
2021-08-01,28.04126210089792
2021-08-15,25.932741408721768
2021-08-22,46.778934535699186
2021-08-29,32.758303485250224
2021-09-05,22.085206921761518
2021-09-12,19.607179332193315
2021-09-19,14.390137947841012
2021-09-26,30.149782793074074
2021-10-03,44.170413843523036
2021-10-10,32.258303485250224
2021-10-17,34.86682417742638
2021-10-24,42.06189315134688
2021-10-31,22.085206921761518
2021-11-07,29.780275895682024
2021-11-14,27.67175520350587
2021-11-21,17.86816553740921
2021-11-28,29.780275895682024
2021-12-05,23.324220716545618
2021-12-12,59.06055179136405
2021-12-19,32.758303485250224
2021-12-26,31.019289690466124
2022-01-02,28.08252420179584
2022-01-09,45.079841481830165
2022-01-16,36.95068973920505
2022-01-23,11.085206921761516
2022-01-30,13.302248306113821
2022-02-06,22.909427638307136
2022-02-13,31.777593175716348
2022-02-20,31.777593175716348
2022-02-27,69.46729670970551
2022-03-06,35.472662149636854
2022-03-13,25.86548281744354
2022-03-20,54.687020814023484
2022-03-27,33.994634560068654
2022-04-03,20.69238625395483
2022-04-10,45.079841481830165
2022-04-17,46.55786907139837
2022-04-24,39.90674491834146
2022-05-01,28.08252420179584
2022-05-08,43.601813892261966
2022-05-15,33.994634560068654
2022-05-22,62.816172556648596
2022-05-29,10.346193126977415
2022-06-05,30.299565586148145
2022-06-12,41.38477250790966
2022-06-19,45.81885527661427
2022-06-26,70.20631050448961
2022-07-03,27.343510407011742
2022-07-10,60.59913117229629
2022-07-17,35.472662149636854
2022-07-24,55.42603460880758
2022-07-31,48.77491045575067
2022-08-07,68.72828291492141
2022-08-14,53.208993224455284
2022-08-21,11.824220716545618
2022-08-28,8.129151742625112
2022-09-04,21.431400048738933
2022-09-11,41.38477250790966
2022-09-18,41.38477250790966
2022-09-25,45.079841481830165
2022-10-02,53.208993224455284
2022-10-09,36.95068973920505
2022-10-16,70.94532429927371
2022-10-23,37.68970353398916
2022-10-30,36.21167594442095
2022-11-06,25.86548281744354
2022-11-13,34.733648354852754
2022-11-20,46.55786907139837
2022-11-27,35.472662149636854
2022-12-04,29.560551791364045
2022-12-11,50.99195184010298
2022-12-18,56.16504840359168
2022-12-25,73.9013794784101
