date,Houston TX
2022-08-14,72.554
2022-08-21,57.008
2022-08-28,62.466
2022-09-04,78.236
2022-09-11,63.879
2022-09-18,88.874
2022-09-25,48.991
2022-10-02,33.634
2022-10-09,34.999
2022-10-16,36.684
2022-10-23,34.354
2022-10-30,76.316
2022-11-06,26.154
2022-11-13,58.385
2022-11-20,39.579
2022-11-27,30.86
2022-12-04,79.238
2022-12-11,17.272
2022-12-18,46.071
2022-12-25,54.123
