,MVT_GT_Dallas-Ft. Worth TX
2017-01-01,56.0
2017-01-08,41.0
2017-01-15,25.0
2017-01-22,69.0
2017-01-29,24.0
2017-02-05,24.0
2017-02-12,29.0
2017-02-26,47.0
2017-03-05,44.0
2017-03-26,41.0
2017-04-02,76.0
2017-04-09,34.0
2017-04-23,47.0
2017-04-30,25.0
2017-05-07,18.0
2017-05-14,53.0
2017-05-21,73.0
2017-05-28,42.0
2017-06-04,36.0
2017-06-11,44.0
2017-06-18,67.0
2017-06-25,40.0
2017-07-02,56.0
2017-07-09,21.0
2017-07-16,35.0
2017-07-23,50.0
2017-07-30,20.0
2017-08-06,61.0
2017-09-03,41.0
2017-09-10,31.0
2017-09-17,54.0
2017-09-24,67.0
2017-10-01,56.0
2017-10-08,39.0
2017-10-15,40.0
2017-10-22,33.0
2017-10-29,76.0
2017-11-05,22.0
2017-11-12,52.0
2017-11-19,34.0
2017-11-26,33.0
2017-12-10,68.0
2017-12-24,29.0
2018-01-07,22.146336346019236
2018-01-14,27.932920432524046
2018-01-21,35.834138153630775
2018-01-28,40.06340542283463
2018-02-04,44.79267269203847
2018-02-11,39.00608860553366
2018-02-18,22.146336346019236
2018-03-11,20.531702711417314
2018-03-18,30.04755406712597
2018-03-25,28.990237249825007
2018-04-08,35.834138153630775
2018-04-15,17.917069076815388
2018-05-06,45.84998950933944
2018-05-13,17.917069076815388
2018-05-20,26.875603615223085
2018-05-27,41.12072224013559
2018-06-10,30.54755406712597
2018-06-24,59.03779131695097
2018-07-01,65.88169222075675
2018-07-08,52.193890413145205
2018-07-15,42.67803905743655
2018-07-22,76.45486039376637
2018-07-29,36.89145497093174
2018-08-05,40.06340542283463
2018-08-12,16.35975225951443
2018-08-19,34.77682133632982
2018-08-26,31.10487088442693
2018-09-02,52.193890413145205
2018-09-09,46.907306326640395
2018-09-16,61.1524249515529
2018-09-23,57.980474499650015
2018-09-30,52.193890413145205
2018-10-07,69.05364267265963
2018-10-14,59.53779131695097
2018-10-21,27.932920432524046
