,MVT_GT_Miami-Ft. Lauderdale FL
2017-01-01,17.0
2017-01-08,25.0
2017-01-15,32.0
2017-01-22,27.0
2017-01-29,64.0
2017-02-19,19.0
2017-02-26,26.0
2017-03-05,17.0
2017-03-12,48.0
2017-03-26,46.0
2017-04-16,15.0
2017-04-23,47.0
2017-04-30,63.0
2017-05-07,32.0
2017-05-14,36.0
2017-05-21,46.0
2017-05-28,61.0
2017-06-04,26.0
2017-06-11,35.0
2017-06-18,28.0
2017-06-25,21.0
2017-07-02,31.0
2017-07-16,57.0
2017-07-23,39.0
2017-08-06,29.0
2017-08-20,42.0
2017-09-03,19.0
2017-09-10,24.0
2017-09-24,34.0
2017-10-08,45.0
2017-10-15,67.0
2017-10-22,36.0
2017-10-29,55.0
2017-11-05,70.0
2017-11-12,41.0
2017-12-03,44.0
2017-12-10,62.0
2017-12-17,19.0
2017-12-24,23.0
2018-01-07,74.99862506969195
2018-01-28,18.072248000731925
2018-02-11,27.91078026778895
2018-02-25,38.854129068228104
2018-03-18,18.072248000731925
2018-04-01,47.087844801903
2018-04-08,37.24931253484598
2018-04-15,72.7889920029277
2018-04-22,60.24082666910641
2018-05-06,20.28188106749618
2018-05-27,33.434862934699595
2018-06-03,25.201147201024693
2018-06-10,35.539679468081715
2018-07-01,21.886697600878307
2018-07-15,39.95894560161023
2018-07-22,44.87821173513875
2018-07-29,71.68417546954556
2018-08-19,31.225229867935333
2018-09-02,27.91078026778895
2018-09-09,22.991514134260438
2018-09-16,18.072248000731925
2018-10-07,100.19977227071664
2018-10-21,32.83004640131746
2018-11-11,36.64449600146385
2018-11-18,38.854129068228104
2018-11-25,59.136010135724284
2018-12-30,26.805963734406824
2019-01-06,49.79747786866726
2019-01-13,24.096330667642565
2019-01-27,15.862614933967667
2019-02-03,21.886697600878307
2019-02-10,39.45894560161023
2019-02-17,19.177064534114052
2019-02-24,29.01559680117108
2019-03-03,16.467431467349797
2019-03-10,15.862614933967667
2019-03-17,24.096330667642565
2019-03-24,20.78188106749618
2019-03-31,26.305963734406824
2019-04-28,45.983028268520876
2019-05-05,19.177064534114052
2019-05-12,20.78188106749618
2019-05-19,29.01559680117108
2019-05-26,32.83004640131746
2019-06-02,53.11192746881365
2019-06-09,50.902294402049385
2019-06-30,18.072248000731925
2019-07-14,37.24931253484598
2019-07-28,33.934862934699595
2019-08-11,26.805963734406824
2019-08-18,19.177064534114052
2019-08-25,61.345643202488546
2019-09-15,45.983028268520876
2019-10-06,29.51559680117108
2019-10-20,56.92637706896003
2019-11-10,45.983028268520876
2019-11-24,74.49862506969195
2019-12-01,33.934862934699595
2019-12-15,25.201147201024693
2019-12-29,31.725229867935333
2020-01-19,35.039679468081715
2020-01-26,20.78188106749618
2020-02-02,90.36124000365962
2020-02-09,25.201147201024693
2020-02-23,38.854129068228104
2020-03-29,44.87821173513875
2020-04-05,13.152981867203412
2020-04-19,19.177064534114052
2020-05-17,41.56376213499236
2020-06-07,37.24931253484598
2020-06-14,20.78188106749618
2020-06-21,14.25779840058554
2020-07-19,39.95894560161023
2020-07-26,26.805963734406824
2020-08-09,31.725229867935333
2020-08-30,44.87821173513875
2020-09-27,19.177064534114052
2020-10-04,36.14449600146385
2020-10-11,20.28188106749618
2020-10-18,41.06376213499236
2020-11-08,22.491514134260438
2020-11-15,39.95894560161023
2020-11-29,16.967431467349797
2020-12-13,27.91078026778895
2020-12-27,22.991514134260438
2021-01-03,24.096330667642565
2021-01-17,18.072248000731925
2021-01-24,18.072248000731925
2021-02-07,21.886697600878307
2021-02-21,33.934862934699595
2021-03-14,47.087844801903
2021-03-28,13.152981867203412
2021-04-11,19.677064534114052
2021-04-18,65.66009280263492
2021-04-25,60.24082666910641
2021-05-09,19.177064534114052
2021-05-23,58.03119360234216
2021-05-30,26.805963734406824
2021-06-06,38.854129068228104
2021-06-13,36.64449600146385
2021-06-20,19.177064534114052
2021-07-11,52.00711093543151
2021-07-25,29.01559680117108
2021-08-01,18.572248000731925
2021-08-15,48.19266133528513
2021-08-29,26.305963734406824
2021-09-12,24.596330667642565
2021-09-19,29.01559680117108
2021-09-26,21.386697600878307
2021-10-03,21.886697600878307
2021-10-10,19.677064534114052
2021-10-17,16.967431467349797
2021-10-24,30.620413334553206
2021-11-07,21.886697600878307
2021-11-14,19.677064534114052
2021-11-21,22.991514134260438
2021-12-26,53.61192746881365
2022-01-09,120.96330667642565
2022-01-23,37.498625069691954
2022-01-30,19.354129068228104
2022-02-06,16.93486293469959
2022-02-13,52.01422187086303
2022-02-20,12.096330667642565
2022-03-06,25.402294402049385
2022-03-13,21.773395201756617
2022-03-27,25.402294402049385
2022-04-03,22.983028268520876
2022-04-10,45.96605653704175
2022-04-17,36.2889920029277
2022-04-24,15.725229867935335
2022-05-01,12.096330667642565
2022-05-08,25.402294402049385
2022-05-15,72.5779840058554
2022-05-22,30.24082666910641
2022-05-29,58.06238720468431
2022-06-05,25.402294402049385
2022-06-26,27.821560535577902
2022-07-10,21.773395201756617
2022-07-17,50.80458880409877
2022-07-24,18.14449600146385
2022-07-31,22.983028268520876
2022-08-07,14.515596801171078
2022-08-14,20.56376213499236
2022-08-21,18.14449600146385
2022-08-28,22.983028268520876
2022-09-11,21.773395201756617
2022-10-09,48.38532267057026
2022-10-23,37.498625069691954
2022-10-30,21.773395201756617
2022-11-06,18.14449600146385
2022-11-13,25.402294402049385
2022-11-20,43.546790403513235
2022-12-04,39.917891203220464
2022-12-11,21.773395201756617
2022-12-18,18.14449600146385
2022-12-25,52.01422187086303
