date,Albuquerque-Santa Fe NM,Atlanta GA,Austin TX,Bakersfield CA,Baltimore MD,Boston MA-Manchester NH,Charlotte NC,Chicago IL,Colorado Springs-Pueblo CO,Columbus OH,Dallas-Ft. Worth TX,Denver CO,Detroit MI,El Paso TX,Fresno-Visalia CA,Houston TX,Jacksonville FL,Kansas City MO,Las Vegas NV,Los Angeles CA,Louisville KY,Memphis TN,Miami-Ft. Lauderdale FL,Milwaukee WI,Minneapolis-St. Paul MN,Nashville TN,New York NY,Norfolk-Portsmouth-Newport News VA,Oklahoma City OK,Omaha NE,Ontario,Philadelphia PA,Phoenix AZ,Portland OR,Raleigh-Durham (Fayetteville) NC,San Antonio TX,San Diego CA,San Francisco-Oakland-San Jose CA,Seattle-Tacoma WA,Tucson AZ,Tulsa OK,Washington DC (Hagerstown MD),Wichita-Hutchinson KS
2018-05-13,32.285,25.776,39.166,,20.0,27.952,,22.827,33.0,60.395,35.602,32.296,33.993,58.902,28.719,38.897,39.405,60.795,33.702,61.082,30.457,,28.958,21.047,20.687,26.091,34.908,,65.882,32.0,7.259,46.368,46.396,37.25,,,33.038,45.57,60.337,,,31.378,37.967
2018-05-20,33.248,26.56,87.983,60.957,19.0,38.419,49.329,16.064,23.386,24.438,32.324,41.038,61.38,,,26.403,23.993,,41.065,95.511,47.25,36.579,19.835,22.0,29.657,,34.248,33.363,68.893,,25.082,40.679,45.067,32.048,,,30.651,44.726,46.422,22.887,70.256,32.498,27.504
2018-05-27,100.0,18.745,36.018,22.282,37.351,25.463,,29.9,20.489,35.417,42.319,30.416,30.088,44.063,48.593,26.024,24.983,48.443,21.706,53.873,54.71,45.443,35.101,56.678,37.562,64.18,57.535,29.022,,52.0,19.654,36.269,36.344,25.686,44.034,89.583,25.662,36.709,34.765,28.0,,32.708,
2018-06-03,26.712,47.231,27.621,42.726,50.11,29.927,68.815,17.994,30.967,20.985,29.712,34.715,20.632,,21.0,44.981,26.882,,50.646,75.342,21.0,,46.939,,29.462,37.866,66.731,71.174,,38.014,23.018,36.942,85.109,,26.864,29.489,44.769,53.481,50.98,58.172,,62.659,
2018-06-10,20.536,23.272,22.0,52.914,51.695,,36.401,37.937,55.459,22.005,32.592,21.666,26.358,29.045,,48.9,31.56,38.975,15.539,46.111,29.0,29.959,30.782,53.0,16.9,19.327,69.345,31.614,24.118,33.225,17.748,36.619,44.356,34.91,,22.694,,26.582,32.008,16.212,30.744,17.612,43.058
2018-06-17,,21.649,24.574,25.251,53.521,26.667,,22.085,43.377,,18.502,30.194,22.624,19.0,,37.885,20.986,40.953,28.05,45.215,21.0,26.25,,40.09,29.876,,30.334,35.755,22.353,28.705,18.438,55.323,59.605,56.034,38.981,31.131,31.997,37.553,77.749,,39.804,,30.387
2018-06-24,23.594,14.682,25.733,31.847,86.431,35.635,38.337,23.926,,28.693,24.838,39.218,25.467,,68.524,33.401,41.972,38.983,16.453,63.305,29.0,26.747,19.997,26.539,24.965,24.545,38.49,44.693,,63.743,14.228,27.928,22.906,41.976,40.908,48.223,52.08,35.443,52.777,,34.989,62.864,
2018-07-01,42.932,38.351,,29.254,57.652,15.462,44.296,20.395,26.997,13.542,31.555,30.181,29.618,65.213,,26.843,18.832,35.694,38.848,39.213,,41.617,23.583,44.599,20.327,,31.566,,50.588,,17.985,45.124,48.963,20.753,25.444,49.474,57.454,48.945,38.02,34.331,,63.764,18.055
2018-07-08,28.861,25.1,22.864,17.0,36.11,33.227,19.35,23.04,59.0,43.251,37.004,25.002,26.54,25.052,32.011,18.784,17.5,85.866,44.923,51.863,43.0,23.256,20.62,,22.242,29.956,29.42,32.436,,21.413,18.125,41.085,,37.599,,62.996,47.64,40.506,33.496,24.0,27.258,75.699,55.115
2018-07-15,19.183,49.885,37.462,24.148,38.0,16.69,55.094,29.623,28.0,25.391,38.464,37.976,19.302,,23.663,40.162,,37.288,37.904,71.597,31.5,53.842,49.858,,25.57,37.554,41.238,,25.613,33.348,30.379,32.67,,30.716,32.397,48.753,26.642,25.949,35.015,81.059,40.959,46.451,23.375
2018-07-22,30.27,25.642,26.65,32.138,23.063,20.743,48.942,25.508,,37.944,75.235,34.872,41.452,43.008,46.0,24.999,47.968,27.119,33.897,60.364,26.0,22.627,43.469,22.0,47.849,55.205,38.82,35.983,52.17,,25.523,41.347,40.76,50.218,19.5,31.433,38.616,27.848,66.654,69.615,,32.825,19.651
2018-07-29,22.862,39.025,23.167,31.657,,30.86,,21.14,19.43,34.69,72.707,34.956,34.176,,34.0,22.154,14.99,36.158,20.303,55.027,25.0,,45.472,20.0,34.73,27.001,50.84,,,35.026,29.169,49.194,46.036,47.799,15.0,,20.665,42.405,43.797,,,29.214,39.909
2018-08-05,11.284,31.568,40.489,53.846,38.123,45.688,41.562,29.238,27.126,46.013,47.457,38.08,38.368,47.717,,20.112,36.057,47.371,21.896,49.591,34.0,33.319,20.431,49.11,43.135,,55.908,27.621,22.538,31.0,20.801,55.622,39.792,42.318,20.546,,39.713,46.835,59.082,50.0,,49.01,
2018-08-12,39.125,31.174,46.572,25.094,30.0,33.417,21.868,38.479,32.5,44.788,14.625,34.571,26.981,,49.0,24.592,19.987,40.669,19.863,59.148,23.0,19.562,19.082,48.108,45.636,,39.297,28.771,43.508,38.014,18.051,50.985,39.443,36.305,29.865,40.723,100.0,42.616,32.202,72.197,80.389,74.29,27.868
2018-08-19,31.046,37.545,43.0,,42.687,35.77,40.998,27.74,29.053,28.972,31.569,56.812,38.643,39.105,29.702,31.105,22.985,86.849,26.809,50.682,,,38.54,21.778,23.93,100.0,27.653,36.829,,,11.01,34.223,25.808,33.583,,33.646,75.54,29.536,28.517,29.992,44.682,45.099,26.607
2018-08-26,40.707,27.184,18.366,,38.732,33.94,43.139,23.877,26.487,21.159,48.946,35.987,28.436,35.351,22.0,34.61,21.989,32.015,51.631,45.015,25.092,15.152,25.605,35.579,30.843,21.839,28.811,44.028,,29.0,18.104,22.011,30.587,37.173,28.102,51.048,21.081,41.35,,21.048,,47.506,38.531
2018-09-02,40.15,28.469,28.833,,,33.472,71.392,26.95,24.922,32.04,37.598,24.213,26.492,26.993,31.053,30.754,22.757,,61.689,40.194,50.435,36.868,47.276,40.065,,,58.467,24.091,71.126,29.488,14.131,34.894,23.26,25.38,25.0,37.163,38.948,23.207,48.496,24.0,72.986,43.769,41.641
2018-09-09,,21.042,16.19,17.716,32.786,30.97,27.941,39.589,,13.542,46.332,58.171,49.789,27.737,49.676,28.56,,42.087,25.085,45.636,27.795,24.322,23.168,,69.777,24.786,30.917,26.885,63.14,28.514,12.607,59.598,38.751,28.796,,52.233,42.812,27.004,25.6,29.563,27.97,26.626,45.936
2018-09-16,20.131,57.275,,28.954,48.081,36.395,53.443,24.528,34.0,13.737,44.099,31.937,37.796,48.754,69.337,31.537,35.116,64.645,39.667,41.613,19.121,50.208,19.014,27.644,,49.823,61.672,,,23.287,45.005,38.964,24.714,29.319,19.0,34.862,35.679,62.025,65.012,31.242,20.993,35.249,41.529
2018-09-23,49.946,39.19,24.667,,,15.272,29.34,26.234,58.957,26.435,52.534,42.642,70.422,,41.849,54.222,16.989,49.258,17.55,64.437,100.0,17.172,52.1,,51.328,24.158,48.224,37.9,,26.205,21.185,74.151,,22.559,,45.089,31.715,21.519,49.52,29.467,,48.17,38.0
2018-09-30,20.569,31.427,26.625,28.0,63.075,19.689,25.827,26.495,42.279,25.391,45.433,48.64,,41.939,48.34,46.558,21.371,43.691,,43.729,24.5,27.944,,,35.328,20.999,30.661,30.646,,,24.23,36.001,23.745,44.207,20.0,28.065,46.494,42.194,32.438,,24.992,55.633,24.153
2018-10-07,21.526,54.739,28.836,,30.442,28.741,31.167,27.764,20.49,37.165,60.153,24.727,36.555,,22.223,33.31,60.778,53.107,21.024,57.926,71.0,48.201,70.543,,55.996,,31.293,19.014,,,15.019,29.121,39.252,36.901,28.87,56.256,30.704,57.806,38.999,46.305,,52.292,21.949
2018-10-14,,31.26,23.845,,,29.65,27.256,23.92,,27.114,35.216,24.876,28.962,61.707,21.907,55.841,32.978,,22.85,24.072,28.559,,37.205,,29.086,22.703,45.227,22.017,,29.61,14.532,19.996,32.709,37.61,41.08,32.553,29.957,21.519,88.339,36.0,70.006,39.595,
2018-10-21,28.918,33.818,32.88,,,,,33.618,39.748,25.83,44.504,47.623,42.951,46.744,73.956,19.917,14.994,39.731,68.039,57.323,26.086,41.802,36.607,,41.566,,42.303,,,40.401,27.021,,25.047,,39.139,42.76,37.743,32.489,55.641,,40.448,45.08,68.418
2018-10-28,42.533,32.857,39.829,38.106,,29.588,38.871,29.343,19.826,,46.469,56.641,,25.649,,29.373,33.977,,,53.147,24.839,56.401,53.519,50.333,33.078,28.125,40.088,,,16.292,16.063,47.896,45.551,59.125,73.884,27.305,22.452,54.008,25.919,17.165,,46.055,34.209
2018-11-04,49.596,23.012,23.333,,23.566,22.22,43.427,18.038,,25.981,57.827,27.895,,33.347,33.0,18.171,46.219,38.129,,53.212,27.667,38.615,25.03,19.0,38.627,19.327,29.979,16.01,29.148,,29.867,25.945,33.437,31.972,35.282,,35.763,18.987,47.478,95.363,58.868,26.847,45.0
2018-11-11,24.215,28.064,27.387,,,21.782,39.847,31.567,54.637,18.358,57.718,41.811,24.887,,47.296,48.676,26.73,51.503,25.248,51.708,46.299,26.263,59.645,,37.244,17.099,56.252,,,,14.832,33.032,42.075,38.203,28.7,67.234,,34.177,46.944,,,34.599,21.406
2018-11-18,35.056,18.917,70.972,17.854,43.306,40.072,19.228,19.713,26.778,28.593,55.522,,,60.806,,25.234,33.484,52.848,37.32,55.598,51.273,20.202,22.367,30.4,35.36,48.298,37.28,37.925,,,20.913,45.519,34.891,35.944,26.0,58.867,26.8,51.477,38.535,25.112,22.897,34.695,32.626
2018-11-25,26.503,39.174,23.65,32.398,43.313,35.848,29.546,27.674,31.353,,33.015,34.713,19.006,36.274,29.503,23.297,25.046,24.859,21.843,46.702,23.547,26.768,40.603,23.8,37.926,22.917,55.702,28.637,34.118,49.484,12.66,31.672,58.959,45.685,21.0,43.0,34.099,58.228,52.83,18.755,,42.389,23.0
2018-12-02,33.684,39.046,30.507,33.184,45.141,33.27,20.562,25.014,33.0,10.156,24.606,39.365,,30.225,,65.892,47.623,29.901,25.439,62.408,68.5,17.616,27.394,24.0,29.119,19.52,44.453,21.016,49.412,27.255,40.41,48.129,18.899,40.923,26.045,31.852,56.247,36.287,38.801,,43.02,48.857,
2018-12-09,36.8,24.067,20.0,28.864,29.612,25.88,32.011,27.023,36.023,43.757,34.496,29.334,40.724,,39.473,15.114,,,33.585,60.423,63.5,21.061,26.223,,19.391,28.024,42.664,51.539,22.353,49.104,45.45,55.147,,74.499,28.528,39.417,23.312,16.878,63.332,33.0,62.212,47.936,19.717
2018-12-16,30.384,22.442,35.0,21.425,26.278,,36.949,54.794,30.0,27.114,34.102,48.954,28.521,38.333,34.954,26.324,26.059,50.187,45.833,54.651,24.591,32.828,28.587,27.595,24.392,35.417,43.818,41.398,31.715,33.349,,55.43,49.057,34.721,32.346,31.127,37.286,35.865,39.046,,57.423,,62.063
2018-12-23,22.181,35.424,49.979,87.195,29.849,29.952,55.927,23.536,,27.335,39.23,45.121,63.349,33.237,,38.264,69.213,60.752,26.654,73.599,,23.397,70.083,,30.1,23.958,34.319,46.925,,34.355,20.068,52.66,53.79,,24.954,41.614,32.939,91.561,32.647,71.154,,30.545,26.639
2018-12-30,32.17,48.617,37.887,65.627,35.391,32.87,43.923,36.918,20.0,,45.741,30.208,40.648,71.68,,31.027,,36.665,71.922,69.977,30.389,29.147,32.597,27.0,23.037,23.017,36.337,70.941,51.447,33.359,8.642,44.536,36.829,32.461,17.811,29.177,,16.456,48.32,,18.814,42.761,32.614
2019-01-06,62.025,43.828,28.881,86.436,,15.398,39.809,30.675,26.0,36.052,61.645,41.283,34.913,61.142,25.43,34.488,30.615,41.808,30.449,56.055,32.772,14.141,56.595,20.0,34.112,29.025,48.681,,43.181,22.16,21.437,26.789,31.497,53.235,,29.188,47.535,26.16,43.075,47.0,46.425,64.359,
2019-01-13,23.218,27.989,24.67,31.703,32.362,17.106,48.34,52.326,,25.969,29.228,,53.036,49.553,22.0,30.322,12.0,42.457,35.946,29.06,,,47.629,31.78,47.207,,17.734,30.039,48.235,30.256,22.434,36.643,42.87,39.017,14.0,32.698,38.834,34.177,47.492,19.073,,47.265,25.688
2019-01-20,,39.75,,,,22.637,33.209,24.85,33.354,46.293,42.306,35.372,100.0,32.407,,30.209,43.679,61.76,25.774,43.464,48.845,66.792,18.613,30.0,28.516,20.607,30.493,42.882,,,14.117,25.342,62.485,,,,45.695,38.608,47.362,44.521,,30.849,53.0
2019-01-27,32.283,24.913,36.534,20.157,,21.544,84.877,22.066,23.089,,33.708,37.813,26.011,28.0,,52.56,15.995,25.533,28.466,55.088,28.576,43.062,23.748,35.579,69.49,22.094,35.929,31.369,38.628,19.363,16.364,28.835,31.014,29.08,23.759,,45.451,53.165,36.951,23.841,,23.142,
2019-02-03,23.661,57.357,35.568,,77.05,51.435,56.825,44.445,17.233,30.469,67.555,32.219,22.029,39.418,,43.985,27.072,42.256,27.818,70.952,,30.327,24.415,41.6,26.429,35.948,35.821,,22.391,,20.627,33.139,29.075,45.13,18.0,16.54,49.208,49.367,24.594,63.747,99.969,36.212,29.458
2019-02-10,25.696,33.739,40.676,,42.277,22.479,29.343,23.189,19.0,56.709,60.174,29.415,34.477,,53.928,22.478,36.975,,17.023,41.455,25.197,23.012,53.402,19.0,29.885,44.727,43.665,14.009,21.656,21.766,21.503,40.254,23.018,38.777,,,47.759,38.397,23.796,23.841,27.311,25.294,21.882
2019-02-17,,43.649,59.0,39.28,,27.333,14.34,25.62,19.985,,46.854,48.151,21.648,29.491,,24.381,25.483,38.044,18.774,52.673,22.624,18.855,34.575,,19.497,43.843,58.0,,28.251,23.645,14.109,29.672,20.134,29.466,24.118,48.558,23.303,47.679,61.655,28.98,,91.712,20.002
2019-02-24,25.331,59.326,22.056,25.094,,53.847,27.614,20.828,24.831,20.367,46.947,41.93,23.827,33.964,24.009,64.66,,54.506,41.252,51.559,73.0,22.943,61.505,26.5,21.069,33.333,20.246,,,,9.377,42.413,44.74,32.748,29.512,,35.384,52.954,28.843,,51.324,20.76,33.774
2019-03-03,65.408,49.882,40.065,41.065,41.253,26.94,55.87,20.273,23.0,,35.08,23.45,43.012,40.455,42.0,28.566,53.714,92.655,20.833,65.429,33.0,29.214,27.306,,45.02,,21.985,48.219,29.378,37.0,17.925,72.877,27.507,58.639,25.911,37.028,26.629,63.291,27.268,37.823,45.986,46.56,
2019-03-10,61.331,19.426,,69.103,58.647,18.001,45.927,22.696,,27.934,56.62,44.786,50.056,55.078,24.0,19.773,41.407,,21.733,33.508,26.5,,23.949,23.0,15.969,24.803,48.748,,33.024,25.567,24.983,40.503,51.022,61.893,48.546,52.201,43.735,25.316,35.657,25.257,22.773,51.138,40.783
2019-03-17,34.002,25.818,33.789,19.518,,,,22.133,25.0,65.62,54.417,40.095,38.026,,,27.821,20.986,35.583,31.942,62.778,,40.227,26.819,18.667,20.327,50.443,42.465,35.366,25.882,,16.966,40.254,24.463,65.896,35.468,95.87,43.032,57.384,62.553,22.0,,44.258,
2019-03-24,16.407,16.188,38.0,16.069,,26.216,48.563,18.097,32.0,,32.914,37.395,38.035,44.649,,39.276,25.964,38.412,,49.86,,20.809,25.349,,,29.167,35.167,32.83,21.869,,9.495,35.485,33.517,29.99,,,52.807,41.983,,28.291,,56.84,51.376
2019-03-31,,14.165,,20.447,36.769,15.731,33.572,13.472,30.0,37.264,61.624,23.071,24.558,35.142,52.0,18.569,15.495,32.768,,28.983,27.0,,26.317,,33.293,32.855,23.566,,29.741,,15.22,70.297,,,16.715,78.439,40.467,28.481,57.784,29.881,,63.826,35.015
2019-04-07,23.627,17.717,29.1,,70.947,23.459,26.312,30.303,27.0,36.301,32.423,26.336,,54.539,,31.9,,97.656,48.343,36.82,,,24.35,22.6,28.793,16.428,30.809,28.02,,15.443,20.029,32.167,32.081,28.819,33.045,36.794,28.396,34.177,63.568,25.748,,26.914,
2019-04-14,42.976,28.088,56.641,,50.347,36.066,26.801,33.48,,19.698,26.663,17.245,22.921,45.972,30.5,40.583,,41.259,15.539,51.91,31.132,,31.923,59.0,74.712,26.042,28.792,,36.502,22.079,19.073,44.803,36.342,49.597,17.122,27.472,35.542,49.367,61.976,21.0,,30.131,58.319
2019-04-21,29.96,18.01,38.009,19.481,,,,49.423,,,39.852,31.651,50.022,86.639,,44.529,31.979,51.427,,38.98,,21.518,54.518,42.224,28.217,41.408,25.602,38.024,64.706,,6.903,21.086,24.849,32.387,12.0,,23.512,41.35,79.298,36.81,43.446,31.8,31.552
2019-04-28,32.895,23.342,21.707,26.299,24.709,19.184,25.413,35.171,,17.482,31.71,35.633,34.14,,56.958,47.706,34.869,33.893,39.524,54.627,68.0,28.217,50.745,,28.922,37.5,40.804,25.937,,,21.656,32.742,46.267,70.942,61.223,64.5,51.314,46.414,72.672,31.0,26.992,39.15,40.164
2019-05-05,22.087,65.713,39.819,,40.62,42.859,,29.724,,14.65,34.282,27.4,44.178,26.425,54.5,24.859,,24.964,48.675,63.476,15.269,22.178,29.339,27.061,52.21,,38.951,15.009,36.578,39.0,24.874,33.499,,44.741,,26.278,38.323,48.101,44.581,29.012,,43.354,21.0
2019-05-12,,20.438,43.864,36.602,43.311,,31.578,20.783,28.111,18.81,41.802,34.645,32.873,52.115,,60.979,25.896,59.887,19.841,62.017,20.442,49.994,46.106,33.855,20.531,34.208,29.575,36.377,44.033,17.256,15.424,25.272,20.397,36.386,15.0,32.27,25.49,24.051,36.737,,20.993,29.833,51.314
2019-05-19,29.236,31.885,44.066,,,18.236,24.288,19.648,46.648,,53.635,62.475,36.869,25.652,52.019,41.956,26.96,42.934,23.395,59.614,55.0,12.429,57.001,18.0,26.89,52.083,33.534,,35.294,,18.288,70.924,28.106,39.588,23.005,,,54.43,30.153,,33.513,30.365,20.317
2019-05-26,40.0,24.445,20.689,,32.441,20.061,24.376,16.73,55.0,27.908,31.869,42.368,22.701,100.0,,24.646,21.985,75.122,31.25,44.393,56.101,,30.762,20.43,27.576,35.417,17.943,43.084,65.882,,14.123,42.514,66.023,52.12,,34.801,26.903,31.646,34.683,63.893,,24.442,
2019-06-02,34.737,30.921,,32.0,23.015,25.171,31.46,23.296,41.973,18.734,31.944,20.923,30.053,21.504,22.0,71.452,,30.508,47.735,67.356,,42.253,23.346,30.0,41.022,,29.225,40.085,,,10.89,24.668,42.153,74.108,,28.533,22.941,37.764,53.577,29.563,40.959,31.026,43.096
2019-06-09,,21.113,,,,17.311,28.915,13.319,46.002,,25.563,57.239,49.652,,55.0,41.093,40.161,53.388,23.602,56.333,55.413,39.935,22.728,,24.217,27.057,19.722,32.686,20.0,29.0,18.089,43.487,31.983,70.524,21.6,24.95,,50.633,49.014,100.0,61.655,86.57,
2019-06-16,17.917,22.709,,52.206,50.0,30.014,72.251,27.281,56.0,38.863,60.739,39.092,22.921,46.748,23.517,29.88,22.101,43.862,30.973,58.609,47.265,27.921,21.865,,38.411,22.226,48.506,50.726,,20.597,17.455,25.824,25.698,43.322,37.181,51.58,27.465,34.177,47.069,,27.0,28.869,59.921
2019-06-23,12.47,18.361,55.872,19.432,22.631,14.963,,22.751,,,34.029,26.851,32.024,30.127,49.017,36.601,23.227,,17.114,40.192,26.507,,44.183,50.045,23.511,29.956,34.475,,35.826,,26.416,28.064,23.636,24.109,37.114,35.833,52.96,43.46,21.712,18.437,97.969,35.572,41.579
2019-06-30,38.042,51.167,59.622,47.316,,21.87,46.565,41.519,,36.23,73.933,24.716,44.451,,38.25,30.298,,33.045,40.314,47.139,,17.931,56.522,40.09,29.657,,28.88,35.974,32.941,,27.246,40.404,26.884,39.627,49.159,60.65,27.752,32.068,48.238,27.024,26.992,53.142,40.64
2019-07-07,15.74,41.261,29.352,21.446,49.072,,15.488,32.884,76.5,,58.858,34.667,31.695,,,53.459,20.523,37.665,27.818,65.658,16.226,16.162,26.236,68.0,21.268,37.043,27.705,46.754,32.77,22.999,15.703,35.176,31.472,41.287,28.159,21.839,26.065,43.882,40.974,,,46.9,30.755
2019-07-14,37.619,31.005,45.0,17.659,,,51.085,34.061,58.446,11.849,51.1,47.83,19.302,26.179,57.02,100.0,50.966,33.023,37.249,45.653,22.0,25.898,33.9,28.0,51.709,,42.482,39.133,51.137,24.641,21.087,43.289,56.738,,26.014,34.135,45.888,47.679,49.949,36.0,,41.634,26.887
2019-07-21,19.411,37.312,27.311,25.39,43.37,28.365,55.099,29.658,55.113,,44.337,21.904,39.671,,34.0,43.25,18.51,84.268,45.704,39.653,29.0,45.624,62.096,27.561,28.449,47.304,46.546,50.339,41.176,22.636,25.686,52.805,26.168,,21.254,,34.234,30.38,55.131,,38.521,81.493,
2019-07-28,36.078,20.958,55.935,30.671,,33.836,29.903,30.878,23.982,24.435,35.762,43.549,30.287,47.717,36.0,60.821,,59.415,22.644,52.514,49.316,30.286,26.319,,43.05,27.054,33.54,,23.529,33.235,27.473,44.273,49.428,24.609,53.0,36.107,63.327,53.165,35.93,52.45,,53.214,29.938
2019-08-04,53.572,27.842,30.169,42.496,,31.654,25.782,40.735,19.411,19.31,59.852,31.548,58.844,67.542,29.945,35.896,,37.288,20.614,44.517,44.859,21.806,,35.046,97.989,30.923,71.604,38.69,37.986,,23.339,28.824,26.58,38.271,52.894,37.908,35.078,40.506,41.5,25.0,61.067,51.591,
2019-08-11,25.572,21.481,24.725,31.14,,,29.624,39.438,21.0,23.504,79.856,28.056,84.146,47.683,24.696,29.957,12.0,,27.923,50.97,22.203,16.359,52.709,21.0,16.643,27.846,30.389,34.567,,30.185,19.441,24.279,52.456,42.165,37.283,53.885,47.523,51.266,98.803,87.647,27.047,26.688,
2019-08-18,27.826,29.214,28.248,21.022,85.883,30.584,45.553,42.622,35.474,42.325,52.223,,39.849,37.718,21.24,47.006,29.622,36.158,15.415,75.967,23.5,26.432,29.539,28.0,20.955,30.923,55.969,42.597,51.765,21.766,18.494,55.302,41.434,32.688,,30.311,,44.726,46.126,23.227,46.47,43.543,25.317
2019-08-25,26.118,33.747,26.104,17.387,38.47,25.101,63.37,27.157,39.0,52.236,43.852,,46.176,26.97,,21.208,,38.136,22.817,64.148,49.182,26.932,49.452,44.5,29.649,27.467,29.956,17.013,21.176,24.0,28.436,31.933,39.438,40.928,25.505,53.75,23.125,24.684,47.584,66.358,,39.441,19.005
2019-09-01,25.691,31.332,33.448,20.944,34.827,,26.94,29.955,35.234,27.779,25.359,29.415,42.196,43.274,25.009,55.197,23.984,55.601,14.575,75.683,25.0,35.14,24.873,,18.644,23.192,26.248,,,24.015,7.622,53.024,25.837,31.876,25.933,26.846,,61.603,55.676,48.0,44.439,77.849,61.11
2019-09-08,27.06,38.898,14.689,,18.839,16.519,,21.209,20.0,21.709,30.538,26.253,44.13,22.439,35.104,39.02,18.987,40.953,22.775,52.83,36.0,31.892,31.418,44.099,39.832,20.293,47.011,36.576,25.882,18.875,11.512,34.791,27.137,,17.0,31.127,,17.089,50.611,31.055,34.05,41.072,22.834
2019-09-15,19.94,36.25,,33.923,16.0,14.967,19.338,13.343,29.974,33.091,26.71,17.595,40.612,49.553,24.523,24.077,,36.155,26.5,55.49,39.335,14.336,36.198,,32.195,20.937,29.673,24.768,47.836,31.0,20.333,33.439,69.78,29.88,,,27.708,27.848,33.516,43.867,,41.968,73.631
2019-09-22,19.102,21.659,,23.0,70.188,18.764,35.893,13.189,54.0,,15.656,31.569,51.16,27.114,,33.112,,,24.341,52.506,17.0,22.425,52.496,37.2,34.219,57.98,62.521,,26.98,20.917,18.038,19.169,40.793,28.471,57.736,33.542,42.169,24.895,28.641,29.0,25.567,32.294,19.638
2019-09-29,20.043,34.877,19.708,18.99,21.858,22.672,38.063,18.229,47.0,17.707,18.891,30.129,30.059,33.892,26.481,33.076,38.112,35.452,29.254,80.846,23.5,60.122,47.713,,24.724,22.22,34.584,29.83,43.508,,16.824,29.992,58.581,,12.727,25.807,46.423,37.975,37.018,20.98,16.995,25.415,26.039
2019-10-06,35.702,18.364,20.0,,62.83,21.508,80.474,37.817,36.379,18.533,32.928,47.085,32.19,69.953,,37.496,,67.496,34.523,33.366,15.15,24.929,48.166,16.0,24.772,28.125,29.243,38.225,,25.567,26.11,44.904,38.794,46.751,21.905,22.411,33.302,47.257,64.679,42.374,31.99,37.731,100.0
2019-10-13,34.037,27.926,,,,27.003,,21.078,29.0,,45.428,20.07,23.955,20.0,86.5,24.189,,26.923,42.047,27.416,10.984,,25.138,34.577,72.24,14.583,51.979,32.196,36.866,21.0,18.064,39.841,27.622,40.002,18.402,45.741,16.577,31.224,40.511,47.475,42.512,36.507,19.756
2019-10-20,20.85,23.953,26.673,21.934,41.219,18.979,59.214,37.139,26.718,18.491,26.073,51.606,36.632,40.203,,26.003,52.826,33.058,28.687,57.311,,52.561,19.197,53.619,27.786,28.125,37.421,,27.14,37.929,16.256,45.495,30.045,37.988,18.274,20.134,43.293,35.865,36.828,,21.993,37.844,
2019-10-27,24.69,33.828,15.0,,35.924,26.429,56.246,14.947,32.0,24.557,50.192,21.155,32.396,32.1,28.437,41.836,24.847,36.457,23.964,59.671,32.641,,43.856,27.061,21.757,18.75,36.658,41.769,24.818,27.445,22.662,36.182,,50.622,22.97,,56.162,51.055,24.484,,,15.512,19.893
2019-11-03,29.872,36.488,,20.0,30.236,33.605,38.918,25.772,,38.545,43.528,33.519,52.372,,30.511,37.801,22.318,57.234,25.388,61.262,,51.837,23.38,28.0,65.929,30.873,43.511,55.48,42.994,18.217,21.812,31.052,36.371,33.363,22.831,16.54,36.244,30.802,58.112,20.026,52.06,50.848,
2019-11-10,26.586,25.761,,,21.333,23.021,39.645,42.311,17.233,14.388,29.741,30.117,34.591,35.0,36.008,36.668,32.011,51.668,18.303,39.353,20.0,,30.737,49.0,33.468,68.75,46.494,100.0,37.295,,24.879,32.689,45.067,26.251,22.185,22.69,,49.789,83.783,,,37.94,29.738
2019-11-17,36.318,48.03,,38.0,31.29,29.927,19.753,29.328,25.0,17.935,57.811,41.966,27.037,30.854,71.5,30.648,11.997,68.726,21.257,55.215,20.463,19.618,34.913,16.536,35.584,40.586,34.865,61.046,,,30.649,52.551,18.534,52.395,,21.84,38.302,49.367,45.291,30.0,24.574,30.555,29.723
2019-11-24,22.179,19.224,22.308,23.168,21.151,25.013,34.848,25.015,51.566,39.108,47.225,,17.173,49.241,25.0,47.813,23.235,45.088,43.75,24.305,20.0,20.29,63.422,22.8,,23.958,55.475,33.126,,28.675,23.058,48.717,47.319,33.864,20.822,25.82,33.333,63.713,46.496,19.073,,40.704,75.113
2019-12-01,33.325,55.734,,32.795,48.793,19.872,37.324,25.739,21.239,16.477,79.783,40.859,30.591,21.49,,20.652,20.986,53.173,22.246,52.884,,18.006,23.382,33.074,28.226,18.354,37.712,35.556,,34.207,26.724,44.241,17.93,32.865,29.706,16.924,42.628,37.975,38.349,,50.891,51.813,
2019-12-08,27.13,66.28,38.021,92.942,31.646,16.864,33.591,33.207,24.41,26.517,83.283,32.008,18.319,,,60.43,27.981,38.418,26.335,51.269,25.199,14.345,19.082,,22.242,15.527,35.05,27.447,28.794,40.444,18.555,18.855,20.353,67.516,20.234,28.292,41.764,54.852,25.065,,34.989,66.684,35.419
2019-12-15,42.799,32.378,,20.514,20.0,22.321,15.938,62.102,26.338,32.668,30.955,43.883,31.109,31.294,52.96,25.165,14.729,,71.568,29.22,34.333,23.908,75.59,36.0,20.531,23.01,44.24,27.421,29.571,44.0,22.333,42.196,75.84,44.234,24.954,,30.833,41.35,48.31,,22.8,48.436,47.698
