date,Chicago IL
2022-07-24,40.949
2022-07-31,47.486
2022-08-07,64.087
2022-08-14,77.352
2022-08-21,38.255
2022-08-28,49.878
2022-09-04,36.426
2022-09-11,44.249
2022-09-18,44.974
2022-09-25,49.263
2022-10-02,52.199
2022-10-09,42.153
2022-10-16,77.735
2022-10-23,55.631
2022-10-30,34.145
2022-11-06,31.186
2022-11-13,41.737
2022-11-20,54.104
2022-11-27,39.456
2022-12-04,43.882
2022-12-11,64.679
2022-12-18,56.602
2022-12-25,42.583
