date,New York NY
2022-07-24,95.024
2022-07-31,61.8
2022-08-07,76.43
2022-08-14,48.269
2022-08-21,68.495
2022-08-28,64.885
2022-09-04,42.444
2022-09-11,78.763
2022-09-18,42.962
2022-09-25,42.778
2022-10-02,64.638
2022-10-09,44.658
2022-10-16,66.181
2022-10-23,59.384
2022-10-30,53.047
2022-11-06,61.925
2022-11-13,61.944
2022-11-20,35.297
2022-11-27,61.089
2022-12-04,72.947
2022-12-11,45.014
2022-12-18,51.182
2022-12-25,44.878
