,MVT_GT_Detroit MI
2017-01-01,49.0
2017-01-08,44.0
2017-01-15,26.0
2017-01-22,53.0
2017-01-29,46.0
2017-02-19,58.0
2017-02-26,36.0
2017-04-02,18.0
2017-04-09,41.0
2017-04-16,17.0
2017-04-23,43.0
2017-04-30,42.0
2017-05-14,33.0
2017-06-11,36.0
2017-06-25,42.0
2017-07-09,30.0
2017-07-16,58.0
2017-08-13,70.0
2017-08-20,21.0
2017-08-27,62.0
2017-09-10,18.0
2017-09-17,52.0
2017-09-24,80.0
2017-10-08,26.0
2017-10-22,28.0
2017-11-26,55.0
2017-12-17,49.0
2017-12-24,29.0
2017-12-31,33.0
2018-01-07,41.12371274619232
2018-01-14,36.49022522072414
2018-01-21,24.589762644319634
2018-02-04,36.99022522072414
2018-02-25,34.06790020374537
2018-03-11,34.56790020374537
2018-04-15,34.06790020374537
2018-05-06,27.012087661298416
2018-06-10,20.456275118851465
2018-06-17,72.2692879329589
2018-06-24,36.99022522072414
2018-07-22,47.468362780149874
2018-08-05,35.779062712234754
2018-08-19,45.75720027166049
2018-09-02,36.49022522072414
2018-09-09,42.834875254681705
2018-09-23,32.85673769525597
2018-09-30,29.934412678277194
2018-10-07,31.645575186766585
2018-10-14,34.06790020374537
2018-12-02,19.956275118851465
2019-01-06,42.834875254681705
2019-01-13,28.223250169787804
2019-02-03,26.512087661298416
2019-02-10,22.878600135830244
2019-03-03,81.03626298389524
2019-03-10,83.45858800087402
2019-03-17,27.012087661298416
2019-03-31,76.40277545842707
2019-04-07,39.91255023770293
2019-04-21,28.723250169787804
2019-04-28,22.878600135830244
2019-05-05,75.19161294993768
2019-05-19,65.21347539051195
2019-05-26,45.75720027166049
2019-06-02,32.85673769525597
2019-06-16,29.934412678277194
2019-06-23,79.82510047540586
2019-06-30,49.890687797128656
2019-07-21,42.834875254681705
2019-08-04,34.56790020374537
2019-08-11,55.73533783108622
2019-08-18,99.78137559425731
2019-08-25,42.834875254681705
2019-09-08,41.12371274619232
2019-09-22,38.701387729213536
2019-09-29,42.834875254681705
2019-10-06,59.86882535655439
2019-10-13,44.0460377631711
2019-10-20,36.99022522072414
2019-11-03,38.701387729213536
2019-11-10,55.23533783108622
2019-12-01,23.589762644319634
2019-12-08,21.667437627340853
2019-12-29,27.012087661298416
2020-01-12,61.579987865043776
2020-01-19,29.934412678277194
2020-01-26,22.878600135830244
2020-02-02,24.089762644319634
2020-02-09,45.75720027166049
2020-02-23,18.24511261036207
2020-03-29,38.201387729213536
2020-04-05,19.956275118851465
2020-04-26,15.322787593383293
2020-05-03,34.56790020374537
2020-05-10,28.223250169787804
2020-05-17,18.24511261036207
2020-05-24,29.434412678277194
2020-05-31,18.24511261036207
2020-06-07,25.30092515280902
2020-06-14,46.968362780149874
2020-06-28,71.05812542446951
2020-07-12,22.878600135830244
2020-07-26,34.06790020374537
2020-08-02,22.878600135830244
2020-08-16,21.167437627340853
2020-08-23,24.589762644319634
2020-09-06,17.033950101872684
2020-09-13,92.22556305181035
2020-09-20,62.79115037353317
2020-10-04,24.089762644319634
2020-10-11,85.66975050936341
2020-10-25,54.02417532259683
2020-11-01,28.223250169787804
2020-11-15,34.06790020374537
2020-11-22,29.934412678277194
2020-12-20,45.25720027166049
2021-01-03,17.033950101872684
2021-01-10,56.94650033957561
2021-01-17,55.73533783108622
2021-01-31,38.701387729213536
2021-02-07,27.012087661298416
2021-02-14,21.167437627340853
2021-02-28,46.968362780149874
2021-03-28,32.85673769525597
2021-04-04,35.279062712234754
2021-04-11,65.21347539051195
2021-04-18,19.456275118851465
2021-04-25,19.956275118851465
2021-05-02,49.890687797128656
2021-05-09,18.74511261036207
2021-05-16,22.878600135830244
2021-06-13,32.85673769525597
2021-06-20,36.99022522072414
2021-07-04,51.10185030561804
2021-07-11,76.40277545842707
2021-07-25,34.56790020374537
2021-08-01,76.90277545842707
2021-08-08,51.10185030561804
2021-08-22,45.25720027166049
2021-09-05,92.72556305181035
2021-09-12,21.167437627340853
2021-09-19,21.167437627340853
2021-10-03,66.92463789900134
2021-10-17,38.201387729213536
2021-10-31,49.890687797128656
2021-11-21,34.06790020374537
2021-11-28,52.31301281410744
2021-12-05,70.55812542446951
2022-01-02,29.86882535655439
2022-01-09,142.23250169787804
2022-02-06,51.203700611236094
2022-02-20,45.514400543320974
2022-02-27,19.912550237702927
2022-03-13,109.51902630736609
2022-03-20,32.71347539051195
2022-03-27,29.86882535655439
2022-04-10,52.626025628214876
2022-04-17,41.247425492384636
2022-05-01,41.247425492384636
2022-05-08,31.29115037353317
2022-05-15,31.29115037353317
2022-05-22,44.09207552634219
2022-06-05,34.135800407490734
2022-06-12,41.247425492384636
2022-06-19,34.135800407490734
2022-06-26,29.86882535655439
2022-07-10,75.38322589987537
2022-07-24,41.247425492384636
2022-07-31,35.55812542446951
2022-08-07,51.203700611236094
2022-08-14,46.936725560299756
2022-08-21,44.09207552634219
2022-08-28,69.69392583196024
2022-09-18,24.17952528863927
2022-09-25,19.912550237702927
2022-10-02,65.4269507810239
2022-10-09,49.78137559425731
2022-10-16,56.893000679151214
2022-10-30,85.33950101872682
2022-11-06,29.86882535655439
2022-11-13,48.35905057727854
2022-11-20,25.601850305618047
2022-11-27,102.40740122247219
2022-12-18,19.912550237702927
2022-12-25,58.315325696129996
