,MVT_GT_Milwaukee WI
2017-01-01,22.0
2017-01-08,38.0
2017-02-19,19.0
2017-02-26,59.0
2017-05-07,19.0
2017-05-14,46.0
2017-06-04,41.0
2017-06-25,32.0
2017-07-16,61.0
2017-07-23,25.0
2017-07-30,27.0
2017-08-06,29.0
2017-08-20,29.0
2017-09-03,64.0
2017-09-10,21.0
2017-10-15,19.0
2017-11-12,100.0
2017-12-24,20.0
2017-12-31,31.0
2018-01-21,41.30807100231493
2018-04-08,14.152774407045758
2018-04-15,27.980422704680343
2018-04-22,16.12815273527927
2018-04-29,26.830170485858
2018-05-06,14.152774407045758
2018-05-27,16.953278844690438
2018-06-17,55.96084540936069
2018-07-08,16.953278844690438
2018-07-22,37.03218823643674
2018-09-02,26.005044376446833
2018-09-30,20.078909391746294
2018-12-02,27.980422704680343
2018-12-09,21.729161610568635
2018-12-30,21.729161610568635
2019-01-06,14.152774407045758
2019-01-13,25.17991826703566
2019-01-27,24.02966604821332
2019-02-03,52.33521486230483
2019-02-10,27.980422704680343
2019-03-17,33.08143157996971
2019-03-24,16.12815273527927
2019-03-31,18.928657172923952
2019-04-14,29.955801032913854
2019-04-28,24.854792157624487
2019-05-05,15.803026625868098
2019-05-12,26.005044376446833
2019-06-02,24.02966604821332
2019-06-09,19.25378328233512
2019-06-30,18.103531063512783
2019-07-21,25.17991826703566
2019-07-28,20.904035501157466
2019-08-04,17.27840495410161
2019-09-15,16.12815273527927
2019-11-10,13.002522188223416
2019-11-17,37.03218823643674
2019-11-24,35.88193601761439
2019-12-08,18.928657172923952
2019-12-15,14.652774407045758
2019-12-29,29.130674923502685
2020-01-05,20.904035501157466
2020-02-09,23.20453993880215
2020-03-01,11.852269969401075
2020-03-08,12.177396078812244
2020-04-12,24.02966604821332
2020-04-26,22.054287719979804
2020-05-03,21.229161610568635
2020-05-24,11.852269969401075
2020-06-21,21.229161610568635
2020-07-12,11.852269969401075
2020-08-16,33.08143157996971
2020-09-20,24.854792157624487
2020-10-04,31.931179361147365
2020-11-08,19.75378328233512
2020-11-22,13.002522188223416
2020-11-29,47.734205987015464
2020-12-06,24.02966604821332
2020-12-20,50.35983653407132
2020-12-27,22.054287719979804
2021-01-10,26.830170485858
2021-01-24,24.02966604821332
2021-03-21,29.630674923502685
2021-04-18,14.977900516456927
2021-05-02,29.130674923502685
2021-06-06,50.85983653407132
2021-06-13,42.1331971117261
2021-06-20,36.707062127025566
2021-07-18,20.078909391746294
2021-07-25,16.953278844690438
2021-08-01,29.955801032913854
2021-08-08,24.854792157624487
2021-09-12,24.354792157624487
2021-09-26,35.88193601761439
2021-10-03,36.207062127025566
2021-10-10,29.130674923502685
2021-10-24,25.17991826703566
2021-10-31,27.980422704680343
2021-11-07,45.758827658781954
2021-11-14,36.707062127025566
2021-12-05,19.75378328233512
2022-01-02,31.21210650347239
2022-01-16,44.217150879919224
2022-01-23,26.01008875289366
2022-02-13,13.00504437644683
2022-02-20,39.01513312934049
2022-02-27,14.305548814091514
2022-03-20,22.758827658781954
2022-04-03,22.108575439959612
2022-04-10,31.862358722294733
2022-04-17,14.955801032913856
2022-04-24,37.06437647287347
2022-05-29,22.758827658781954
2022-06-05,18.207062127025562
2022-06-26,35.763872035228786
2022-07-10,24.059332096426637
2022-07-24,32.512610941117075
2022-07-31,27.310593190538345
2022-08-07,21.45832322113727
2022-08-21,33.81311537876176
2022-08-28,22.758827658781954
2022-09-11,65.02522188223415
2022-10-09,32.512610941117075
2022-10-16,43.56689866109688
2022-10-30,42.91664644227454
2022-12-04,44.217150879919224
2022-12-11,20.80807100231493
2022-12-18,17.55680990820322
2022-12-25,27.960845409360687
