,MVT_GT_Los Angeles CA
2017-01-01,53.0
2017-01-08,70.0
2017-01-15,67.0
2017-01-22,33.0
2017-01-29,38.0
2017-02-05,36.0
2017-02-12,32.0
2017-02-19,47.0
2017-02-26,47.0
2017-03-05,53.0
2017-03-12,54.0
2017-03-19,79.0
2017-03-26,59.0
2017-04-02,65.0
2017-04-09,55.0
2017-04-16,49.0
2017-04-23,20.0
2017-04-30,58.0
2017-05-07,47.0
2017-05-14,46.0
2017-05-21,46.0
2017-05-28,53.0
2017-06-04,45.0
2017-06-11,60.0
2017-06-18,46.0
2017-06-25,62.0
2017-07-02,80.0
2017-07-09,50.0
2017-07-16,42.0
2017-07-23,60.0
2017-07-30,55.0
2017-08-06,65.0
2017-08-13,100.0
2017-08-20,48.0
2017-08-27,23.0
2017-09-03,49.0
2017-09-10,46.0
2017-09-17,37.0
2017-09-24,68.0
2017-10-01,45.0
2017-10-08,33.0
2017-10-15,43.0
2017-10-22,40.0
2017-10-29,66.0
2017-11-05,45.0
2017-11-12,72.0
2017-11-19,55.0
2017-11-26,71.0
2017-12-03,28.0
2017-12-10,34.0
2017-12-17,53.0
2017-12-24,100.0
2017-12-31,44.0
2018-01-07,27.87497279370607
2018-01-14,42.03624907432856
2018-01-21,58.09268489002886
2018-01-28,55.74994558741214
2018-02-04,47.721727679561994
2018-02-11,42.983828841867464
2018-02-18,79.8345993109626
2018-02-25,55.74994558741214
2018-03-04,49.1168872146398
2018-03-11,30.21771209632279
2018-03-18,42.983828841867464
2018-03-25,69.91122186803463
2018-04-01,60.93542419264558
2018-04-08,46.27414791202309
2018-04-15,36.850770469095124
2018-04-22,47.721727679561994
2018-04-29,48.1693074471009
2018-05-06,71.80638140311245
2018-05-13,67.06848256541792
2018-05-20,75.59670047326807
2018-05-27,44.87898837694527
2018-06-03,69.91122186803463
2018-06-10,50.064466982178715
2018-06-17,40.14108953925075
2018-06-24,54.80236581987324
2018-07-01,35.90319070155623
2018-07-08,48.6693074471009
2018-07-15,87.86281721881275
2018-07-22,65.6733230303401
2018-07-29,63.27816349526229
2018-08-05,48.1693074471009
2018-08-12,48.6693074471009
2018-08-19,45.326568144484185
2018-08-26,36.850770469095124
2018-09-02,38.24593000417293
2018-09-09,13.213696513083583
2018-09-16,47.721727679561994
2018-09-23,66.62090279787901
2018-09-30,34.00803116647841
2018-10-07,42.983828841867464
2018-10-14,28.322552561244976
2018-10-21,41.588669306789654
2018-10-28,45.826568144484185
2018-11-04,54.80236581987324
2018-11-11,40.64108953925075
2018-11-18,34.00803116647841
