,MVT_GT_San Antonio TX
2017-01-15,45.0
2017-03-19,42.0
2017-03-26,41.0
2017-04-09,22.0
2017-04-16,26.0
2017-04-23,57.0
2017-04-30,38.0
2017-05-14,23.0
2017-05-21,100.0
2017-05-28,18.0
2017-07-02,29.0
2017-07-23,22.0
2017-08-27,17.0
2017-10-15,24.0
2017-11-05,29.0
2017-11-12,41.0
2017-11-19,21.0
2018-01-07,27.3852859745395
2018-01-14,18.756857316359667
2018-01-21,49.9935147541711
2018-03-04,16.831171584723702
2018-03-11,42.29077182762724
2018-04-15,18.756857316359667
2018-04-22,18.756857316359667
2018-05-06,17.294014450541685
2018-05-27,23.071071645449585
2018-06-24,19.719700182177654
2018-10-07,25.959600242903534
2018-10-14,35.08802890108337
2018-11-04,28.848128840357486
2018-11-11,34.125186035265386
2019-02-17,36.05087176690135
2019-02-24,16.331171584723702
2019-03-17,22.608228779631602
2019-03-31,22.608228779631602
2019-05-12,38.93940036435531
2019-05-19,49.03067188835312
2019-05-26,45.17930042508119
2019-06-30,25.959600242903534
2019-09-01,50.45635761998909
2019-09-08,19.219700182177654
2019-09-22,32.19950030362942
2019-10-06,15.368328718905719
2019-11-24,11.054114389815801
2019-12-01,39.90224323017328
2019-12-08,18.756857316359667
2019-12-29,27.8852859745395
2020-01-26,15.868328718905719
2020-02-09,23.071071645449585
2020-02-16,32.19950030362942
2020-02-23,24.033914511267568
2020-03-01,34.125186035265386
2020-03-08,21.14538591381362
2020-03-15,13.94264298726975
2020-03-29,23.071071645449585
2020-04-12,34.625186035265386
2020-04-19,17.294014450541685
2020-05-24,13.94264298726975
2020-05-31,20.682543047995637
2020-06-07,23.071071645449585
2020-07-12,57.19625768071497
2020-07-19,18.756857316359667
2020-08-02,28.848128840357486
2020-08-09,18.756857316359667
2020-08-23,14.905485853087734
2020-09-20,36.05087176690135
2020-09-27,16.331171584723702
2020-10-11,39.90224323017328
2020-12-06,18.756857316359667
2020-12-27,22.108228779631602
2021-01-03,17.294014450541685
2021-01-24,47.10498615671715
2021-01-31,20.182543047995637
2021-03-07,19.219700182177654
2021-03-21,37.97655749853732
2021-03-28,27.8852859745395
2021-04-04,19.719700182177654
2021-04-11,21.64538591381362
2021-04-18,16.831171584723702
2021-04-25,24.99675737708555
2021-05-02,45.67930042508119
2021-05-16,17.294014450541685
2021-05-30,24.033914511267568
2021-06-06,23.071071645449585
2021-06-13,15.868328718905719
2021-06-27,26.922443108721517
2021-07-04,32.19950030362942
2021-08-01,20.682543047995637
2021-08-22,21.14538591381362
2021-09-12,22.108228779631602
2021-10-10,43.753614693445215
2021-11-07,32.19950030362942
2021-11-21,24.033914511267568
2021-12-12,29.81097170617547
2021-12-19,38.43940036435531
2021-12-26,16.331171584723702
2022-01-09,17.58802890108337
2022-01-23,78.68328718905718
2022-01-30,19.439400364355304
2022-02-06,17.58802890108337
2022-02-13,20.36508609599127
2022-03-06,36.101743533802704
2022-03-13,39.804486460346574
2022-03-27,14.810971706175469
2022-04-17,15.736657437811436
2022-04-24,26.844886217443037
2022-05-01,30.547629143986903
2022-05-08,47.20997231343431
2022-05-15,25.91920048580707
2022-05-29,69.42642987269751
2022-06-05,31.473314875622872
2022-06-12,17.58802890108337
2022-06-26,24.993514754171102
2022-07-10,19.439400364355304
2022-07-24,62.02094401960977
2022-07-31,35.17605780216674
2022-08-07,38.87880072871061
2022-08-14,36.101743533802704
2022-08-21,29.621943412350937
2022-09-18,12.959600242903536
2022-10-02,24.993514754171102
2022-10-16,19.439400364355304
2022-10-30,47.20997231343431
2022-11-27,33.32468633889481
2022-12-04,30.547629143986903
2022-12-11,42.58154365525447
2022-12-18,18.513714632719335
2022-12-25,92.56857316359668
