,MVT_GT_Atlanta GA
2017-01-01,48.0
2017-01-08,41.0
2017-01-15,19.0
2017-01-22,40.0
2017-01-29,42.0
2017-02-05,50.0
2017-02-19,14.0
2017-02-26,13.0
2017-03-05,15.0
2017-03-12,18.0
2017-03-19,23.0
2017-04-02,42.0
2017-04-09,11.0
2017-04-16,16.0
2017-04-23,24.0
2017-04-30,23.0
2017-05-07,30.0
2017-05-14,44.0
2017-05-21,57.0
2017-05-28,16.0
2017-06-04,49.0
2017-06-11,55.0
2017-06-18,34.0
2017-06-25,33.0
2017-07-02,32.0
2017-07-09,57.0
2017-07-16,21.0
2017-07-23,55.0
2017-07-30,31.0
2017-08-06,17.0
2017-08-13,26.0
2017-08-20,51.0
2017-08-27,57.0
2017-09-03,36.0
2017-09-17,23.0
2017-10-01,22.0
2017-10-08,18.0
2017-10-15,16.0
2017-10-22,48.0
2017-10-29,22.0
2017-11-05,61.0
2017-11-12,39.0
2017-11-19,37.0
2017-11-26,24.0
2017-12-03,22.0
2017-12-10,26.0
2017-12-17,20.0
2017-12-24,39.0
2017-12-31,30.0
2018-01-07,52.0
2018-01-14,53.0
2018-01-28,31.0
2018-02-04,26.0
2018-02-11,47.0
2018-02-18,31.0
2018-02-25,21.0
2018-03-04,37.0
2018-03-11,30.0
2018-03-18,17.0
2018-03-25,30.0
2018-04-01,32.0
2018-04-08,47.0
2018-04-15,46.0
2018-04-22,16.0
2018-04-29,32.0
2018-05-06,21.0
2018-05-13,20.0
2018-05-20,25.0
2018-06-03,71.0
2018-06-10,30.0
2018-06-17,20.0
2018-07-01,43.0
2018-07-08,22.0
2018-07-15,55.0
2018-07-22,27.0
2018-07-29,37.0
2018-08-05,36.0
2018-08-12,26.0
2018-08-19,39.0
2018-08-26,27.0
2018-09-02,33.0
2018-09-09,22.0
2018-09-16,83.0
2018-09-23,30.0
2018-09-30,25.0
2018-10-07,68.0
2018-10-14,27.0
2018-10-21,29.0
2018-11-04,20.0
2018-11-11,29.0
2018-11-18,16.0
2018-11-25,45.0
2018-12-02,47.0
2018-12-09,17.0
2018-12-16,15.0
2018-12-30,50.0
2019-01-06,42.0
2019-01-13,26.0
2019-01-20,46.0
2019-02-03,55.0
2019-02-10,34.0
2019-02-17,47.0
2019-02-24,75.0
2019-03-03,65.0
2019-03-17,20.0
2019-04-21,15.0
2019-04-28,24.0
2019-05-05,68.0
2019-05-19,35.0
2019-05-26,22.0
2019-06-02,36.0
2019-06-09,18.0
2019-06-16,19.0
2019-06-23,20.0
2019-06-30,55.0
