,MVT_GT_Philadelphia PA
2017-01-01,91.0
2017-01-08,45.0
2017-01-15,50.0
2017-01-22,42.0
2017-01-29,22.0
2017-02-05,33.0
2017-02-12,68.0
2017-02-19,48.0
2017-02-26,42.0
2017-03-05,20.0
2017-03-12,17.0
2017-03-26,25.0
2017-04-02,48.0
2017-04-09,21.0
2017-04-16,24.0
2017-04-23,28.0
2017-05-14,51.0
2017-05-21,34.0
2017-05-28,71.0
2017-06-04,27.0
2017-06-11,24.0
2017-06-18,31.0
2017-06-25,55.0
2017-07-02,44.0
2017-07-09,37.0
2017-07-16,23.0
2017-07-23,66.0
2017-08-06,35.0
2017-08-13,20.0
2017-08-20,60.0
2017-09-03,22.0
2017-09-10,40.0
2017-09-24,26.0
2017-10-08,18.0
2017-10-22,58.0
2017-10-29,27.0
2017-11-05,16.0
2017-11-12,32.0
2017-11-19,22.0
2017-11-26,28.0
2017-12-17,59.0
2017-12-24,55.0
2018-01-07,30.565784918276094
2018-01-14,33.81104771173818
2018-01-21,27.19789072808296
2018-01-28,41.546836092124444
2018-02-11,21.084733744427744
2018-02-18,42.16946748885549
2018-03-04,23.82999653788983
2018-03-25,53.27315005943488
2018-04-08,26.07525933135192
2018-04-15,23.82999653788983
2018-05-13,54.89578145616592
2018-05-20,41.546836092124444
2018-06-03,57.14104424962801
2018-06-10,23.82999653788983
2018-06-17,75.48051520059366
2018-06-24,43.792098885586526
2018-07-01,73.23525240713158
2018-07-15,21.084733744427744
2018-07-22,65.49946402674531
2018-07-29,82.09367218424889
2018-08-05,63.254201233283226
2018-08-12,38.801573298662355
2018-08-19,37.17894190193131
2018-09-09,27.19789072808296
2018-09-16,99.8105117384835
2018-09-23,62.13156983655219
2018-10-07,36.05631050520027
2018-10-28,74.35788380386262
2018-11-04,19.9621023476967
2018-11-18,44.91473028231758
2018-12-02,58.763675646359054
2018-12-09,47.65999307577966
2018-12-16,47.15999307577966
2019-01-13,31.065784918276094
2019-01-20,24.952627934620875
2019-01-27,37.17894190193131
2019-02-03,64.37683263001428
2019-02-17,43.292098885586526
2019-02-24,53.77315005943488
2019-03-03,58.763675646359054
2019-03-10,31.065784918276094
2019-03-24,18.839470950965655
2019-03-31,62.13156983655219
2019-04-14,48.282624472510705
2019-04-28,31.565784918276094
2019-05-19,36.05631050520027
2019-05-26,37.17894190193131
2019-06-09,46.037361679048615
2019-06-30,42.66946748885549
2019-07-07,47.15999307577966
2019-07-14,99.8105117384835
2019-07-28,41.046836092124444
2019-08-11,47.15999307577966
2019-08-18,34.43367910846922
2019-09-01,57.14104424962801
2019-09-08,29.94315352154505
2019-09-15,51.527887265972794
2019-09-22,49.40525586924175
2019-09-29,34.93367910846922
2019-10-06,44.91473028231758
2019-10-13,32.68841631500714
2019-10-20,41.046836092124444
2019-10-27,17.21683955423461
2019-11-03,39.9242046953934
2019-11-10,24.952627934620875
2019-11-17,58.263675646359054
2019-12-01,72.11262101040055
2019-12-15,58.763675646359054
2019-12-22,80.97104078751784
2019-12-29,33.31104771173818
2020-01-05,37.67894190193131
2020-01-12,32.18841631500714
2020-01-19,61.008938439821144
2020-01-26,32.68841631500714
2020-02-02,53.77315005943488
2020-02-09,14.971576760772525
2020-02-16,42.16946748885549
2020-02-23,14.971576760772525
2020-03-01,33.31104771173818
2020-03-08,22.20736514115879
2020-03-15,28.320522124814005
2020-03-22,31.065784918276094
2020-03-29,23.82999653788983
2020-04-05,12.726313967310437
2020-04-12,24.952627934620875
2020-04-19,21.084733744427744
2020-04-26,51.027887265972794
2020-05-03,33.81104771173818
2020-05-17,37.17894190193131
2020-05-24,33.81104771173818
2020-05-31,32.68841631500714
2020-06-07,70.9899896136695
2020-06-14,16.59420815750357
2020-06-21,46.037361679048615
2020-07-05,21.584733744427744
2020-07-12,21.084733744427744
2020-07-26,56.01841285289697
2020-08-02,23.82999653788983
2020-08-09,19.9621023476967
2020-08-23,23.82999653788983
2020-08-30,19.9621023476967
2020-09-06,37.67894190193131
2020-09-13,22.20736514115879
2020-09-20,67.12209542347637
2020-09-27,23.32999653788983
2020-10-04,59.8863070430901
2020-10-11,19.9621023476967
2020-11-08,41.046836092124444
2020-11-15,41.046836092124444
2020-11-22,24.952627934620875
2020-11-29,28.820522124814005
2020-12-06,68.2447268202074
2020-12-13,29.94315352154505
2020-12-20,21.584733744427744
2020-12-27,87.08419777117305
2021-01-03,34.93367910846922
2021-01-10,46.037361679048615
2021-01-17,39.9242046953934
2021-01-31,22.70736514115879
2021-02-07,36.05631050520027
2021-02-14,42.16946748885549
2021-02-28,43.292098885586526
2021-03-07,56.01841285289697
2021-03-14,39.4242046953934
2021-03-28,38.801573298662355
2021-04-04,48.282624472510705
2021-04-11,29.94315352154505
2021-04-25,14.971576760772525
2021-05-02,64.37683263001428
2021-05-09,65.99946402674531
2021-05-16,42.66946748885549
2021-05-23,41.546836092124444
2021-06-06,28.320522124814005
2021-06-13,29.94315352154505
2021-06-20,48.782624472510705
2021-06-27,46.037361679048615
2021-07-04,73.23525240713158
2021-07-11,51.027887265972794
2021-07-18,38.301573298662355
2021-07-25,65.49946402674531
2021-08-08,28.820522124814005
2021-08-22,49.90525586924175
2021-08-29,34.93367910846922
2021-09-05,62.13156983655219
2021-09-12,77.10314659732471
2021-09-19,53.27315005943488
2021-09-26,74.35788380386262
2021-10-10,43.292098885586526
2021-10-17,75.98051520059366
2021-10-24,26.07525933135192
2021-10-31,48.782624472510705
2021-11-07,53.27315005943488
2021-11-14,22.20736514115879
2021-11-21,78.22577799405576
2021-11-28,21.084733744427744
2021-12-05,90.9520919613662
2021-12-12,27.19789072808296
2021-12-19,21.084733744427744
2021-12-26,31.065784918276094
2022-01-02,36.11262101040054
2022-01-09,61.01787687964229
2022-01-16,78.45155598811151
2022-01-23,27.395781456165924
2022-01-30,56.03682570579394
2022-02-06,67.24419084695272
2022-02-13,51.05577453194559
2022-02-20,42.33893497771098
2022-02-27,36.11262101040054
2022-03-06,73.47050481426317
2022-03-13,56.03682570579394
2022-03-20,54.79156291233185
2022-04-03,52.30103732540768
2022-04-10,19.9242046953934
2022-04-17,28.64104424962801
2022-04-24,63.50840246656646
2022-05-01,16.18841631500714
2022-05-08,83.43260716195987
2022-05-15,18.67894190193131
2022-05-22,47.31998615155932
2022-05-29,23.65999307577966
2022-06-05,49.8105117384835
2022-06-12,54.79156291233185
2022-06-19,70.97997922733899
2022-06-26,34.86735821693845
2022-07-03,18.67894190193131
2022-07-10,36.11262101040054
2022-07-17,124.52627934620875
2022-07-24,22.414730282317574
2022-07-31,46.07472335809724
2022-08-07,77.20629319464942
2022-08-14,80.94208157503569
2022-08-21,73.47050481426317
2022-08-28,80.94208157503569
2022-09-04,44.82946056463515
2022-09-11,46.07472335809724
2022-09-18,75.96103040118733
2022-09-25,22.414730282317574
2022-10-02,82.18734436849778
2022-10-09,78.45155598811151
2022-10-16,42.33893497771098
2022-10-23,48.56524894502141
2022-10-30,31.13156983655219
2022-11-06,58.52735129271811
2022-11-13,53.54630011886976
2022-11-20,32.37683263001428
2022-11-27,36.11262101040054
2022-12-04,75.96103040118733
2022-12-11,46.07472335809724
2022-12-18,62.26313967310438
2022-12-25,53.54630011886976
