,MVT_GT_Detroit MI
2021-09-12,51.995749982988656
2021-09-19,35.86753260055979
2021-10-03,49.0
2021-10-10,37.0
2021-10-17,27.73789854579381
2021-10-31,30.0
2021-11-14,73.0
2021-11-28,28.933057964111338
2021-12-05,42.01995289140103
2021-12-26,42.12821738242886
2018-02-11,35.213695637381434
2018-02-18,22.302007237008244
2018-03-11,19.954427527849482
2018-04-01,26.997166655325767
2018-04-15,32.866115928222676
2018-07-22,62.210862292707205
2018-08-05,35.213695637381434
2018-09-02,23.475797091587623
2018-09-23,43.430224619437105
2018-10-14,65.73223185644535
2018-11-18,25.823376800746388
2018-12-23,46.951594183175246
2019-01-27,28.17095650990515
2019-03-17,36.38748549196082
2019-06-02,34.03990578280206
2019-09-08,29.344746364484532
2019-09-22,25.823376800746388
2019-10-06,58.689492728969064
2019-11-03,43.430224619437105
2019-11-10,46.951594183175246
2019-11-24,22.302007237008244
2020-02-02,38.73506520111958
2020-02-16,39.908855055698965
2020-03-22,21.12821738242886
2020-04-05,17.606847818690717
2020-04-12,37.5612753465402
2020-06-14,28.17095650990515
2020-08-23,25.823376800746388
2020-09-13,29.344746364484532
2020-09-27,29.344746364484532
2020-10-18,55.16812316523092
2021-01-03,38.73506520111958
2021-01-31,24.649586946167005
2021-02-07,36.38748549196082
2021-03-21,23.475797091587623
2021-07-25,23.475797091587623
2021-11-07,31.692326073643294
2021-12-19,30.51853621906391
2022-02-06,37.5612753465402
2022-02-20,42.25643476485772
2022-03-06,30.51853621906391
2022-03-13,35.213695637381434
2022-03-20,21.12821738242886
2022-03-27,43.430224619437105
2022-04-10,68.07981156560412
2022-04-17,24.649586946167005
2022-05-01,44.60401447401649
2022-05-08,31.692326073643294
2022-05-15,22.302007237008244
2022-05-22,43.430224619437105
2022-06-05,29.344746364484532
2022-06-12,98.59834778466802
2022-06-19,70.42739127476287
2022-07-03,55.16812316523092
2022-07-17,59.86328258354844
2022-07-24,56.3419130198103
2022-08-07,61.03707243812782
2022-08-14,56.3419130198103
2022-08-21,99.7721376392474
2022-08-28,35.213695637381434
2022-09-04,23.475797091587623
2022-09-11,97.42455793008864
2022-09-18,30.51853621906391
2022-10-02,71.60118112934225
2022-10-09,69.25360142018349
2022-10-16,34.03990578280206
2022-10-23,31.692326073643294
2022-11-06,59.86328258354844
2022-11-13,62.210862292707205
2022-11-20,42.25643476485772
2022-11-27,77.47013040223916
2022-12-11,43.430224619437105
2022-12-25,30.51853621906391
