date,Kansas City MO
2022-07-31,53.805
2022-08-14,60.78
2022-08-21,26.299
2022-08-28,38.418
2022-09-04,67.797
2022-09-11,39.322
2022-09-18,28.249
2022-09-25,49.988
2022-10-02,30.035
2022-10-09,25.218
2022-10-16,25.989
2022-10-23,25.07
2022-10-30,21.469
2022-11-06,36.723
2022-11-13,32.936
2022-11-20,35.637
2022-11-27,30.064
2022-12-04,48.353
2022-12-11,30.986
2022-12-18,46.597
2022-12-25,34.744
