,MVT_GT_Bakersfield CA
2017-01-08,39.0
2017-01-15,43.0
2017-02-12,29.0
2017-03-19,31.0
2017-04-09,52.0
2017-05-07,47.0
2017-05-21,30.0
2017-05-28,32.0
2017-07-02,37.0
2017-08-06,43.0
2017-08-13,46.0
2017-10-01,82.0
2017-10-08,32.0
2017-10-15,40.0
2017-10-22,35.0
2017-11-26,27.0
2017-12-24,37.0
2018-01-14,41.0
2018-02-18,30.0
2018-04-22,27.0
2018-04-29,40.0
2018-05-20,29.0
2018-05-27,63.0
2018-07-29,49.0
2018-08-12,90.0
2018-09-09,39.0
2018-11-11,34.0
2018-12-09,27.0
2018-12-16,50.0
2019-01-06,63.0
2019-01-27,50.0
2019-02-10,30.0
2019-04-21,55.0
2019-05-05,80.0
2019-05-19,90.0
2019-05-26,72.0
2019-06-16,44.0
2019-06-23,34.0
2019-06-30,35.0
2019-07-14,100.0
2019-08-18,55.0
2019-09-08,57.0
2019-09-22,27.0
2019-10-06,25.0
2019-10-13,30.0
2019-10-20,68.0
2019-10-27,27.0
2019-12-01,23.0
2019-12-15,25.0
2019-12-29,60.0
2020-01-19,40.0
2020-03-01,20.0
2020-04-05,18.0
2020-04-12,38.0
2020-04-19,34.0
2020-05-17,67.0
2020-06-14,54.0
2020-07-26,24.0
2020-09-13,22.0
2020-11-15,29.0
2020-12-13,74.0
2021-01-17,22.0
2021-03-07,43.0
2021-03-14,29.0
2021-03-28,29.0
2021-04-18,35.0
2021-04-25,21.0
2021-05-09,43.0
2021-05-16,66.0
2021-06-13,39.0
2021-07-25,55.0
2021-08-22,51.0
2021-08-29,23.0
2021-09-19,47.0
2021-09-26,88.0
2021-12-19,58.0
2022-01-02,29.0
2022-01-16,58.0
2022-02-06,27.0
2022-02-20,17.0
2022-03-27,17.0
2022-04-03,28.0
2022-04-17,38.0
2022-04-24,45.0
2022-06-12,23.0
2022-07-17,21.0
2022-09-25,21.0
2022-10-30,52.0
2022-11-27,22.0
2022-12-11,43.0
