,MVT_GT_Kansas City MO
2017-01-08,36.0
2017-01-22,18.0
2017-01-29,22.0
2017-02-05,28.0
2017-02-26,100.0
2017-03-12,38.0
2017-03-26,17.0
2017-04-09,34.0
2017-05-14,21.0
2017-05-21,38.0
2017-06-04,41.0
2017-06-18,26.0
2017-06-25,45.0
2017-07-09,31.0
2017-07-30,35.0
2017-08-27,27.0
2017-09-17,33.0
2017-09-24,28.0
2017-10-01,28.0
2017-10-22,28.0
2017-11-05,22.0
2017-11-12,80.0
2017-11-19,48.0
2017-11-26,78.0
2017-12-31,23.0
2018-01-07,31.340612303492435
2018-02-04,63.18122460698487
2018-02-11,61.74942388325002
2018-02-25,21.715708322950764
2018-03-11,69.94252714005684
2018-04-15,40.03371556029926
2018-04-29,43.897317007768955
2018-05-13,60.7835235213826
2018-05-20,18.81800723734849
2018-05-27,22.18160868481819
2018-06-17,31.840612303492435
2018-07-08,32.80651266535986
2018-07-15,48.22681881710608
2018-07-22,27.977010856022737
2018-09-30,27.977010856022737
2018-10-14,25.579309770420465
2018-10-21,30.37471194162501
2018-11-04,25.079309770420465
2019-02-17,20.24980796108334
2019-02-24,42.93141664590153
2019-03-17,22.18160868481819
2019-04-07,28.942911217890163
2019-04-14,23.647509046685613
2019-04-28,22.18160868481819
2019-05-19,26.045210132287888
2019-05-26,55.954021712045474
2019-06-16,29.908811579757586
2019-06-30,25.079309770420465
2019-07-14,42.93141664590153
2019-07-21,77.16973003499623
2019-08-11,24.61340940855304
2019-08-18,49.692719178973505
2019-09-15,20.74980796108334
2019-09-29,23.147509046685613
2019-10-20,48.22681881710608
2019-11-03,18.81800723734849
2019-11-10,40.03371556029926
2019-11-17,24.61340940855304
2019-12-08,20.24980796108334
2019-12-29,28.942911217890163
2020-01-05,44.86321736963638
2020-01-12,18.31800723734849
2020-01-19,16.386206513613644
2020-02-02,22.18160868481819
2020-02-16,17.852106875481066
2020-03-01,38.101914836564404
2020-03-08,19.783907599215915
2020-03-29,46.795018093371226
2020-04-12,16.386206513613644
2020-04-19,16.886206513613644
2020-05-03,33.27241302722729
2020-05-10,24.11340940855304
2020-05-24,17.352106875481066
2020-05-31,24.11340940855304
2020-06-07,32.80651266535986
2020-06-21,43.897317007768955
2020-06-28,24.11340940855304
2020-08-16,93.09003618674245
2020-09-06,21.715708322950764
2020-10-04,31.840612303492435
2020-11-01,27.01111049415531
2020-11-15,19.783907599215915
2020-11-22,32.80651266535986
2020-11-29,27.01111049415531
2020-12-20,22.18160868481819
2020-12-27,21.215708322950764
2021-01-03,63.68122460698487
2021-01-10,29.408811579757586
2021-01-24,29.908811579757586
2021-03-14,19.283907599215915
2021-03-21,28.942911217890163
2021-03-28,25.079309770420465
2021-04-25,24.61340940855304
2021-05-16,37.13601447469698
2021-05-30,41.96551628403411
2021-06-20,35.20421375096213
2021-07-04,92.62413582487503
2021-07-11,32.80651266535986
2021-08-01,25.079309770420465
2021-08-22,25.079309770420465
2021-09-12,32.80651266535986
2021-09-26,31.840612303492435
2021-10-03,32.80651266535986
2021-10-24,28.942911217890163
2021-10-31,25.079309770420465
2021-11-07,28.942911217890163
2021-11-21,29.908811579757586
2021-11-28,30.87471194162501
2021-12-26,25.079309770420465
2022-01-02,33.54482605445457
2022-01-09,26.090420264575776
2022-01-23,28.885822435780323
2022-02-06,51.2490398054167
2022-02-20,19.56781519843183
2022-03-06,57.771644871560646
2022-03-13,20.49961592216668
2022-03-20,20.49961592216668
2022-04-10,18.63601447469698
2022-04-17,42.86283329180306
2022-04-24,57.771644871560646
2022-05-08,28.885822435780323
2022-05-29,59.635246319030344
2022-06-05,21.43141664590153
2022-06-12,76.40765934625763
2022-07-10,22.36321736963638
2022-07-17,31.68122460698487
2022-08-07,20.49961592216668
2022-08-14,32.61302533071972
2022-08-28,58.70344559529549
2022-09-04,19.56781519843183
2022-10-02,19.56781519843183
2022-10-09,17.704213750962133
2022-11-06,16.772413027227284
2022-11-13,43.79463401553791
2022-11-20,33.54482605445457
2022-12-04,38.203829673128816
2022-12-18,22.36321736963638
2022-12-25,24.22681881710608
