,MVT_GT_Minneapolis-St. Paul MN
2017-01-01,50.0
2017-01-08,46.0
2017-01-29,19.0
2017-02-05,24.0
2017-02-12,21.0
2017-03-19,14.0
2017-03-26,21.0
2017-04-30,32.0
2017-05-07,31.0
2017-05-14,13.0
2017-05-21,25.0
2017-06-04,36.0
2017-06-11,14.0
2017-06-18,21.0
2017-07-02,36.0
2017-07-09,23.0
2017-07-16,21.0
2017-09-03,14.0
2017-09-10,12.0
2017-09-24,11.0
2017-10-22,14.0
2017-11-05,20.0
2017-11-12,18.0
2017-11-19,22.0
2017-11-26,11.0
2017-12-03,12.0
2017-12-17,36.0
2017-12-31,22.0
2018-01-07,19.0
2018-01-21,20.461122878422238
2018-02-11,31.961122878422238
2018-02-18,35.200975302488146
2018-02-25,19.0
2018-03-04,15.22127045435633
2018-03-11,19.591196666389287
2018-03-18,21.128360605808442
2018-03-25,31.86821302987435
2018-04-01,23.0
2018-05-06,33.812467120745616
2018-05-13,23.461122878422238
2018-06-10,25.184106514937177
2018-06-24,39.719557272197726
2018-07-08,13.0
2018-07-15,28.498286817841397
2018-07-22,53.45769651410503
2018-07-29,23.0
2018-08-05,27.0
2018-08-12,44.570901514521104
2018-08-26,26.016868787550976
2018-09-23,40.53373757510195
2018-09-30,23.34963106016477
2018-10-07,18.0
2018-10-14,14.665524545227598
2018-10-21,30.054032726970128
2018-11-04,23.0
2018-11-11,24.0
2018-12-02,34.0
2018-12-09,27.72127045435633
2018-12-30,24.0
2019-01-13,33.0
2019-01-27,27.535450757260552
2019-02-03,21.22127045435633
2019-02-10,16.0
2019-02-17,29.0
2019-03-03,30.94254090871266
2019-03-17,24.0
2019-04-07,27.44254090871266
2019-04-14,17.0
2019-05-05,52.38508181742532
2019-06-16,21.0
2019-06-23,39.44254090871266
2019-06-30,23.0
2019-07-14,22.516868787550976
2019-08-04,30.0
2019-08-11,14.0
2019-08-18,28.609778636098863
2019-09-01,17.572614696679707
2019-09-08,22.0
2019-09-15,15.0
2019-09-29,21.961122878422238
2019-10-06,14.0
2019-10-27,21.84963106016477
2019-11-03,10.0
2019-11-24,44.0
2019-12-01,11.0
2019-12-08,13.0
2019-12-15,38.0
2020-01-05,16.22127045435633
