,MVT_GT_Colorado Springs-Pueblo CO
2017-01-01,92.0
2017-01-29,25.0
2017-03-19,38.0
2017-04-02,28.0
2017-06-04,27.0
2017-07-09,38.0
2017-09-10,26.0
2017-10-08,25.0
2017-11-05,88.0
2017-12-17,31.0
2018-01-07,47.0
2018-01-14,66.0
2018-02-11,62.0
2018-02-18,42.0
2018-02-25,59.0
2018-03-11,62.0
2018-03-18,35.0
2018-05-20,27.0
2018-06-10,38.0
2018-07-08,81.0
2018-09-09,39.0
2018-09-16,29.0
2018-11-18,34.0
2018-11-25,24.0
2019-01-13,27.0
2019-03-03,22.0
2019-06-02,27.0
2019-09-15,52.0
2019-10-06,50.0
2019-10-20,39.0
2019-11-10,23.0
2019-12-08,35.0
2019-12-15,45.0
2019-12-22,44.0
2019-12-29,53.0
2020-01-05,24.0
2020-02-02,29.0
2020-03-08,19.0
2020-04-05,17.0
2020-06-14,20.0
2020-06-28,49.0
2020-07-05,37.0
2020-07-26,64.0
2020-08-23,19.0
2020-08-30,33.0
2020-09-06,21.0
2020-10-04,48.0
2020-11-15,55.0
2020-11-29,19.0
2020-12-06,25.0
2020-12-20,22.0
2020-12-27,20.0
2021-01-31,43.0
2021-04-11,27.0
2021-05-02,21.0
2021-05-23,29.0
2021-06-27,23.0
2021-07-11,31.0
2021-07-25,96.0
2021-08-15,45.0
2021-08-29,33.0
2021-09-05,32.0
2021-09-19,53.0
2021-10-03,30.0
2021-10-17,45.0
2021-11-07,100.0
2021-11-21,57.0
2021-12-05,36.0
2021-12-19,38.0
2022-03-06,24.0
2022-03-13,20.0
2022-03-20,26.0
2022-04-17,14.0
2022-05-08,18.0
2022-06-05,38.0
2022-06-12,56.0
2022-07-10,24.0
2022-07-17,49.0
2022-10-23,25.0
2022-12-18,25.0
