,MVT_GT_Fresno-Visalia CA
2017-01-01,47.0
2017-01-15,100.0
2017-03-19,18.0
2017-04-30,16.0
2017-05-14,19.0
2017-05-28,20.0
2017-06-11,31.0
2017-07-02,20.0
2017-07-09,22.0
2017-07-16,15.0
2017-08-27,20.0
2017-09-03,28.0
2017-09-17,18.0
2017-10-08,20.0
2017-10-15,25.0
2017-10-22,15.0
2017-11-05,34.0
2017-12-17,22.0
2017-12-31,38.0
2018-01-07,20.168438605153245
2018-01-14,14.872117988736102
2018-02-04,16.134750884122596
2018-04-01,18.15159474463792
2018-04-15,18.905805709766753
2018-04-22,16.134750884122596
2018-04-29,13.109485093349608
2018-05-06,13.86369605847844
2018-05-27,20.168438605153245
2018-06-10,22.9394934307974
2018-07-15,12.855274128220778
2018-09-02,33.27792369850285
2018-09-16,12.855274128220778
2018-09-23,14.117907023607271
2018-10-07,24.956337291312725
2018-10-21,18.905805709766753
2018-10-28,19.914227640024414
2018-11-04,18.905805709766753
2019-01-06,34.03213466363168
2019-02-24,17.143172814380257
2019-03-24,25.210548256441555
2019-04-14,26.718970186699217
2019-04-28,16.134750884122596
2019-05-05,45.12477589646597
2019-07-21,21.931071500539737
2019-07-28,23.947915361055063
2019-08-11,31.006868872858696
2019-09-15,20.168438605153245
2019-10-06,31.006868872858696
2019-11-03,12.855274128220778
2019-12-08,20.922649570282076
2019-12-29,45.8789868615948
2020-01-05,17.143172814380257
2020-01-12,17.143172814380257
2020-02-02,25.710548256441555
2020-02-09,11.092641232834286
2020-03-01,15.126328953864935
2020-03-22,32.01529080311636
2020-03-29,10.838430267705453
2020-04-05,12.855274128220778
2020-04-12,12.855274128220778
2020-04-19,15.126328953864935
2020-04-26,10.084219302576622
2020-05-03,9.830008337447792
2020-05-24,15.126328953864935
2020-05-31,18.65159474463792
2020-06-21,22.9394934307974
2020-07-05,26.97318115182805
2020-08-02,39.074244314919994
2020-08-16,17.89738377950909
2020-08-23,23.947915361055063
2020-08-30,29.998446942601035
2020-09-06,20.922649570282076
2020-09-13,29.998446942601035
2020-11-01,9.07579737231896
2021-01-03,21.931071500539737
2021-01-10,21.931071500539737
2021-01-17,34.786345628760515
2021-01-31,12.855274128220778
2021-02-07,17.143172814380257
2021-02-14,46.13319782672363
2021-02-21,14.117907023607271
2021-02-28,17.89738377950909
2021-04-04,15.880539918993765
2021-04-11,13.109485093349608
2021-04-18,20.168438605153245
2021-05-02,14.117907023607271
2021-06-06,39.32845528004883
2021-06-20,14.117907023607271
2021-07-04,50.92109651288311
2021-07-11,49.15846361749662
2021-07-25,20.168438605153245
2021-08-08,18.905805709766753
2021-08-29,36.04897852414701
2021-09-26,30.75265790772987
2021-10-24,23.193704395926233
2021-10-31,13.109485093349608
2021-11-14,14.872117988736102
2021-12-12,12.101063163091947
2021-12-19,18.905805709766753
2021-12-26,18.905805709766753
2022-01-02,25.929518443140775
2022-01-23,19.82845528004883
2022-01-30,36.60637897855168
2022-02-27,33.55584739700571
2022-04-10,9.660016674895584
2022-04-24,30.505315815459735
2022-05-01,10.676860535410906
2022-05-08,16.269501768245192
2022-05-15,21.862143001079478
2022-05-29,10.676860535410906
2022-06-05,10.676860535410906
2022-06-12,16.777923698502853
2022-06-19,24.91267458262545
2022-07-17,35.58953511803636
2022-07-24,20.84529914056415
2022-07-31,22.8789868615948
2022-09-11,11.693704395926233
2022-09-25,20.84529914056415
2022-10-30,21.862143001079478
2022-11-06,11.18528246566857
2022-11-13,22.8789868615948
