,MVT_GT_Los Angeles CA
2019-09-29,71.30071875859991
2019-10-06,20.87701993002896
2019-10-13,26.99012590903765
2019-10-20,48.88599683556806
2019-10-27,42.27289085655937
2019-11-03,69.76301676559703
2019-11-10,50.923698828570956
2019-11-17,58.05565580408109
2019-11-24,23.433572919533304
2019-12-01,43.29174185306082
2019-12-08,53.9802518180753
2019-12-15,26.99012590903765
2019-12-22,32.08438089154489
2019-12-29,41.25403986005792
2020-01-05,53.9802518180753
2020-01-12,61.11220879358544
2020-01-19,66.20646377609268
2020-01-26,32.08438089154489
2020-02-02,57.03680480757964
2020-02-09,33.60323188804634
2020-02-16,51.942549825072405
2020-02-23,76.39497374110715
2020-03-01,38.197486870553575
2020-03-08,40.73518886355647
2020-03-15,49.90484783206951
2020-03-22,31.06552989504344
2020-03-29,38.697486870553575
2020-04-05,33.60323188804634
2020-04-12,37.178635874052134
2020-04-19,19.858168933527512
2020-04-26,77.9138247376086
2020-05-03,34.62208288454779
2020-05-10,40.23518886355647
2020-05-17,51.442549825072405
2020-05-24,47.36714583906661
2020-05-31,61.11220879358544
2020-06-07,35.640933881049236
2020-06-14,35.140933881049236
2020-06-21,50.923698828570956
2020-06-28,40.23518886355647
2020-07-05,42.77289085655937
2020-07-12,65.68761277959123
2020-07-19,70.28186776209847
2020-07-26,77.9138247376086
2020-08-02,37.678635874052134
2020-08-09,47.36714583906661
2020-08-16,35.640933881049236
2020-08-23,49.90484783206951
2020-08-30,22.914721923031856
2020-09-13,36.65978487755068
2020-09-20,48.88599683556806
2020-09-27,44.81059284956227
2020-10-04,58.05565580408109
2020-10-11,44.81059284956227
2020-10-18,68.24416576909557
2020-10-25,34.12208288454779
2020-11-01,49.90484783206951
2020-11-08,64.66876178308978
2020-11-15,37.178635874052134
2020-11-22,45.82944384606371
2020-11-29,24.952423916034753
2020-12-06,56.01795381107819
2020-12-13,30.046678898541995
2020-12-20,51.942549825072405
2020-12-27,61.61220879358544
2021-01-03,60.09335779708399
2021-01-10,58.05565580408109
2021-01-17,42.27289085655937
2021-01-24,67.72531477259412
2021-01-31,65.18761277959123
2021-02-07,58.05565580408109
2021-02-14,68.74416576909557
2021-02-21,41.25403986005792
2021-02-28,38.197486870553575
2021-03-07,33.10323188804634
2021-03-14,75.37612274460571
2021-03-21,43.29174185306082
2021-03-28,59.07450680058254
2021-04-04,41.25403986005792
2021-04-11,35.140933881049236
2021-04-18,29.027827902040546
2021-04-25,57.03680480757964
2021-05-02,65.18761277959123
