date,Los Angeles CA
2022-07-17,69.926
2022-07-24,63.731
2022-07-31,47.272
2022-08-07,72.487
2022-08-14,77.286
2022-08-21,65.279
2022-08-28,36.292
2022-09-04,50.107
2022-09-11,76.062
2022-09-18,53.51
2022-09-25,84.303
2022-10-02,70.13
2022-10-09,66.191
2022-10-16,56.358
2022-10-23,63.468
2022-10-30,56.368
2022-11-06,72.925
2022-11-13,70.985
2022-11-20,48.386
2022-11-27,73.668
2022-12-04,31.707
2022-12-11,51.133
2022-12-18,59.418
2022-12-25,59.621
