,MVT_GT_Columbus OH
2017-03-05,20.0
2017-03-19,30.0
2017-04-09,21.0
2017-05-07,20.0
2017-05-14,77.0
2017-05-21,40.0
2017-06-18,21.0
2017-06-25,22.0
2017-07-09,23.0
2017-07-16,18.0
2017-10-15,27.0
2018-01-14,22.910776629905293
2018-02-18,75.83573303600176
2018-06-24,35.51701573142941
2018-07-08,21.810209438857648
2018-07-22,36.01701573142941
2018-07-29,39.31871730457235
2018-08-05,56.226657979239405
2018-08-19,38.2181501135247
2018-09-02,39.31871730457235
2018-09-16,16.90794067466706
2018-09-23,27.81304539409588
2018-11-04,22.910776629905293
2018-11-18,31.114746967238823
2018-12-23,25.111911012000586
2019-01-13,21.810209438857648
2019-01-20,81.83856899124
2019-02-10,99.8470768569547
2019-02-24,18.008507865714705
2019-03-31,49.12325483295353
2019-04-14,16.90794067466706
2019-05-05,18.008507865714705
2019-05-26,28.41361258514353
2019-06-02,21.810209438857648
2019-07-28,20.70964224781
2019-08-11,28.91361258514353
2019-08-25,67.13176269866824
2019-09-01,31.114746967238823
2019-09-08,21.810209438857648
2019-09-15,36.01701573142941
2019-09-29,21.810209438857648
2019-10-20,18.008507865714705
2019-11-03,74.23516584495411
2019-11-24,51.824389215048825
2019-12-01,20.20964224781
2019-12-22,31.614746967238823
2020-01-12,22.910776629905293
2020-01-19,31.114746967238823
2020-01-26,44.22098606876294
2020-02-02,27.81304539409588
2020-02-09,28.91361258514353
2020-02-23,38.2181501135247
2020-04-05,34.916448540381765
2020-04-12,14.206806292571764
2020-04-19,20.20964224781
2020-06-07,45.821553259810585
2020-08-02,37.117582922477055
2020-08-09,16.90794067466706
2020-08-16,57.82722517028706
2020-08-30,22.910776629905293
2020-09-06,19.10907505676235
2020-09-13,30.014179776191177
2020-09-20,27.31304539409588
2020-09-27,20.20964224781
2020-10-04,21.310209438857648
2020-11-08,16.90794067466706
2020-11-22,57.32722517028706
2020-11-29,21.810209438857648
2021-01-03,38.7181501135247
2021-01-10,40.91928449562
2021-01-31,18.008507865714705
2021-02-14,25.111911012000586
2021-03-14,20.70964224781
2021-05-16,36.01701573142941
2021-05-23,22.910776629905293
2021-05-30,21.810209438857648
2021-06-06,26.712478203048235
2021-06-13,39.31871730457235
2021-07-04,31.114746967238823
2021-07-11,91.14310651962117
2021-07-18,44.22098606876294
2021-08-08,43.120418877715295
2021-08-15,30.014179776191177
2021-08-22,16.90794067466706
2021-08-29,42.01985168666765
2021-10-03,18.008507865714705
2021-10-17,21.810209438857648
2021-11-07,28.41361258514353
2021-12-05,28.91361258514353
2021-12-12,24.011343820952938
2022-01-16,54.05104719428823
2022-02-13,31.229493934477645
2022-02-20,26.424956406096467
2022-02-27,42.03970337333529
2022-03-06,19.218150113524704
2022-03-13,28.827225170287058
2022-03-27,43.24083775543058
2022-04-10,24.02268764190588
2022-04-24,24.02268764190588
2022-05-01,14.413612585143529
2022-05-08,30.02835955238235
2022-05-22,90.08507865714705
2022-06-12,25.223822024001173
2022-06-19,36.03403146285882
2022-06-26,34.83289708076352
2022-07-03,21.62041887771529
2022-07-17,42.03970337333529
2022-07-24,44.44197213752588
2022-08-07,26.424956406096467
2022-08-14,25.223822024001173
2022-09-04,12.01134382095294
2022-09-11,43.24083775543058
2022-09-18,21.62041887771529
2022-09-25,16.815881349334116
2022-10-02,26.424956406096467
2022-10-09,30.02835955238235
2022-10-16,22.821553259810585
2022-10-23,19.218150113524704
2022-10-30,22.821553259810585
2022-11-20,20.419284495619998
2022-11-27,39.637434609144705
2022-12-04,80.4760036003847
2022-12-11,26.424956406096467
2022-12-18,120.1134382095294
2022-12-25,30.02835955238235
