,MVT_GT_Raleigh-Durham (Fayetteville) NC
2017-01-22,78.0
2017-02-05,67.0
2017-02-19,29.0
2017-03-05,68.0
2017-03-12,33.0
2017-04-02,68.0
2017-04-23,19.0
2017-06-18,49.0
2017-07-23,28.0
2017-08-20,25.0
2017-09-10,64.0
2017-10-22,59.0
2017-11-19,25.0
2017-12-03,39.0
2017-12-10,40.0
2017-12-24,44.0
2018-01-07,38.0
2018-03-04,26.0
2018-04-08,17.0
2018-04-22,49.0
2018-04-29,27.0
2018-05-06,22.0
2018-06-03,32.0
2018-06-17,27.0
2018-06-24,59.0
2018-07-01,22.0
2018-07-15,56.0
2018-07-29,17.0
2018-08-05,28.0
2018-08-19,29.0
2018-09-16,20.0
2018-09-23,24.0
2018-11-11,16.0
2018-12-02,85.0
2018-12-09,17.0
2018-12-16,54.0
2018-12-23,30.0
2019-01-20,22.0
2019-01-27,19.0
2019-02-10,16.0
2019-02-17,17.0
2019-03-03,25.0
2019-03-10,27.0
2019-03-17,66.0
2019-03-24,24.0
2019-03-31,36.0
2019-06-02,25.0
2019-06-09,24.0
2019-07-07,20.0
2019-08-04,21.0
2019-08-25,37.0
2019-09-08,15.0
2019-09-15,20.0
2019-09-22,40.0
2019-09-29,100.0
2019-10-20,52.0
2019-10-27,16.0
2019-11-03,52.0
2019-11-10,23.0
2020-01-05,67.0
2020-01-12,13.0
2020-01-19,21.0
2020-02-02,17.0
2020-02-09,18.0
2020-02-16,20.0
2020-02-23,39.0
2020-03-01,15.0
2020-03-08,15.0
2020-03-15,42.0
2020-05-03,13.0
2020-05-10,29.0
2020-05-24,26.0
2020-05-31,65.0
2020-07-12,23.0
2020-07-26,28.0
2020-08-02,14.0
2020-08-16,22.0
2020-08-23,20.0
2020-09-06,30.0
2020-09-13,45.0
2020-09-20,20.0
2020-10-11,22.0
2020-10-25,18.0
2020-11-08,97.0
2020-11-15,41.0
2020-11-22,26.0
2020-12-20,18.0
2020-12-27,52.0
2021-01-03,29.0
2021-01-24,21.0
2021-01-31,21.0
2021-02-07,39.0
2021-02-14,16.0
2021-02-21,37.0
2021-03-14,32.0
2021-03-21,21.0
2021-04-11,33.0
2021-05-16,25.0
2021-05-23,19.0
2021-07-04,19.0
2021-07-18,24.0
2021-08-01,58.0
2021-08-15,54.0
2021-08-22,24.0
2021-08-29,21.0
2021-09-26,52.0
2021-10-24,21.0
2021-11-07,48.0
2021-12-12,57.0
2021-12-19,27.0
2021-12-26,30.0
2022-01-09,37.0
2022-01-16,76.0
2022-01-30,26.0
2022-02-06,48.0
2022-02-20,29.0
2022-02-27,61.0
2022-03-27,13.0
2022-04-10,50.0
2022-04-17,21.0
2022-04-24,59.0
2022-05-01,18.0
2022-05-22,27.0
2022-06-05,56.0
2022-06-12,26.0
2022-06-26,49.0
2022-07-17,25.0
2022-07-24,32.0
2022-08-07,29.0
2022-08-14,34.0
2022-08-21,36.0
2022-09-04,58.0
2022-09-11,18.0
2022-10-09,19.0
2022-10-23,18.0
2022-11-06,60.0
2022-11-20,17.0
2022-12-11,34.0
