,MVT_GT_Omaha NE
2017-02-05,24.0
2017-02-19,41.0
2017-03-05,80.0
2017-04-02,52.0
2017-04-09,43.0
2017-05-07,28.0
2017-05-14,78.0
2017-05-28,48.0
2017-07-02,100.0
2017-07-30,29.0
2017-08-06,65.0
2017-08-13,58.0
2017-08-20,46.0
2017-09-03,84.0
2017-09-17,29.0
2017-10-01,38.0
2017-10-22,74.0
2017-11-05,79.0
2017-12-10,65.0
2017-12-17,57.0
2018-01-07,57.20842729627094
2018-01-21,36.22757288652123
2018-02-25,54.341359329781845
2018-03-04,45.784466108151534
2018-04-01,30.037747631380014
2018-04-29,66.76532051790124
2018-05-20,58.164116618433965
2018-07-08,57.20842729627094
2018-07-15,41.00601949733638
2018-08-05,72.95514577304246
2018-08-26,24.30361169840183
2018-09-30,45.284466108151534
2018-11-11,29.582058309216983
2019-02-03,29.082058309216983
2019-03-03,58.664116618433965
2019-03-17,27.170679664890923
2019-03-24,23.8479223762388
2019-04-07,27.170679664890923
2019-04-21,39.09464085301032
2019-05-12,39.59464085301032
2019-06-09,32.9048155978691
2019-07-07,30.993436953543046
2019-08-04,51.97429136329275
2019-09-15,39.09464085301032
2019-09-29,30.037747631380014
2019-10-06,39.09464085301032
2019-11-17,26.714990342727894
2019-11-24,29.082058309216983
2019-12-08,30.993436953543046
2019-12-15,41.00601949733638
2020-01-26,57.20842729627094
2020-02-02,39.09464085301032
2020-02-16,61.98687390708609
2020-02-23,24.80361169840183
2020-03-01,39.09464085301032
2020-03-15,47.1958447524776
2020-04-05,30.993436953543046
2020-04-19,23.8479223762388
2020-05-03,28.126368987053954
2020-05-10,67.72100984006428
2020-06-28,34.81619424219517
2020-09-20,39.09464085301032
2020-12-06,91.06893221630307
2020-12-13,24.30361169840183
2020-12-27,34.81619424219517
2021-02-14,64.85394187357518
2021-02-28,24.80361169840183
2021-04-18,69.13238848439033
2021-06-27,32.4048155978691
2021-08-08,32.9048155978691
2021-08-29,38.138951530847294
2021-09-05,59.619805940597004
2021-10-03,27.670679664890923
2021-10-10,27.170679664890923
2021-10-17,32.9048155978691
2021-12-12,63.898252551412156
2022-02-27,29.16411661843397
2022-03-20,81.11269934501948
2022-03-27,23.6958447524776
2022-04-03,41.92341763899883
2022-05-22,65.61926239147643
2022-06-12,61.06236916984612
2022-07-31,54.68271865956369
2022-09-11,40.10066035034671
2022-09-18,29.16411661843397
2022-09-25,65.61926239147643
2022-11-06,37.366524417368524
2022-11-13,68.35339832445462
2022-11-20,87.49234985530191
2022-12-25,50.125825437933386
