,MVT_GT_Columbus OH
2017-02-12,32.0
2017-02-26,83.0
2017-03-19,28.0
2017-04-02,23.0
2017-04-23,21.0
2017-04-30,27.0
2017-05-21,45.0
2017-06-11,24.0
2017-06-18,67.0
2017-06-25,29.0
2017-07-02,39.0
2017-07-09,33.0
2017-07-30,45.0
2017-08-13,61.0
2017-08-20,35.0
2017-08-27,49.0
2017-10-01,21.0
2017-10-08,24.0
2017-10-22,26.0
2017-10-29,31.0
2017-11-12,58.0
2017-11-26,30.0
2017-12-31,54.0
2018-01-07,41.16977955553033
2018-01-14,70.66977955553034
2018-02-18,26.0
2018-02-25,33.0
2018-05-06,45.0
2018-05-13,43.0
2018-05-20,24.0
2018-06-10,56.0
2018-07-01,33.0
2018-07-08,37.49751651025817
2018-08-12,50.49751651025817
2018-08-19,48.0
2018-08-26,43.0
2018-09-23,51.0
2018-09-30,69.0
2018-10-07,58.574011720115095
2018-10-14,44.0
2018-10-21,33.0
2018-10-28,26.0
2018-11-04,60.0
2018-11-11,50.44963259255056
2018-11-18,33.66977955553033
2018-12-23,54.10758999174806
2019-01-06,35.57649520985693
2019-01-13,59.763063901203736
2019-02-03,52.07649520985693
2019-02-10,43.0
2019-04-28,24.0
2019-05-05,58.0
2019-05-26,42.62189563782272
2019-06-09,47.0
2019-06-16,76.0
2019-06-30,41.0
2019-08-25,79.3706538929518
2019-09-01,43.96642172836704
2019-09-08,39.4353269464759
2019-09-15,48.29415868309488
2019-10-20,26.0
2019-11-24,30.045400427965788
2019-12-01,62.0
2019-12-08,24.748758255129086
2019-12-22,97.0
2019-12-29,30.0
2020-01-19,28.0
2020-02-02,24.0
2020-02-09,48.60758999174806
2020-02-16,23.248758255129086
2020-02-23,26.0
2020-03-22,72.0
2020-04-05,39.46642172836704
2020-05-17,32.686568691346814
2020-06-21,35.0
2020-07-05,30.6386847736392
2020-07-19,29.6386847736392
2020-07-26,28.0
2020-09-27,38.82525346498601
2020-10-04,27.0
2020-11-01,31.0
2020-12-13,36.81094781891136
2021-01-03,20.0
2021-01-10,41.55970607404045
2021-01-17,25.31094781891136
2021-01-24,22.0
2021-01-31,69.96393823862522
2021-02-21,29.0
2021-02-28,47.52861129214931
2021-03-21,58.0
2021-03-28,40.0
2021-04-25,51.0
2021-05-16,35.0
2021-06-06,27.98321086418352
2021-07-11,65.35634824687715
2021-07-18,54.32525346498601
2021-09-26,35.6386847736392
2021-10-03,44.65299041971385
2021-10-10,20.0
2021-10-17,27.60758999174806
2021-11-07,34.0
2021-11-14,36.0
2021-12-19,54.0
2018-02-04,45.932843456734076
2018-03-04,47.46393823862521
2018-03-18,59.712696493754294
2018-03-25,55.11941214808089
2018-04-22,32.15299041971385
2018-06-03,27.559706074040445
2018-07-22,41.339559111060666
2018-12-02,32.15299041971385
2018-12-16,75.02364431266565
2019-01-20,61.243791275645435
2019-01-27,22.966421728367038
2019-02-17,58.18160171186316
2019-03-03,45.932843456734076
2019-03-17,82.67911822212133
2019-04-14,24.497516510258173
2019-06-02,94.92787647725042
2019-07-14,26.028611292149307
2019-07-28,67.36817040320997
2019-08-11,24.497516510258173
2019-08-18,24.497516510258173
2019-09-29,128.6119616788554
2019-11-17,24.497516510258173
2020-03-15,30.621895637822718
2020-04-26,30.621895637822718
2020-05-03,58.18160171186316
2020-05-24,22.966421728367038
2020-05-31,27.559706074040445
2020-06-07,91.86568691346815
2020-06-28,21.4353269464759
2020-07-12,47.46393823862521
2020-08-02,35.21517998349612
2020-08-09,30.621895637822718
2020-08-30,36.746274765387255
2020-09-06,35.21517998349612
2020-09-20,70.43035996699224
2020-10-18,32.15299041971385
2020-10-25,45.932843456734076
2020-11-15,41.339559111060666
2020-11-22,81.14802344023019
2021-02-07,24.497516510258173
2021-03-14,85.7413077859036
2021-06-13,61.243791275645435
2021-07-04,53.588317366189756
2021-07-25,39.80846432916953
2021-08-15,52.057222584298614
2021-08-22,78.08583387644792
2021-08-29,47.46393823862521
2021-10-24,29.09080085593158
2021-12-05,22.966421728367038
2021-12-12,52.057222584298614
2022-01-09,33.68408520160499
2022-01-16,70.43035996699224
2022-01-23,52.057222584298614
2022-01-30,38.2773695472784
2022-02-06,59.712696493754294
2022-02-20,48.995033020516345
2022-02-27,36.746274765387255
2022-03-06,65.83707562131885
2022-03-13,55.11941214808089
2022-03-20,19.904232164584766
2022-03-27,38.2773695472784
2022-04-03,19.904232164584766
2022-04-24,102.5833503867061
2022-05-01,85.7413077859036
2022-05-15,22.966421728367038
2022-05-22,39.80846432916953
2022-05-29,29.09080085593158
2022-06-05,30.621895637822718
2022-06-12,36.746274765387255
2022-06-19,45.932843456734076
2022-07-03,59.712696493754294
2022-07-17,39.80846432916953
2022-07-24,38.2773695472784
2022-08-14,44.401748674842935
2022-08-21,30.621895637822718
2022-09-11,50.52612780240748
2022-10-02,26.028611292149307
2022-10-09,41.339559111060666
2022-10-16,50.52612780240748
2022-10-23,35.21517998349612
2022-10-30,56.650506929972025
2022-11-06,39.80846432916953
2022-11-13,24.497516510258173
2022-11-20,32.15299041971385
2022-11-27,71.96145474888338
2022-12-04,107.17663473237951
2022-12-18,153.1094781891136
2022-12-25,52.057222584298614
