,MVT_GT_Ontario
2017-01-08,33.0
2017-01-15,29.0
2017-01-22,18.0
2017-01-29,13.0
2017-02-05,15.0
2017-02-12,8.0
2017-02-26,13.0
2017-03-05,100.0
2017-03-12,24.0
2017-03-19,22.0
2017-03-26,24.0
2017-04-16,9.0
2017-04-23,17.0
2017-04-30,11.0
2017-05-07,16.0
2017-05-28,8.0
2017-06-04,9.0
2017-06-11,21.0
2017-06-18,23.0
2017-07-02,19.0
2017-07-09,36.0
2017-07-16,8.0
2017-07-23,30.0
2017-08-13,24.0
2017-08-20,11.0
2017-09-10,12.0
2017-09-17,17.0
2017-09-24,28.0
2017-10-01,10.0
2017-10-08,16.0
2017-10-15,24.0
2017-10-22,17.0
2017-10-29,16.0
2017-11-05,13.0
2017-11-12,17.0
2017-11-19,22.0
2017-12-10,17.0
2017-12-31,8.0
2018-01-14,24.132472770432408
2018-01-21,9.166335680935541
2018-01-28,6.92197949935273
2018-02-04,16.08831518028827
2018-02-11,16.899404225683973
2018-02-18,20.76593849805819
2018-02-25,32.98771940597224
2018-03-04,5.799801408561325
2018-03-11,11.910691862518352
2018-03-18,15.277226134892569
2018-03-25,10.788513771726947
2018-04-01,23.321383725036704
2018-04-08,16.08831518028827
2018-04-15,9.977424726331243
2018-04-22,12.721780907914056
2018-04-29,45.2095003138863
2018-05-06,10.288513771726947
2018-05-13,11.910691862518352
2018-05-20,19.954849452662486
2018-05-27,16.899404225683973
2018-06-10,11.910691862518352
2018-06-17,20.26593849805819
2018-06-24,11.910691862518352
2018-07-01,36.04316463295076
2018-07-08,10.788513771726947
2018-07-15,24.132472770432408
2018-07-22,16.08831518028827
2018-07-29,19.643760407266786
2018-08-12,24.132472770432408
2018-08-19,19.643760407266786
2018-08-26,9.166335680935541
2018-09-02,7.233068544748433
2018-09-09,12.221780907914056
2018-09-16,20.76593849805819
2018-09-23,29.932274178993733
2018-09-30,17.210493271079677
2018-10-21,11.910691862518352
2018-10-28,19.954849452662486
2018-11-04,24.132472770432408
2018-11-18,19.143760407266786
2018-11-25,16.08831518028827
2018-12-02,52.13147981323903
2018-12-09,35.23207558755506
2018-12-30,9.666335680935541
2019-01-06,15.777226134892569
2019-01-13,19.143760407266786
2019-01-20,15.277226134892569
2019-01-27,9.977424726331243
2019-02-03,38.78752081453357
2019-02-17,12.221780907914056
2019-03-03,16.08831518028827
2019-03-10,24.94356181582811
2019-03-17,33.29880845136795
2019-03-24,8.044157590144135
2019-03-31,11.910691862518352
2019-04-07,19.954849452662486
2019-04-14,14.966137089496867
2019-04-21,13.032869953309758
2019-04-28,18.02158231647538
2019-05-05,31.86554131518084
2019-05-12,9.977424726331243
2019-05-19,16.399404225683973
2019-06-09,28.81009608820233
2019-06-16,21.077027543453895
2019-06-23,11.09960281712265
2019-06-30,27.18791799741092
2019-07-07,10.788513771726947
2019-07-14,35.23207558755506
2019-07-21,18.832671361871082
2019-07-28,20.26593849805819
2019-08-04,33.29880845136795
2019-08-11,23.010294679641
2019-08-18,27.999007042806625
2019-08-25,19.143760407266786
2019-09-08,11.09960281712265
2019-09-15,13.032869953309758
2019-09-22,17.710493271079677
2019-09-29,21.077027543453895
2019-10-06,31.054452269785138
2019-10-13,9.166335680935541
2019-10-20,19.143760407266786
2019-10-27,21.8881165888496
2019-11-03,20.76593849805819
2019-11-10,19.954849452662486
2019-11-17,38.28752081453357
2019-11-24,24.94356181582811
2019-12-01,30.243363224389434
2019-12-08,11.09960281712265
2019-12-15,23.010294679641
2019-12-22,19.954849452662486
2019-12-29,26.876828952015217
2020-01-05,12.221780907914056
2020-01-12,19.143760407266786
2020-01-26,18.02158231647538
2020-02-02,18.02158231647538
2020-02-09,20.76593849805819
2020-02-16,27.999007042806625
2020-02-23,24.94356181582811
2020-03-01,13.84395899870546
2020-03-08,19.143760407266786
2020-03-15,10.788513771726947
2020-03-29,6.110890453957028
2020-04-05,11.09960281712265
2020-04-12,13.032869953309758
2020-04-19,41.842966041512085
2020-04-26,19.954849452662486
2020-05-03,20.76593849805819
2020-05-10,18.332671361871082
2020-05-17,9.977424726331243
2020-05-24,18.02158231647538
2020-05-31,5.799801408561325
2020-06-07,16.899404225683973
2020-06-14,24.94356181582811
2020-06-21,11.09960281712265
2020-06-28,44.8984112684906
2020-07-05,20.26593849805819
2020-07-12,6.110890453957028
2020-07-19,29.12118513359803
2020-08-02,6.110890453957028
2020-08-09,12.221780907914056
2020-08-16,19.954849452662486
2020-08-23,18.332671361871082
2020-08-30,16.899404225683973
2020-09-06,8.044157590144135
2020-09-13,14.966137089496867
2020-09-20,19.143760407266786
2020-09-27,24.94356181582811
2020-10-04,10.788513771726947
2020-10-11,27.999007042806625
2020-10-18,30.743363224389434
2020-10-25,6.110890453957028
2020-11-08,6.92197949935273
2020-11-15,11.59960281712265
2020-11-22,8.855246635539839
2020-11-29,54.06474694942614
2020-12-06,37.97643176913787
2020-12-13,33.79880845136795
2020-12-20,18.02158231647538
2020-12-27,29.932274178993733
2021-01-03,14.966137089496867
2021-01-10,21.8881165888496
2021-01-17,10.788513771726947
2021-01-24,23.010294679641
2021-01-31,6.110890453957028
2021-02-14,9.977424726331243
2021-02-21,32.17663036057654
2021-02-28,13.032869953309758
2021-03-07,39.09860985992927
2021-03-14,36.04316463295076
2021-03-21,14.966137089496867
2021-03-28,18.832671361871082
2021-04-11,10.788513771726947
2021-04-18,6.110890453957028
2021-04-25,6.92197949935273
2021-05-02,8.855246635539839
2021-05-09,19.954849452662486
2021-05-16,18.02158231647538
2021-05-23,26.876828952015217
