date,Seattle-Tacoma WA
2022-08-14,70.449
2022-08-21,45.308
2022-08-28,50.876
2022-09-04,37.936
2022-09-11,62.415
2022-09-18,72.927
2022-09-25,53.749
2022-10-02,96.325
2022-10-09,71.71
2022-10-16,79.579
2022-10-23,57.029
2022-10-30,64.311
2022-11-06,39.981
2022-11-13,56.687
2022-11-20,88.285
2022-11-27,69.766
2022-12-04,80.394
2022-12-11,54.734
2022-12-18,79.394
2022-12-25,44.566
