,MVT_GT_Dallas-Ft. Worth TX
2017-01-01,30.0
2017-01-08,40.0
2017-01-15,16.0
2017-01-22,26.0
2017-01-29,18.0
2017-02-05,18.0
2017-02-12,16.0
2017-02-19,10.0
2017-02-26,52.0
2017-03-05,55.0
2017-03-12,17.0
2017-03-19,18.0
2017-03-26,50.0
2017-04-02,11.0
2017-04-09,34.0
2017-04-23,28.0
2017-05-07,22.0
2017-05-14,35.0
2017-05-21,31.0
2017-05-28,100.0
2017-06-04,21.0
2017-06-11,14.0
2017-06-18,49.0
2017-06-25,23.0
2017-07-02,19.0
2017-07-09,21.0
2017-07-16,31.0
2017-07-23,35.0
2017-07-30,31.0
2017-08-06,15.0
2017-08-13,17.0
2017-08-20,21.0
2017-08-27,17.0
2017-09-03,28.0
2017-09-10,12.0
2017-09-17,24.0
2017-09-24,40.0
2017-10-01,33.0
2017-10-15,36.0
2017-10-22,15.0
2017-10-29,20.0
2017-11-05,12.0
2017-11-12,33.0
2017-11-19,13.0
2017-11-26,27.0
2017-12-03,19.0
2017-12-10,38.0
2017-12-24,23.0
2017-12-31,20.0
2018-01-07,21.18639673470637
2018-01-14,16.01479755102978
2018-01-21,26.857995918382965
2018-01-28,51.071020758047396
2018-02-04,32.91125212829907
2018-02-11,24.713024839664428
2018-02-18,13.869826472311239
2018-03-04,11.2248553935927
2018-03-11,29.002966997101506
2018-03-18,19.041425655987833
2018-03-25,40.2278223906942
2018-04-01,24.213024839664428
2018-04-08,29.002966997101506
2018-04-15,10.343198367353185
2018-04-22,63.6775331778796
2018-04-29,16.01479755102978
2018-05-06,13.869826472311239
2018-05-13,22.9497107871854
2018-05-20,11.7248553935927
2018-05-27,41.10947941693372
2018-06-03,16.896454577269292
2018-06-10,20.30473970846686
2018-06-24,32.02959510205956
2018-07-01,21.18639673470637
2018-07-15,51.071020758047396
2018-07-22,51.952677784286905
2018-07-29,29.002966997101506
2018-08-05,25.094681865903937
2018-08-19,33.792909154538584
2018-08-26,51.071020758047396
2018-09-02,10.843198367353185
2018-09-09,30.266281049580535
2018-09-16,26.857995918382965
2018-09-23,35.05622320701761
2018-09-30,43.75445049565226
2018-10-07,22.9497107871854
2018-10-14,15.133140524790267
2018-10-21,18.65976862974832
2018-10-28,19.041425655987833
2018-11-04,48.926049679328855
2018-11-11,47.16273562684982
2018-11-25,19.923082682227346
2018-12-02,15.133140524790267
2018-12-09,11.7248553935927
2018-12-16,29.002966997101506
2018-12-23,21.68639673470637
2018-12-30,36.81953725949664
2019-01-06,76.16570262395133
2019-01-13,19.041425655987833
2019-01-20,37.20119428573615
2019-01-27,39.34616536445469
2019-02-03,47.16273562684982
2019-02-10,22.068053760945887
2019-02-17,34.6745661807781
2019-02-24,29.002966997101506
2019-03-03,23.83136781342491
2019-03-10,45.01776454813128
2019-03-17,59.26924804668204
2019-03-24,20.80473970846686
2019-03-31,29.88462402334102
2019-04-07,19.423082682227346
2019-04-14,13.869826472311239
2019-04-21,16.01479755102978
2019-04-28,11.2248553935927
2019-05-05,53.21599183676593
2019-05-12,33.792909154538584
2019-05-19,37.20119428573615
2019-06-02,30.766281049580535
2019-06-09,44.13610752189177
2019-06-16,14.251483498550753
2019-06-23,24.213024839664428
2019-06-30,38.96450833821518
2019-07-07,51.071020758047396
2019-07-14,54.097648863005446
2019-07-21,19.923082682227346
2019-07-28,29.88462402334102
2019-08-04,30.766281049580535
2019-08-11,51.071020758047396
2019-08-18,38.082851311975666
2019-08-25,45.8994215743708
2019-09-01,12.106512419832214
2019-09-15,43.25445049565226
2019-10-06,18.15976862974832
2019-10-13,29.88462402334102
2019-10-20,29.002966997101506
2019-10-27,27.739652944622478
2019-11-03,19.923082682227346
2019-11-10,11.2248553935927
2019-11-24,49.807706705568364
2019-12-01,53.71599183676593
2019-12-08,25.976338892143453
2019-12-15,24.213024839664428
2019-12-22,54.097648863005446
2019-12-29,26.857995918382965
2020-01-05,42.87279346941274
2020-01-12,41.99113644317323
2020-01-26,35.937880233257125
2020-02-02,19.923082682227346
2020-02-09,23.83136781342491
2020-02-16,28.121309970861994
2020-02-23,15.133140524790267
2020-03-01,20.30473970846686
2020-03-15,27.739652944622478
2020-03-22,16.01479755102978
2020-03-29,16.396454577269292
2020-04-05,40.7278223906942
2020-04-19,22.068053760945887
2020-04-26,32.02959510205956
2020-05-10,15.133140524790267
2020-05-17,29.002966997101506
2020-05-24,35.05622320701761
2020-05-31,22.068053760945887
2020-06-07,20.80473970846686
2020-06-14,57.124276967963496
2020-06-28,9.961541341113673
2020-07-05,25.094681865903937
2020-07-12,45.01776454813128
2020-07-19,16.01479755102978
2020-07-26,25.976338892143453
2020-08-02,9.07988431487416
2020-08-09,13.869826472311239
2020-08-16,22.9497107871854
2020-08-30,20.80473970846686
2020-09-06,24.213024839664428
2020-09-13,20.80473970846686
2020-09-27,15.133140524790267
2020-10-04,30.266281049580535
2020-10-11,19.923082682227346
2020-10-18,27.739652944622478
2020-10-25,22.9497107871854
2020-11-01,17.278111603508805
2020-11-08,21.68639673470637
2020-11-15,27.739652944622478
2020-11-22,32.91125212829907
2020-11-29,15.633140524790267
2020-12-13,20.30473970846686
2020-12-20,30.266281049580535
2020-12-27,12.106512419832214
2021-01-03,27.739652944622478
2021-01-10,25.094681865903937
2021-01-17,36.81953725949664
2021-01-24,33.792909154538584
2021-02-14,35.05622320701761
2021-02-21,16.01479755102978
2021-02-28,20.80473970846686
2021-03-07,20.80473970846686
2021-03-14,9.961541341113673
2021-03-21,31.147938075820043
2021-03-28,52.834334810526414
2021-04-25,28.121309970861994
2021-05-02,22.068053760945887
2021-05-16,29.002966997101506
2021-05-23,25.594681865903937
2021-05-30,38.96450833821518
2021-06-06,40.2278223906942
2021-06-13,36.81953725949664
2021-06-20,12.988169446071726
