,MVT_GT_New York NY
2018-12-02,45.7907338573479
2018-12-09,43.820915395333095
2018-12-16,52.185098474399716
2018-12-23,25.107640006192455
2018-12-30,51.700189243392316
2019-01-06,24.122730775185055
2019-01-13,73.85310155656256
2019-01-20,48.24546155037011
2019-01-27,49.23037078137751
2019-02-03,32.002004623244275
2019-02-10,41.85109693331829
2019-02-17,35.941641547273875
2019-02-24,22.152912313170248
2019-03-03,20.683093851155444
2019-03-10,52.185098474399716
2019-03-17,43.820915395333095
2019-03-24,40.86618770231089
2019-03-31,33.971823085259075
2019-04-07,24.122730775185055
2019-04-14,47.2605523193627
2019-04-21,37.91146000928868
2019-04-28,20.683093851155444
2019-05-05,39.88127847130349
2019-05-12,35.941641547273875
2019-05-26,35.941641547273875
2019-06-02,22.152912313170248
2019-06-09,36.42655077828128
2019-06-16,60.06437232245894
2019-06-23,35.941641547273875
2019-06-30,47.2605523193627
2019-07-07,29.047276930222065
2019-07-14,37.91146000928868
2019-07-21,35.941641547273875
2019-07-28,32.98691385425167
2019-08-04,64.00400924648855
2019-08-11,45.2907338573479
2019-08-18,56.62473539842932
2019-08-25,30.03218616122947
2019-09-01,22.652912313170248
2019-09-08,45.2907338573479
2019-09-15,6.394364617051815
2019-09-22,66.95873693951074
2019-09-29,33.971823085259075
2019-10-06,21.168003082162848
2019-10-13,44.305824626340495
2019-10-20,32.98691385425167
2019-10-27,41.35109693331829
2019-11-03,55.13982616742192
2019-11-10,33.971823085259075
2019-11-17,38.89636924029608
2019-11-24,34.456732316266475
2019-12-01,40.36618770231089
2019-12-08,43.820915395333095
2019-12-15,46.2756430883553
2019-12-22,33.971823085259075
2019-12-29,22.152912313170248
2020-01-05,37.91146000928868
2020-01-12,38.89636924029608
2020-01-19,32.98691385425167
2020-01-26,42.336006164325696
2020-02-02,56.62473539842932
2020-02-09,21.168003082162848
2020-02-16,60.06437232245894
2020-02-23,25.107640006192455
2020-03-01,31.017095392236868
2020-03-08,25.607640006192455
2020-03-15,39.88127847130349
2020-03-22,31.017095392236868
2020-03-29,34.956732316266475
2020-04-05,32.002004623244275
2020-04-12,19.69818462014804
2020-04-19,49.73037078137751
2020-04-26,47.2605523193627
2020-05-03,54.65491693641452
2020-05-10,43.820915395333095
2020-05-17,24.122730775185055
2020-05-24,44.805824626340495
2020-05-31,80.24746617361438
2020-06-07,48.74546155037011
2020-06-14,27.57745846820726
2020-06-21,30.03218616122947
2020-06-28,53.670007705407116
2020-07-05,39.88127847130349
2020-07-12,39.88127847130349
2020-07-19,56.62473539842932
2020-07-26,33.971823085259075
2020-08-02,47.7605523193627
2020-08-09,52.685098474399716
2020-08-16,64.98891847749594
2020-08-23,36.92655077828128
2020-08-30,67.94364617051815
2020-09-06,72.86819232555516
2020-09-13,30.03218616122947
2020-09-20,77.79273848059216
2020-09-27,35.941641547273875
2020-10-04,31.017095392236868
2020-10-11,46.2756430883553
2020-10-18,32.98691385425167
2020-10-25,59.07946309145153
2020-11-01,18.71327538914064
2020-11-08,36.92655077828128
2020-11-15,22.152912313170248
2020-11-22,44.805824626340495
2020-11-29,37.91146000928868
2020-12-06,44.805824626340495
2020-12-13,57.10964462943673
2020-12-20,47.7605523193627
2020-12-27,32.98691385425167
2021-01-03,47.2605523193627
2021-01-10,27.07745846820726
2021-01-17,55.13982616742192
2021-01-24,45.2907338573479
2021-01-31,43.820915395333095
2021-02-07,31.017095392236868
2021-02-14,40.86618770231089
2021-02-21,78.77764771159957
2021-02-28,32.002004623244275
2021-03-07,30.03218616122947
2021-03-21,25.107640006192455
2021-03-28,57.10964462943673
2021-04-04,52.685098474399716
2021-04-11,23.13782154417765
2021-04-18,39.88127847130349
2021-04-25,48.24546155037011
2021-05-02,58.59455386044413
2021-05-09,50.21528001238491
2021-05-16,54.15491693641452
2021-05-23,49.73037078137751
