,MVT_GT_Seattle-Tacoma WA
2017-01-01,95.0
2017-01-08,33.0
2017-01-15,71.0
2017-01-22,36.0
2017-02-05,46.0
2017-02-12,25.0
2017-02-19,29.0
2017-02-26,20.0
2017-03-05,27.0
2017-03-19,28.0
2017-03-26,22.0
2017-04-09,19.0
2017-04-23,27.0
2017-04-30,23.0
2017-05-07,44.0
2017-05-14,55.0
2017-05-28,22.0
2017-06-25,36.0
2017-07-09,25.0
2017-07-16,78.0
2017-07-23,33.0
2017-08-13,52.0
2017-08-27,31.0
2017-09-10,98.0
2017-09-17,34.0
2017-09-24,32.0
2017-10-01,19.0
2017-10-15,54.0
2017-10-22,17.0
2017-10-29,19.0
2017-11-12,46.0
2017-11-19,48.0
2017-11-26,29.0
2017-12-03,74.0
2017-12-10,23.0
2017-12-17,31.0
2017-12-24,22.0
2018-01-07,37.12425967989378
2018-01-14,52.0739635518513
2018-01-21,42.10749430387962
2018-02-04,14.949703871957514
2018-02-25,36.00345102389733
2018-03-04,16.070512527953973
2018-03-11,68.14447607980527
2018-03-25,57.05719817583714
2018-04-01,43.72830295987608
2018-04-15,43.72830295987608
2018-04-22,33.76183371190441
2018-04-29,79.23175398377342
2018-05-27,27.15779043192211
2018-06-03,17.691321183950436
2018-06-10,18.31212983994689
2018-06-17,47.09072892786546
2018-07-08,26.03698177592565
2018-07-22,93.06064919973446
2018-07-29,22.174555807936272
2018-08-05,29.899407743915027
2018-08-12,32.641025055907946
2018-08-19,17.191321183950436
2018-09-02,32.141025055907946
2018-09-09,32.141025055907946
2018-09-16,45.969920271869
2018-09-23,53.19477220784776
2018-09-30,19.932938495943354
2018-10-07,29.899407743915027
2018-10-14,70.3860933917982
2018-10-21,63.161241455819436
2018-10-28,21.05374715193981
2018-11-11,27.65779043192211
2018-11-18,28.27859908791857
2018-11-25,38.245068335890245
2018-12-09,40.486685647883164
2018-12-16,50.95315489585484
2018-12-23,50.95315489585484
2018-12-30,16.570512527953973
2019-01-06,17.691321183950436
2019-01-13,32.141025055907946
2019-01-20,18.31212983994689
2019-02-03,40.986685647883164
2019-02-10,43.22830295987608
2019-02-17,50.95315489585484
2019-02-24,13.828895215961055
2019-03-03,19.932938495943354
2019-03-10,26.03698177592565
2019-03-17,55.936389519840674
2019-03-31,47.09072892786546
2019-04-14,100.28550113571322
2019-04-21,50.45315489585484
2019-04-28,32.141025055907946
2019-05-26,26.03698177592565
2019-06-02,24.91617311992919
2019-06-09,27.65779043192211
2019-06-23,55.936389519840674
2019-06-30,17.691321183950436
2019-07-07,52.0739635518513
2019-07-14,22.174555807936272
2019-07-28,17.691321183950436
2019-08-04,14.949703871957514
2019-08-11,32.641025055907946
2019-08-18,38.745068335890245
2019-08-25,37.62425967989378
2019-09-01,55.936389519840674
2019-09-08,18.81212983994689
2019-09-15,50.95315489585484
2019-09-29,84.71498860775924
2019-10-06,63.161241455819436
2019-10-13,24.41617311992919
2019-10-27,31.02021639991149
2019-11-03,43.72830295987608
2019-11-10,53.19477220784776
2019-11-17,42.10749430387962
2019-11-24,18.81212983994689
2019-12-01,36.00345102389733
2019-12-08,14.449703871957514
