,MVT_GT_Austin TX
2017-01-01,53.0
2017-01-29,21.0
2017-03-05,74.0
2017-03-12,23.0
2017-03-26,34.0
2017-05-07,24.0
2017-06-04,100.0
2017-06-11,60.0
2017-08-20,27.0
2017-11-12,40.0
2017-11-26,37.0
2017-12-17,50.0
2018-01-21,52.048586411746896
2018-01-28,39.65068799482661
2018-02-04,35.322717018563665
2018-02-25,53.96257189987837
2018-03-18,26.752789577906317
2018-04-01,23.88181134570911
2018-04-15,31.03775329823499
2018-05-06,30.080760554169256
2018-05-13,44.89264445922102
2018-05-27,31.03775329823499
2018-06-03,33.90873153043219
2018-06-10,26.252789577906317
2018-06-24,46.30662994735249
2018-07-08,53.96257189987837
2018-07-15,29.123767810103523
2018-08-05,55.876557388009836
2018-08-12,69.73144854899587
2018-08-19,21.010833113511907
2018-09-02,44.89264445922102
2018-09-23,25.295796833840583
2018-09-30,30.080760554169256
2018-11-18,33.90873153043219
2019-01-06,61.11851385240425
2019-02-03,83.08633970998189
2019-03-10,34.865724274497936
2019-04-07,20.05384036944617
2019-04-21,67.81746306086438
2019-06-02,51.09159366768117
2019-06-30,52.048586411746896
2019-08-18,34.865724274497936
2019-09-01,83.08633970998189
2019-09-15,59.704528364272775
2019-09-29,19.096847625380434
2019-10-06,23.88181134570911
2019-10-20,30.080760554169256
2019-11-10,24.838804089774847
2019-11-24,33.40873153043219
2019-12-08,33.90873153043219
2020-01-05,29.123767810103523
2020-01-12,21.010833113511907
2020-01-26,42.021666227023815
2020-02-02,42.021666227023815
2020-02-16,77.84438324558748
2020-02-23,31.994746042300726
2020-03-08,27.20978232197205
2020-04-12,34.365724274497936
2020-04-26,22.424818601643373
2020-05-10,45.84963720328675
2020-05-17,20.05384036944617
2020-06-07,37.23670250669514
2020-06-14,43.93565171515528
2020-06-21,31.03775329823499
2020-07-19,37.23670250669514
2020-08-02,81.17235422185041
2020-08-16,20.05384036944617
2020-08-23,21.96782585757764
2020-08-30,27.20978232197205
2020-09-06,51.09159366768117
2020-09-13,17.682862137248968
2020-09-27,52.048586411746896
2020-10-04,43.93565171515528
2020-10-11,30.080760554169256
2020-10-25,55.876557388009836
2020-11-08,29.123767810103523
2020-11-15,47.76362269141822
2020-12-06,46.80662994735249
2020-12-13,25.795796833840583
2021-01-03,21.010833113511907
2021-01-31,27.20978232197205
2021-02-28,60.66152110833851
2021-03-07,24.838804089774847
2021-03-14,22.924818601643373
2021-03-21,38.19369525076087
2021-03-28,21.96782585757764
2021-04-04,19.096847625380434
2021-04-11,21.96782585757764
2021-05-02,69.73144854899587
2021-05-09,26.752789577906317
2021-05-16,40.10768073889234
2021-05-30,54.9195646439441
2021-06-13,42.521666227023815
2021-06-20,80.71536147778468
2021-07-04,42.978658971089544
2021-08-08,55.876557388009836
2021-08-22,27.20978232197205
2021-09-05,25.795796833840583
2021-09-19,24.338804089774847
2021-09-26,25.795796833840583
2021-10-03,29.123767810103523
2021-10-10,20.55384036944617
2021-11-07,42.978658971089544
2021-11-14,31.03775329823499
2021-11-21,39.15068799482661
2021-12-19,59.704528364272775
2022-01-02,29.247535620207042
2022-01-16,65.80695514546585
2022-01-23,24.677608179549694
2022-02-13,36.559419525258804
2022-02-27,21.93565171515528
2022-03-13,20.10768073889234
2022-03-20,20.10768073889234
2022-04-10,23.76362269141822
2022-04-17,23.76362269141822
2022-04-24,26.505579155812633
2022-05-01,15.53775329823499
2022-05-08,23.76362269141822
2022-06-05,29.247535620207042
2022-06-19,35.64543403712733
2022-07-10,26.505579155812633
2022-07-24,21.02166622702381
2022-07-31,47.52724538283644
2022-08-07,53.92514379975673
2022-08-14,28.333550132075572
2022-08-21,52.09717282349379
2022-09-11,18.279709762629402
2022-09-18,91.398548813147
2022-10-02,66.72094063359731
2022-10-09,22.84963720328675
2022-10-16,44.785288918442035
2022-10-30,39.301375989653216
2022-11-13,19.19369525076087
2022-11-20,46.613259894704974
2022-11-27,27.419564643944103
2022-12-25,40.21536147778468
