,MVT_GT_Denver CO
2017-01-22,40.0
2017-02-12,34.0
2017-02-19,22.0
2017-03-05,21.0
2017-03-26,48.0
2017-04-09,32.0
2017-04-16,36.0
2017-04-23,27.0
2017-05-14,50.0
2017-05-21,17.0
2017-05-28,67.0
2017-06-11,35.0
2017-06-18,44.0
2017-07-02,34.0
2017-07-16,34.0
2017-08-06,16.0
2017-08-20,15.0
2017-08-27,32.0
2017-09-03,37.0
2017-09-10,31.0
2017-10-29,64.0
2017-11-05,42.0
2017-11-12,52.0
2017-11-19,22.0
2017-12-03,21.0
2017-12-10,66.0
2017-12-17,35.0
2018-01-07,35.84661110951913
2018-01-14,16.328418517775596
2018-01-21,28.277288887615306
2018-01-28,28.277288887615306
2018-02-11,16.828418517775596
2018-03-04,26.587514813647363
2018-03-11,26.087514813647363
2018-03-25,51.08014259031076
2018-04-01,47.79548147935884
2018-04-08,34.25172407253516
2018-04-15,32.561949998567215
2018-04-22,23.89774073967942
2018-05-13,16.828418517775596
2018-05-20,33.65683703555119
2018-06-03,22.30285370269545
2018-07-01,41.321046294438986
2018-07-22,24.99262777666339
2018-07-29,19.018192591743535
2018-08-05,41.821046294438986
2018-08-12,27.182401850631337
2018-08-19,29.872175924599276
2018-08-26,22.30285370269545
2018-09-02,46.20059444237487
2018-09-09,84.23697962586195
2018-09-16,24.99262777666339
2018-09-23,49.98525555332678
2018-10-07,28.777288887615306
2018-10-14,21.20796666571148
2018-11-18,27.182401850631337
2018-11-25,36.94149814650311
2018-12-09,33.15683703555119
2018-12-16,34.75172407253516
2018-12-23,63.02901296015047
2019-01-06,32.061949998567215
2019-01-20,16.828418517775596
2019-02-03,34.75172407253516
2019-02-17,47.79548147935884
2019-02-24,66.31367407110238
2019-03-10,29.372175924599276
2019-03-17,61.43412592316649
2019-03-31,19.018192591743535
2019-04-14,24.99262777666339
2019-04-28,30.967062961583245
2019-05-12,34.75172407253516
2019-05-19,58.64946481221458
2019-06-09,30.967062961583245
2019-06-16,32.061949998567215
