,MVT_GT_Albuquerque-Santa Fe NM
2017-01-01,72.0
2017-01-29,26.0
2017-02-05,32.0
2017-02-12,32.0
2017-02-26,24.0
2017-03-12,59.0
2017-06-18,46.0
2017-06-25,45.0
2017-07-02,71.0
2017-07-09,44.0
2017-08-06,51.0
2017-08-27,36.0
2017-09-10,39.0
2017-09-17,38.0
2017-09-24,86.0
2017-10-01,82.0
2017-10-22,61.0
2017-11-05,36.0
2017-11-12,37.0
2017-11-19,66.0
2017-11-26,34.0
2018-01-07,26.76110549240606
2018-01-21,44.941870833302566
2018-01-28,22.720935416651283
2018-02-11,32.321360606038226
2018-02-18,25.251062973467366
2018-03-11,21.21089289771259
2018-03-18,93.4239117423599
2018-04-01,22.220935416651283
2018-04-22,30.80127556816084
2018-05-13,28.781190530283453
2018-05-27,23.730977935589976
2018-06-03,34.84144564391562
2018-06-10,99.98416685599207
2018-07-01,22.220935416651283
2018-07-08,26.76110549240606
2018-07-22,28.781190530283453
2018-07-29,36.36153068179301
2018-08-12,30.30127556816084
2018-09-02,69.18289128783124
2018-09-16,24.741020454528673
2018-09-23,22.220935416651283
2018-09-30,26.76110549240606
2018-11-11,45.45191335224126
2018-12-09,37.8715732007317
2018-12-30,35.85148816285431
2019-01-06,37.8715732007317
2019-01-13,45.95191335224126
2019-02-10,28.781190530283453
2019-03-03,33.83140312497692
2019-03-10,94.9339542612986
2019-03-17,47.97199839011865
2019-05-05,36.86153068179301
2019-05-19,41.91174327648648
2019-05-26,26.76110549240606
2019-07-14,26.26110549240606
2019-08-04,53.02221098481212
2019-08-11,47.97199839011865
2019-08-25,35.85148816285431
2019-09-01,19.690807859835196
2019-10-20,31.311318087099536
2019-10-27,41.91174327648648
2019-11-03,24.741020454528673
2019-12-01,66.65276373101516
2019-12-22,22.220935416651283
2020-01-05,25.251062973467366
2020-01-26,22.720935416651283
2020-02-16,54.03225350375082
2020-05-03,18.180765340896507
2020-05-10,25.251062973467366
2020-05-17,23.730977935589976
2020-05-31,26.76110549240606
2020-06-14,22.220935416651283
2020-06-28,31.811318087099536
2020-07-19,28.781190530283453
2020-08-02,43.43182831436387
2020-08-23,22.220935416651283
2020-09-06,40.901700757547786
2020-09-20,23.730977935589976
2020-10-11,47.47199839011865
2020-10-18,24.241020454528673
2020-11-29,38.88161571967039
2020-12-06,69.68289128783124
2020-12-13,22.220935416651283
2021-01-03,29.291233049222146
2021-01-24,38.38161571967039
2021-04-18,69.18289128783124
2021-04-25,55.04229602268951
2021-05-09,22.220935416651283
2021-05-16,31.811318087099536
2021-06-20,20.200850378773893
2021-08-15,46.96195587117995
2021-08-29,36.86153068179301
2021-09-05,55.04229602268951
2021-09-26,25.751062973467366
2021-10-31,32.821360606038226
2021-11-14,27.771148011344756
2021-11-28,69.18289128783124
2021-12-12,23.230977935589976
2022-02-06,39.783316477218186
2022-02-13,88.74739829533287
2022-02-20,38.76323143934079
2022-02-27,18.36153068179301
2022-04-03,18.36153068179301
2022-04-10,22.441870833302566
2022-04-24,16.32136060603823
2022-06-12,69.36578257566248
2022-07-03,25.502125946934733
2022-07-24,48.96408181811469
2022-08-28,102.00850378773893
2022-09-04,19.381615719670396
2022-11-13,29.582466098444293
2022-12-04,26.522210984812123
