,MVT_GT_Oklahoma City OK
2017-01-08,48.0
2017-02-19,30.0
2017-02-26,22.0
2017-03-05,26.0
2017-03-26,27.0
2017-04-09,28.0
2017-05-28,37.0
2017-06-04,100.0
2017-07-16,30.0
2017-07-23,20.0
2017-07-30,25.0
2017-08-06,18.0
2017-08-13,15.0
2017-08-27,22.0
2017-09-10,21.0
2017-09-17,69.0
2017-10-08,20.0
2017-11-12,34.0
2017-11-26,29.0
2017-12-17,39.0
2018-01-07,26.740497615234702
2018-01-21,30.131997274553946
2018-02-04,44.06749602539117
2018-02-11,14.7507486940571
2018-02-25,13.120248807617351
2018-03-04,29.81674733133407
2018-03-18,23.164247899135333
2018-03-25,19.77274823981609
2018-04-01,20.087998183035964
2018-04-08,14.2507486940571
2018-04-15,39.86074642285205
2018-04-29,18.142248353376342
2018-05-20,21.71849806947571
2018-06-10,17.011748466936595
2018-07-01,17.82699841015647
2018-08-26,14.2507486940571
2018-09-09,21.71849806947571
2018-09-16,25.109997728794955
2018-10-14,22.848997955915458
2018-10-21,27.870997501674452
2018-11-18,20.90324812625584
2019-02-03,17.011748466936595
2019-02-10,27.870997501674452
2019-03-10,32.07774710421357
2019-03-24,10.859249034737855
2019-05-05,13.935498750837226
2019-05-19,22.848997955915458
2019-07-14,18.142248353376342
2019-08-04,18.642248353376342
2019-09-08,25.109997728794955
2019-10-06,17.011748466936595
2019-10-20,13.120248807617351
2019-11-03,18.142248353376342
2019-11-10,17.32699841015647
2019-11-24,20.90324812625584
2019-12-01,30.131997274553946
2019-12-08,29.81674733133407
2019-12-15,20.90324812625584
2019-12-22,19.27274823981609
2020-01-19,20.90324812625584
2020-02-16,13.120248807617351
2020-02-23,13.120248807617351
2020-03-01,14.7507486940571
2020-03-08,20.90324812625584
2020-03-15,63.024994321987386
2020-03-22,17.011748466936595
2020-03-29,34.33874687709306
2020-05-31,24.794747785575083
2020-06-28,57.18774483300852
2020-07-19,19.77274823981609
2020-08-30,11.989748921177604
2020-11-08,11.989748921177604
2020-11-15,35.15399682031294
2020-11-22,27.870997501674452
2020-11-29,18.142248353376342
2020-12-20,37.914996593192434
2021-01-31,34.83874687709306
2021-03-28,16.19649852371672
2021-04-25,25.925247672014827
2021-07-18,27.870997501674452
2021-07-25,14.2507486940571
2021-08-01,30.94724721777382
2021-10-03,26.240497615234702
2021-10-17,29.0014973881142
2021-12-05,41.30649625251168
2021-12-26,40.9912463092918
2022-01-23,17.653996820312937
2022-01-30,26.480995230469404
2022-02-06,14.501497388114199
2022-02-13,30.89449443554764
2022-02-20,13.240497615234702
2022-02-27,10.71849806947571
2022-03-20,29.002994776228398
2022-04-17,16.39299704743344
2022-05-01,17.653996820312937
2022-05-15,12.609997728794955
2022-05-22,17.653996820312937
2022-05-29,37.19949329994512
2022-07-10,22.067496025391172
2022-07-24,13.240497615234702
2022-07-31,11.979497842355208
2022-08-21,13.87099750167445
2022-09-25,15.131997274553946
2022-10-16,32.155494208427136
2022-11-06,37.19949329994512
2022-11-27,11.979497842355208
2022-12-25,11.979497842355208
