,MVT_GT_Atlanta GA
2017-01-01,56.0
2017-01-08,41.0
2017-01-15,19.0
2017-01-22,52.0
2017-02-05,37.0
2017-02-12,28.0
2017-02-19,34.0
2017-02-26,23.0
2017-03-12,14.0
2017-03-19,23.0
2017-03-26,17.0
2017-04-02,28.0
2017-04-09,15.0
2017-04-16,14.0
2017-04-23,39.0
2017-04-30,46.0
2017-05-07,47.0
2017-05-14,48.0
2017-05-21,38.0
2017-05-28,51.0
2017-06-04,21.0
2017-06-11,53.0
2017-06-18,41.0
2017-06-25,50.0
2017-07-02,33.0
2017-07-09,50.0
2017-07-16,26.0
2017-07-23,63.0
2017-07-30,27.0
2017-08-06,23.0
2017-08-13,31.0
2017-08-20,55.0
2017-08-27,49.0
2017-09-03,25.0
2017-09-10,17.0
2017-09-17,44.0
2017-09-24,14.0
2017-10-01,51.0
2017-10-08,15.0
2017-10-15,39.0
2017-10-22,29.0
2017-10-29,28.0
2017-11-05,55.0
2017-11-12,79.0
2017-11-19,65.0
2017-12-03,17.0
2017-12-10,26.0
2017-12-24,57.0
2017-12-31,27.0
2018-01-07,30.0
2018-01-14,58.0
2018-01-21,38.0
2018-01-28,31.0
2018-02-04,37.0
2018-02-11,26.0
2018-03-04,36.0
2018-03-11,26.0
2018-03-18,25.0
2018-04-01,36.0
2018-04-08,59.0
2018-04-15,46.0
2018-04-22,23.0
2018-04-29,53.0
2018-05-06,49.0
2018-05-13,19.0
2018-05-20,92.0
2018-05-27,20.0
2018-06-03,32.0
2018-06-17,23.0
2018-06-24,56.0
2018-07-01,37.0
2018-07-08,20.0
2018-07-15,61.0
2018-07-22,15.0
2018-07-29,40.0
2018-08-05,24.0
2018-08-12,24.0
2018-08-19,33.0
2018-09-02,31.0
2018-09-09,19.0
2018-09-16,51.0
2018-09-23,41.0
2018-09-30,30.0
2018-10-07,42.0
2018-10-14,97.0
2018-10-21,69.0
2018-11-04,44.0
2018-11-11,31.0
2018-11-18,26.0
2018-11-25,29.0
2018-12-02,46.0
