date,Seattle-Tacoma WA
2022-08-14,72.71
2022-08-21,47.741
2022-08-28,51.916
2022-09-04,39.13
2022-09-11,65.332
2022-09-18,76.797
2022-09-25,54.851
2022-10-02,94.126
2022-10-09,73.25
2022-10-16,82.65
2022-10-23,57.734
2022-10-30,69.74
2022-11-06,40.853
2022-11-13,55.777
2022-11-20,89.575
2022-11-27,68.797
2022-12-04,81.024
2022-12-11,56.456
2022-12-18,81.168
2022-12-25,45.624
