,MVT_GT_San Francisco-Oakland-San Jose CA
2017-01-01,40.0
2017-01-08,39.0
2017-01-15,49.0
2017-01-29,10.0
2017-02-05,30.0
2017-02-12,56.0
2017-02-19,29.0
2017-02-26,75.0
2017-03-05,31.0
2017-03-12,37.0
2017-03-19,37.0
2017-03-26,37.0
2017-04-02,11.0
2017-04-09,43.0
2017-04-16,44.0
2017-04-23,39.0
2017-04-30,36.0
2017-05-07,31.0
2017-05-14,51.0
2017-05-21,53.0
2017-05-28,65.0
2017-06-04,59.0
2017-06-11,28.0
2017-06-18,49.0
2017-06-25,63.0
2017-07-09,55.0
2017-07-16,58.0
2017-07-23,13.0
2017-08-06,38.0
2017-08-13,43.0
2017-08-27,39.0
2017-09-03,36.0
2017-09-10,45.0
2017-09-17,48.0
2017-09-24,34.0
2017-10-01,43.0
2017-10-08,15.0
2017-10-15,35.0
2017-10-22,75.0
2017-10-29,48.0
2017-11-12,49.0
2017-11-19,38.0
2017-12-03,59.0
2017-12-10,45.0
2017-12-17,38.0
2017-12-24,44.0
2017-12-31,57.0
2018-01-14,51.97660520441016
2018-01-21,53.00674000450016
2018-01-28,59.18754880504018
2018-02-04,31.904044002700097
2018-02-11,21.102696001800066
2018-02-18,21.102696001800066
2018-02-25,46.32593120396014
2018-03-04,30.873909202610093
2018-03-11,14.421887201260045
2018-03-18,41.67525720351013
2018-03-25,68.95876200585022
2018-04-15,34.99444840297011
2018-04-22,60.71768360513018
2018-05-06,26.75337000225008
2018-05-13,68.95876200585022
2018-05-20,42.70539200360013
2018-05-27,49.916335604230156
2018-06-03,19.04242640162006
2018-06-10,22.132830801890066
2018-06-17,45.29579640387014
2018-06-24,33.464313602880104
2018-07-01,45.79579640387014
2018-07-08,58.15741400495018
2018-07-15,21.602696001800066
2018-07-22,23.16296560198007
2018-07-29,30.373909202610093
2018-08-05,46.82593120396014
2018-08-12,62.77795320531019
2018-08-19,28.313639602430086
2018-08-26,58.15741400495018
2018-09-02,27.783504802340083
2018-09-09,19.54242640162006
2018-09-16,50.44647040432015
2018-09-23,26.25337000225008
2018-09-30,20.072561201710062
2018-10-07,46.82593120396014
2018-10-21,32.9341788027901
2018-10-28,40.145122403420125
2018-11-04,26.25337000225008
2018-11-11,23.16296560198007
2018-11-18,19.54242640162006
2018-11-25,48.386200804140145
2018-12-02,65.3683576055802
2018-12-09,12.861617601080038
2018-12-16,78.72997520666024
2018-12-23,54.03687480459017
2019-01-06,28.313639602430086
2019-01-13,34.99444840297011
2019-01-20,44.76566160378013
2019-01-27,37.054718003150114
2019-02-03,38.08485280324012
2019-02-10,19.04242640162006
2019-02-17,26.75337000225008
2019-02-24,51.97660520441016
2019-03-03,32.9341788027901
2019-03-10,25.723235202160076
2019-03-24,21.102696001800066
2019-03-31,19.04242640162006
2019-04-07,61.74781840522019
2019-04-14,41.67525720351013
2019-04-21,44.76566160378013
2019-04-28,45.29579640387014
2019-05-05,65.8683576055802
2019-05-12,37.054718003150114
2019-05-19,36.02458320306011
2019-05-26,42.20539200360013
2019-06-09,54.53687480459017
2019-06-16,32.9341788027901
2019-06-30,46.32593120396014
2019-07-07,45.79579640387014
2019-07-14,46.32593120396014
2019-07-21,26.25337000225008
2019-08-04,47.35606600405015
2019-08-11,65.8683576055802
2019-08-18,34.99444840297011
2019-08-25,26.75337000225008
2019-09-01,61.74781840522019
2019-09-08,10.801348000900033
2019-09-15,24.693100402070073
2019-09-22,25.223235202160076
2019-10-06,59.18754880504018
2019-10-13,19.04242640162006
2019-10-20,29.34377440252009
2019-10-27,45.29579640387014
2019-11-03,48.386200804140145
2019-11-10,55.067009604680166
2019-11-17,54.03687480459017
2019-11-24,44.76566160378013
2019-12-01,29.34377440252009
2019-12-08,49.916335604230156
2019-12-15,32.9341788027901
2019-12-22,41.67525720351013
2019-12-29,73.07930120621023
2020-01-05,30.873909202610093
2020-01-12,11.831482800990035
2020-01-19,36.02458320306011
2020-01-26,28.813639602430086
2020-02-02,22.632830801890066
2020-02-09,31.904044002700097
2020-02-16,25.723235202160076
2020-02-23,62.77795320531019
2020-03-01,41.17525720351013
2020-03-08,29.84377440252009
2020-03-15,20.072561201710062
2020-03-22,16.482156801440052
2020-03-29,22.632830801890066
2020-04-05,39.11498760333012
2020-04-12,45.29579640387014
2020-04-19,39.61498760333012
2020-04-26,33.964313602880104
2020-05-03,16.982156801440052
2020-05-10,30.873909202610093
2020-05-17,46.82593120396014
2020-05-24,49.916335604230156
2020-05-31,96.2422668081903
2020-06-07,65.8683576055802
2020-06-14,47.85606600405015
2020-06-21,61.74781840522019
2020-06-28,36.02458320306011
2020-07-05,45.79579640387014
2020-07-12,31.904044002700097
2020-07-19,26.75337000225008
2020-07-26,45.79579640387014
2020-08-02,64.8382228054902
2020-08-09,30.873909202610093
2020-08-16,9.27121320081003
2020-08-23,33.964313602880104
2020-08-30,46.32593120396014
2020-09-06,58.65741400495018
2020-09-13,86.97105360738027
2020-09-20,37.054718003150114
2020-09-27,31.404044002700097
2020-10-04,11.831482800990035
2020-10-18,38.08485280324012
2020-10-25,21.102696001800066
2020-11-01,16.982156801440052
2020-11-08,25.223235202160076
2020-11-15,66.8984924056702
2020-11-22,31.404044002700097
2020-11-29,15.952022001350048
2020-12-06,13.891752401170042
2020-12-13,53.00674000450016
2020-12-20,59.18754880504018
2020-12-27,42.70539200360013
2021-01-03,68.95876200585022
2021-01-10,39.11498760333012
2021-01-17,41.17525720351013
2021-01-24,68.95876200585022
2021-01-31,39.11498760333012
2021-02-07,73.07930120621023
2021-02-14,40.645122403420125
2021-02-21,41.17525720351013
2021-02-28,79.76011000675024
2021-03-07,49.916335604230156
2021-03-14,65.3683576055802
2021-03-21,37.054718003150114
2021-03-28,61.24781840522019
2021-04-04,37.054718003150114
2021-04-11,34.99444840297011
2021-04-18,51.97660520441016
2021-04-25,75.13957080639022
2021-05-02,26.25337000225008
2021-05-09,33.964313602880104
2021-05-16,21.602696001800066
2021-05-30,66.8984924056702
2021-06-06,34.99444840297011
2021-06-13,24.193100402070073
2021-06-20,51.97660520441016
2021-06-27,16.982156801440052
2021-07-04,56.09714440477018
2021-07-18,63.808088005400194
2021-07-25,44.26566160378013
2021-08-01,71.01903160603021
2021-08-08,49.416335604230156
2021-08-15,49.916335604230156
2021-08-22,45.29579640387014
2021-08-29,51.97660520441016
2021-09-05,47.85606600405015
2021-09-19,33.964313602880104
2021-09-26,24.693100402070073
2021-10-03,49.916335604230156
2021-10-10,61.24781840522019
2021-10-17,50.94647040432015
2021-10-24,32.9341788027901
2021-10-31,41.17525720351013
2021-11-14,54.03687480459017
2021-11-21,38.08485280324012
2021-11-28,43.235526803690135
2021-12-05,57.12727920486017
2021-12-12,24.193100402070073
2021-12-19,99.83267120846031
2022-01-02,63.61617601080039
2022-01-09,50.89294080864031
2022-01-16,73.15860241242045
2022-01-23,55.13401920936034
2022-01-30,91.18318561548055
2022-02-06,44.53132320756027
2022-02-13,40.29024480684025
2022-02-20,54.07374960918033
2022-02-27,62.55590641062038
2022-03-06,33.92862720576021
2022-03-13,53.013480009000325
2022-03-20,49.832671208460305
2022-03-27,31.808088005400194
2022-04-03,66.79698481134041
2022-04-10,74.21887201260046
2022-04-17,43.47105360738026
2022-04-24,39.22997520666024
2022-05-01,46.651862407920284
2022-05-08,26.506740004500163
2022-05-22,51.95321040882032
2022-05-29,27.56700960468017
2022-06-05,24.38620080414015
2022-06-12,106.02696001800065
2022-06-19,44.53132320756027
2022-06-26,27.56700960468017
2022-07-03,44.53132320756027
2022-07-10,44.53132320756027
2022-07-17,75.27914161278046
2022-07-24,73.15860241242045
2022-07-31,25.446470404320156
2022-08-07,47.71213200810029
2022-08-14,47.71213200810029
2022-08-21,58.31482800990036
2022-08-28,73.15860241242045
2022-09-04,37.10943600630023
2022-09-11,76.33941121296047
2022-09-18,42.41078400720026
2022-09-25,49.832671208460305
2022-10-02,46.651862407920284
2022-10-09,49.832671208460305
2022-10-16,44.53132320756027
2022-10-23,44.53132320756027
2022-10-30,51.95321040882032
2022-11-06,92.24345521566056
2022-11-13,41.350514407020256
2022-11-20,53.013480009000325
2022-11-27,56.194288809540346
2022-12-04,45.59159280774028
2022-12-11,53.013480009000325
2022-12-18,41.350514407020256
2022-12-25,45.59159280774028
