,MVT_GT_Ontario
2017-01-01,8.0
2017-01-08,23.0
2017-01-22,16.0
2017-01-29,23.0
2017-02-05,12.0
2017-02-12,9.0
2017-02-19,15.0
2017-02-26,17.0
2017-03-05,100.0
2017-03-12,46.0
2017-03-19,25.0
2017-04-02,17.0
2017-04-09,12.0
2017-04-16,14.0
2017-04-23,8.0
2017-04-30,23.0
2017-05-07,15.0
2017-05-14,12.0
2017-06-11,38.0
2017-06-18,27.0
2017-07-02,20.0
2017-07-09,9.0
2017-07-16,13.0
2017-07-23,27.0
2017-08-06,10.0
2017-08-13,20.0
2017-08-20,9.0
2017-09-10,15.0
2017-09-17,19.0
2017-09-24,30.0
2017-10-08,12.0
2017-10-15,20.0
2017-10-22,7.0
2017-11-05,28.0
2017-11-19,30.0
2017-11-26,7.0
2017-12-03,7.0
2017-12-10,13.0
2017-12-17,17.0
2017-12-24,28.0
2017-12-31,15.0
2018-01-07,9.421084283072359
2018-01-21,19.0
2018-02-04,15.921084283072359
2018-02-11,30.858011847367727
2018-02-18,10.0
2018-03-11,9.921084283072359
2018-03-18,21.40006013783748
2018-03-25,12.536867426457887
2018-04-01,16.51584328122301
2018-04-08,24.952770845518376
2018-04-15,10.363192711379593
2018-04-22,18.457951709530246
2018-04-29,26.763252849217075
2018-05-06,15.247409567994065
2018-05-13,12.363192711379593
2018-05-20,27.473794990753255
2018-05-27,18.379035992602603
2018-06-10,15.842168566144718
2018-06-17,19.78427699445195
2018-07-01,11.0
2018-07-08,16.90006013783748
2018-07-15,31.91590341906049
2018-07-22,37.626445560596665
2018-07-29,32.0685539889039
2018-08-05,22.99481913598813
2018-08-12,28.779096130440085
2020-04-05,16.40006013783748
2020-04-12,20.631626424608537
2020-04-19,18.70536127752431
2020-04-26,22.147469705831547
2020-05-03,16.073734852915774
2020-05-17,15.726385422759188
2020-05-24,17.28427699445195
2020-05-31,9.747409567994065
2020-06-07,20.61060227937366
2020-06-14,37.27909613044008
2020-06-28,25.879035992602603
2020-07-05,19.49481913598813
2020-07-12,25.184337132289436
2020-07-19,24.28427699445195
2020-07-26,20.936927564295367
2020-08-02,18.51584328122301
2020-08-09,20.03686742645789
2020-08-16,16.342168566144718
2020-08-23,24.589578134138783
2020-08-30,25.936927564295367
2020-09-06,14.247409567994065
2020-09-13,21.052710707680895
2020-09-20,19.647469705831547
2020-09-27,16.763252849217075
2020-10-04,10.80530113968683
2020-10-11,30.01066241721114
2020-10-18,20.858011847367727
2020-10-25,15.01584328122301
2020-11-01,14.284276994451952
2020-11-08,12.131626424608537
2020-11-15,11.573734852915774
2020-11-29,49.584397270126914
2020-12-06,24.726385422759186
2020-12-13,43.91072255504862
2020-12-20,19.668493851066422
2020-12-27,33.226385422759186
2021-01-03,11.0
2021-01-10,30.605421415361793
2021-01-17,30.279096130440085
2021-01-24,17.20536127752431
2021-01-31,16.6895179963013
2021-02-21,54.000300689187405
2021-02-28,9.747409567994065
2021-03-07,56.005481553199274
2021-03-14,49.73704783997033
2021-03-28,18.11060227937366
2021-04-04,18.32114442090984
2021-04-11,9.0
2021-04-18,10.631626424608537
2021-04-25,17.131626424608537
2021-05-02,14.131626424608537
2021-05-09,22.226385422759186
2021-05-16,23.0
2021-05-23,17.342168566144718
2021-05-30,23.41590341906049
2021-06-06,10.921084283072359
2021-06-13,31.22120455874732
2021-06-20,25.40006013783748
2021-06-27,14.189517996301301
2021-07-04,8.0
2021-07-11,21.168493851066422
2021-07-18,18.70536127752431
2021-07-25,34.684337132289436
2021-08-01,24.936927564295367
2021-08-08,36.30012027567496
2021-08-15,31.436927564295367
2021-08-22,14.226385422759188
2021-08-29,27.70536127752431
2021-09-05,15.0
2021-09-12,15.189517996301301
2021-09-19,26.763252849217075
2021-09-26,37.10542141536179
2021-10-03,29.72120455874732
2021-10-10,33.14746970583155
2021-10-17,22.436927564295367
2021-10-24,26.91590341906049
2021-11-07,35.336987702132845
2021-11-14,31.300120275674963
2021-11-28,24.668493851066422
2021-12-05,34.01066241721114
2021-12-12,69.71084283072358
2021-12-19,47.38969840981375
2021-12-26,32.01066241721114
2018-01-14,17.684337132289436
2018-01-28,15.915903419060491
2018-02-25,34.4844574079644
2018-08-19,23.873855128590737
2018-08-26,21.22120455874732
2018-09-02,10.61060227937366
2018-09-09,23.873855128590737
2018-09-16,46.863493400567
2018-09-23,24.758071985205206
2018-09-30,44.210842830723585
2018-10-07,29.179156268277566
2018-10-14,13.263252849217075
2018-10-21,30.06337312489204
2018-10-28,30.06337312489204
2018-11-04,17.684337132289436
2018-11-11,18.568553988903904
2018-11-18,19.452770845518376
2018-11-25,9.726385422759188
2018-12-02,52.16879454025383
2018-12-09,49.51614397041041
2018-12-16,10.61060227937366
2018-12-23,27.410722555048622
2018-12-30,11.494819135988132
2019-01-06,23.873855128590737
2019-01-13,23.873855128590737
2019-01-20,15.03168656244602
2019-01-27,15.915903419060491
2019-02-03,22.105421415361793
2019-02-10,20.33698770213285
2019-02-17,30.06337312489204
2019-02-24,23.873855128590737
2019-03-03,26.52650569843415
2019-03-10,22.105421415361793
2019-03-17,7.957951709530246
2019-03-31,56.58987882332619
2019-04-07,26.52650569843415
2019-04-14,21.22120455874732
2019-04-28,7.0737348529157735
2019-05-05,30.94758998150651
2019-05-19,34.4844574079644
2019-05-26,15.03168656244602
2019-06-02,27.410722555048622
2019-06-09,17.684337132289436
2019-06-16,25.642288841819678
2019-06-23,19.452770845518376
2019-06-30,12.379035992602603
2019-07-07,20.33698770213285
2019-07-14,22.989638271976265
