,MVT_GT_Dallas-Ft. Worth TX
2017-01-08,47.0
2017-01-22,78.0
2017-01-29,27.0
2017-02-05,23.0
2017-02-12,35.0
2017-02-26,31.0
2017-03-12,52.0
2017-03-26,38.0
2017-04-02,24.0
2017-04-09,45.0
2017-04-16,17.0
2017-04-23,44.0
2017-04-30,29.0
2017-05-14,65.0
2017-05-28,30.0
2017-06-04,45.0
2017-06-11,51.0
2017-06-18,44.0
2017-06-25,31.0
2017-07-02,44.0
2017-07-09,44.0
2017-07-16,31.0
2017-07-23,55.0
2017-07-30,57.0
2017-08-06,13.0
2017-08-13,13.0
2017-08-27,69.0
2017-09-03,23.0
2017-09-10,14.0
2017-09-17,21.0
2017-09-24,42.0
2017-10-01,45.0
2017-10-15,59.0
2017-10-22,65.0
2017-10-29,36.0
2017-11-05,20.0
2017-11-12,34.0
2017-11-19,19.0
2017-12-03,30.0
2017-12-10,43.0
2017-12-17,82.0
2017-12-24,34.0
2018-01-07,39.0
2018-01-14,29.0
2018-01-21,31.0
2018-01-28,54.0
2018-02-11,74.0
2018-02-25,22.0
2018-03-11,39.0
2018-03-18,18.0
2018-03-25,28.0
2018-04-01,26.0
2018-04-08,20.0
2018-04-22,21.0
2018-05-06,71.0
2018-05-13,51.0
2018-05-20,29.0
2018-05-27,30.0
2018-06-03,23.0
2018-06-10,71.0
2018-06-17,43.0
2018-06-24,42.0
2018-07-01,100.0
2018-07-08,14.0
2018-07-15,24.0
2018-07-22,36.0
2018-08-05,36.0
2018-08-12,20.0
2018-08-19,61.0
2018-08-26,28.0
2018-09-02,47.0
2018-09-09,29.0
2018-09-16,34.0
2018-09-23,17.0
2018-09-30,73.0
2018-10-07,46.0
2018-10-14,18.0
2018-10-21,49.0
2018-10-28,15.0
2018-11-04,45.0
2018-11-11,52.0
2018-11-18,17.0
2018-11-25,38.0
2018-12-02,36.0
2018-12-09,26.0
2018-12-16,39.0
2018-12-23,44.0
2018-12-30,42.0
2019-01-06,37.0
2019-01-13,21.0
2019-01-20,31.0
2019-01-27,24.0
2019-02-03,97.0
2019-02-10,29.0
2019-02-17,31.0
2019-02-24,49.0
2019-03-03,56.0
2019-03-10,33.0
2019-03-17,36.0
2019-03-24,47.0
2019-03-31,25.0
2019-04-07,25.0
2019-04-14,31.0
2019-04-21,30.0
2019-04-28,24.0
2019-05-05,27.0
2019-05-12,53.0
2019-05-19,72.0
2019-05-26,33.0
