,MVT_GT_Ontario
2017-01-08,18.0
2017-01-22,6.0
2017-01-29,16.0
2017-02-05,9.0
2017-02-26,18.0
2017-03-05,100.0
2017-03-12,26.0
2017-03-19,13.0
2017-03-26,12.0
2017-04-02,11.0
2017-04-09,22.0
2017-04-16,8.0
2017-04-30,11.0
2017-05-07,10.0
2017-05-14,13.0
2017-05-21,8.0
2017-06-04,11.0
2017-06-11,12.0
2017-06-18,19.0
2017-07-02,16.0
2017-07-09,22.0
2017-07-23,22.0
2017-08-13,17.0
2017-09-10,18.0
2017-09-17,22.0
2017-09-24,33.0
2017-10-01,8.0
2017-10-08,19.0
2017-10-15,27.0
2017-11-05,14.0
2017-11-12,17.0
2017-11-19,19.0
2017-11-26,16.0
2017-12-03,11.0
2017-12-10,10.0
2017-12-24,22.0
2017-12-31,12.0
2018-01-14,6.078200130667947
2018-01-21,12.96422027440269
2018-01-28,9.11730019600192
2018-02-04,16.811140352803456
2018-02-11,11.040760235202306
2018-02-18,10.732940222135511
2018-02-25,27.851900588005762
2018-03-11,4.962560104534358
2018-03-18,9.11730019600192
2018-03-25,5.770380117601153
2018-04-01,7.693840156801537
2018-04-08,8.809480182935125
2018-04-15,4.962560104534358
2018-04-22,13.772040287469483
2018-04-29,17.926780378937046
2018-05-06,9.11730019600192
2018-05-13,13.272040287469483
2018-05-20,15.195500326669869
2018-05-27,22.081520470404612
2018-06-10,17.11896036587025
2018-06-17,17.926780378937046
2018-06-24,20.965880444271022
2018-07-01,7.193840156801537
2018-07-08,10.232940222135511
2018-07-15,19.85024041813743
2018-07-22,11.3485802482691
2018-07-29,19.35024041813743
2018-08-05,20.158060431204227
2018-08-12,16.003320339736664
2018-08-19,12.96422027440269
2018-08-26,17.11896036587025
2018-09-02,10.732940222135511
2018-09-09,6.386020143734742
2018-09-16,40.816120862408454
2018-09-23,12.96422027440269
2018-09-30,7.193840156801537
2018-10-07,13.772040287469483
2018-10-14,11.3485802482691
2018-10-28,19.85024041813743
2018-11-04,17.926780378937046
2018-11-11,11.8485802482691
2018-11-18,11.8485802482691
2018-11-25,11.8485802482691
2018-12-02,31.198820666406533
2018-12-09,44.163040940809225
2018-12-16,21.273700457337817
2018-12-23,19.042420405070636
2018-12-30,6.078200130667947
2019-01-13,26.73626056187217
2019-01-20,10.232940222135511
2019-02-03,17.926780378937046
2019-02-10,12.156400261335895
2019-02-17,10.732940222135511
2019-02-24,8.001660169868332
2019-03-03,6.078200130667947
2019-03-10,22.889340483471408
2019-03-17,20.158060431204227
2019-03-24,7.193840156801537
2019-03-31,14.079860300536279
2019-04-07,7.693840156801537
2019-04-14,21.273700457337817
2019-04-21,9.925120209068716
2019-04-28,9.925120209068716
2019-05-05,18.23460039200384
2019-05-12,9.925120209068716
2019-05-19,17.926780378937046
2019-05-26,10.232940222135511
2019-06-02,6.886020143734742
2019-06-16,22.081520470404612
2019-06-23,11.8485802482691
2019-06-30,18.73460039200384
2019-07-07,19.85024041813743
2019-07-14,40.816120862408454
2019-07-21,21.773700457337817
2019-07-28,21.773700457337817
2019-08-04,20.158060431204227
2019-08-11,36.96920078400768
2019-08-18,15.195500326669869
2019-08-25,21.273700457337817
2019-09-01,7.193840156801537
2019-09-08,10.232940222135511
2019-09-22,14.887680313603074
2019-09-29,17.926780378937046
2019-10-06,30.083180640272943
2019-10-13,5.770380117601153
2019-10-20,20.965880444271022
2019-10-27,16.003320339736664
2019-11-03,16.003320339736664
2019-11-10,19.85024041813743
2019-11-17,24.31280052267179
2019-11-24,17.11896036587025
2019-12-01,11.040760235202306
2019-12-08,17.926780378937046
2019-12-15,13.272040287469483
2019-12-22,16.003320339736664
2019-12-29,23.6971604965382
2020-01-05,12.156400261335895
2020-01-12,14.387680313603074
2020-01-19,14.887680313603074
2020-01-26,20.158060431204227
2020-02-02,17.926780378937046
2020-02-09,13.272040287469483
2020-02-16,22.889340483471408
2020-02-23,14.887680313603074
2020-03-01,8.001660169868332
2020-03-08,11.8485802482691
2020-03-15,13.772040287469483
2020-03-29,17.926780378937046
2020-04-05,21.773700457337817
2020-04-12,13.772040287469483
