,MVT_GT_Milwaukee WI
2017-01-01,48.0
2017-01-15,23.0
2017-02-05,80.0
2017-02-19,24.0
2017-03-26,65.0
2017-04-23,52.0
2017-05-14,96.0
2017-06-25,36.0
2017-08-27,55.0
2017-09-03,22.0
2017-09-17,39.0
2017-10-01,46.0
2017-11-12,63.0
2017-12-10,21.0
2017-12-24,48.0
2017-12-31,57.0
2018-01-07,45.36794542532176
2018-01-14,18.916212822191312
2018-03-04,38.50501227453915
2018-04-15,24.606559342817402
2018-05-06,18.916212822191312
2018-06-03,28.12431923328697
2018-06-10,68.30191813798264
2018-07-01,69.97450476813916
2018-07-08,22.93397271266088
2018-09-02,64.78415824751306
2018-11-25,41.85018553485219
2018-12-16,26.951732603130445
2018-12-30,48.213118685634804
2019-01-27,41.35018553485219
2019-02-03,22.93397271266088
2019-03-10,34.48725238406958
2019-04-14,37.332425644382624
2019-06-02,36.1598390142261
2019-07-28,46.54053205547828
2019-08-04,18.916212822191312
2019-08-18,35.48725238406958
2019-09-08,15.571039561878267
2019-09-29,18.916212822191312
2019-11-10,99.77141063158265
2019-11-24,18.916212822191312
2019-12-22,16.071039561878266
2020-01-12,21.76138608250436
2020-01-26,21.76138608250436
2020-02-02,24.606559342817402
2020-02-16,16.571039561878266
2020-03-22,16.571039561878266
2020-03-29,14.898452931721746
2020-04-12,14.398452931721746
2020-04-19,24.606559342817402
2020-04-26,26.451732603130445
2020-05-03,33.81466575391306
2020-05-17,37.332425644382624
2020-07-12,16.071039561878266
2020-08-02,26.451732603130445
2020-08-16,17.74362619203479
2020-08-23,26.951732603130445
2020-09-06,30.969492493600015
2020-09-20,43.02277216500872
2020-10-04,30.969492493600015
2020-10-18,28.62431923328697
2020-10-25,21.76138608250436
2020-12-20,16.071039561878266
2020-12-27,26.451732603130445
2021-01-10,16.071039561878266
2021-01-24,33.81466575391306
2021-02-14,17.74362619203479
2021-02-28,18.916212822191312
2021-03-07,28.62431923328697
2021-03-28,18.416212822191312
2021-04-04,18.916212822191312
2021-04-11,16.071039561878266
2021-04-18,39.00501227453915
2021-05-02,17.24362619203479
2021-05-23,77.5100245490783
2021-06-06,24.106559342817402
2021-06-20,55.07605183641741
2021-07-04,30.469492493600015
2021-07-18,21.76138608250436
2021-08-01,32.64207912375653
2021-08-08,16.571039561878266
2021-09-05,20.088799452347835
2021-09-19,21.26138608250436
2021-09-26,25.27914597297392
2021-10-03,80.85519780939134
2021-10-10,17.24362619203479
2021-10-24,40.67759890469567
2021-10-31,22.93397271266088
2021-11-07,39.00501227453915
2021-11-14,28.12431923328697
2021-12-05,25.27914597297392
2021-12-19,26.951732603130445
2021-12-26,29.79690586344349
2022-01-02,32.28415824751307
2022-01-16,29.593811726886983
2022-01-23,33.629331507826116
2022-02-06,61.87796997440005
2022-02-27,30.938984987200026
2022-03-06,134.51732603130446
2022-03-20,22.867945425321757
2022-04-03,24.213118685634804
2022-04-10,25.558291945947847
2022-04-17,33.629331507826116
2022-05-01,30.938984987200026
2022-05-22,44.390717590330475
2022-06-05,17.48725238406958
2022-06-12,26.903465206260893
2022-06-19,68.60383627596528
2022-06-26,47.08106411095656
2022-07-03,39.010024549078295
2022-07-10,26.903465206260893
2022-08-07,25.558291945947847
2022-08-21,18.832425644382624
2022-09-11,22.867945425321757
2022-09-18,68.60383627596528
2022-09-25,57.84245019346092
2022-10-23,21.522772165008714
2022-10-30,56.49727693314787
2022-11-06,16.142079123756535
2022-11-27,29.593811726886983
2022-12-04,39.010024549078295
2022-12-11,20.17759890469567
