,MVT_GT_Detroit MI
2017-01-08,21.0
2017-01-15,19.0
2017-01-22,50.0
2017-01-29,32.0
2017-02-05,26.0
2017-02-12,35.0
2017-02-19,51.0
2017-02-26,21.0
2017-03-05,49.0
2017-03-12,19.0
2017-03-19,18.0
2017-03-26,50.0
2017-04-02,18.0
2017-04-09,38.0
2017-04-16,40.0
2017-04-23,25.0
2017-04-30,36.0
2017-05-14,54.0
2017-05-28,100.0
2017-06-04,33.0
2017-06-11,26.0
2017-06-18,94.0
2017-06-25,22.0
2017-07-02,23.0
2017-07-09,29.0
2017-07-23,43.0
2017-07-30,23.0
2017-08-13,33.0
2017-08-27,26.0
2017-09-24,33.0
2017-10-08,30.0
2017-10-15,61.0
2017-10-29,16.0
2017-11-05,21.0
2017-11-12,17.0
2017-11-26,25.0
2017-12-03,55.0
2017-12-17,19.0
2018-01-07,61.05726466906937
2018-01-14,25.39134603226364
2018-01-21,39.07574767862256
2018-02-18,49.327777543618865
2018-03-25,33.71100411589731
2018-04-01,33.71100411589731
2018-04-15,36.143375897259936
2018-04-22,51.28269206452728
2018-05-06,34.18846137635152
2018-05-20,21.981516990446806
2018-06-24,36.643375897259936
2018-08-12,51.78269206452728
2018-08-19,32.2335468554431
2018-08-26,27.84626055317206
2018-09-02,18.071687948629968
2018-09-09,18.071687948629968
2018-09-16,42.008119459985195
2018-09-30,27.84626055317206
2018-10-07,48.35032028316465
2018-10-14,24.413888771809432
2018-12-16,18.071687948629968
2018-12-30,19.049145209084177
2019-01-13,27.34626055317206
2019-01-20,19.549145209084177
2019-01-27,39.07574767862256
2019-02-10,29.801175074080476
2019-03-17,41.03066219953098
2019-03-31,33.21100411589731
2019-04-28,39.07574767862256
2019-05-05,42.008119459985195
2019-05-19,30.278632334534684
2019-06-02,41.508119459985195
2019-06-09,30.278632334534684
2019-06-16,17.09423068817576
2019-06-30,63.989636450431995
2019-07-07,54.71506384588991
2019-07-14,20.02660246953839
2019-07-21,37.620833157714145
2019-07-28,22.958974250901015
2019-08-11,53.7376065854357
2019-08-18,40.05320493907678
2019-08-25,31.756089594988893
2019-09-01,44.940491241347814
2019-10-13,16.11677342772155
2019-10-20,95.2457260454209
2019-10-27,32.7335468554431
2019-11-10,14.161858906813134
2019-11-17,32.7335468554431
2019-11-24,20.02660246953839
2019-12-08,37.120833157714145
2019-12-15,18.571687948629968
2019-12-29,17.09423068817576
2020-01-05,28.323717813626267
2020-01-12,31.756089594988893
2020-02-02,26.36880329271785
2020-02-09,28.323717813626267
2020-02-16,21.981516990446806
2020-02-23,19.049145209084177
2020-03-15,22.958974250901015
2020-03-29,26.86880329271785
2020-04-05,12.706944385904716
2020-05-03,31.756089594988893
2020-05-10,22.958974250901015
2020-05-17,27.84626055317206
2020-05-24,40.05320493907678
2020-06-07,27.84626055317206
2020-06-14,24.913888771809432
2020-06-21,24.913888771809432
2020-06-28,38.098290418168354
2020-07-05,35.16591863680573
2020-08-16,30.778632334534684
2020-08-23,32.2335468554431
2020-08-30,21.481516990446806
2020-09-13,40.05320493907678
2020-09-20,31.256089594988893
2020-09-27,53.2376065854357
2020-10-11,26.86880329271785
2020-10-18,17.09423068817576
2020-10-25,29.301175074080476
2020-11-08,52.260149324981484
2020-11-15,16.11677342772155
2020-11-22,19.049145209084177
2020-11-29,35.16591863680573
2020-12-13,17.09423068817576
2020-12-20,22.958974250901015
2021-01-03,16.61677342772155
2021-01-10,20.02660246953839
2021-01-24,16.61677342772155
2021-01-31,16.11677342772155
2021-02-07,46.89540576225623
2021-02-28,60.07980740861516
2021-03-07,26.86880329271785
2021-03-14,42.9855767204394
2021-03-28,35.16591863680573
2021-04-11,48.85032028316465
2021-04-18,50.805234804073066
2021-05-02,80.60640987815356
2021-05-09,25.89134603226364
2021-05-23,39.07574767862256
2021-06-06,37.620833157714145
2021-06-20,39.07574767862256
2021-06-27,21.004059729992598
2021-07-04,43.96303398089361
2021-07-11,54.21506384588991
2021-07-25,22.958974250901015
2021-08-08,46.89540576225623
2021-08-15,31.756089594988893
2021-08-22,26.86880329271785
2021-09-19,42.008119459985195
2021-10-03,56.169978366798325
2021-11-07,31.756089594988893
2021-11-14,27.84626055317206
2021-12-05,19.049145209084177
2021-12-26,21.981516990446806
2022-01-02,37.24166631542829
2022-01-09,27.692521106344117
2022-01-16,26.7376065854357
2022-02-13,21.008119459985192
2022-02-20,41.06132439906197
2022-03-13,33.42200823179462
2022-03-20,24.82777754361886
2022-03-27,49.65555508723772
2022-04-10,42.016238919970384
2022-04-24,20.053204939076775
2022-05-01,42.9711534408788
2022-05-08,41.06132439906197
2022-05-15,75.438247151765
2022-05-22,24.82777754361886
2022-05-29,15.278632334534684
2022-06-05,57.29487125450507
2022-06-12,51.56538412905456
2022-06-19,64.9341874217724
2022-06-26,37.24166631542829
2022-07-03,21.008119459985192
2022-07-10,28.647435627252534
2022-07-17,39.15149535724513
2022-07-24,21.008119459985192
2022-08-07,73.52841810994816
2022-08-14,42.016238919970384
2022-08-21,68.75384550540608
2022-08-28,53.4752131708714
2022-09-04,26.7376065854357
2022-09-11,54.430127691779816
2022-09-18,27.692521106344117
2022-10-02,70.66367454722291
2022-10-09,47.74572604542089
2022-11-06,50.61046960814614
2022-12-04,48.700640566329305
2022-12-18,78.30299071449026
2022-12-25,50.61046960814614
