,MVT_GT_Los Angeles CA
2018-10-07,40.12023911298539
2018-10-14,23.236806149241474
2018-10-21,69.15152291680818
2018-10-28,49.091403360315475
2018-11-04,50.650298891231735
2018-11-11,44.35582123665043
2018-11-18,51.209194422147995
2018-11-25,55.94477654581304
2018-12-02,44.85582123665043
2018-12-09,48.53250782939921
2018-12-16,53.326985483980515
2018-12-23,73.88710504047322
2018-12-30,63.85704526222686
2019-01-06,51.709194422147995
2019-01-13,38.00244805115287
2019-01-20,42.23803017481791
2019-01-27,62.7981497313106
2019-02-03,58.06256760764556
2019-02-10,41.67913464390165
2019-02-17,38.00244805115287
2019-02-24,40.12023911298539
2019-03-03,58.06256760764556
2019-03-10,40.12023911298539
2019-03-17,54.88588101489678
2019-03-24,54.88588101489678
2019-03-31,59.62146313856182
2019-04-07,26.913492741990257
2019-04-14,49.091403360315475
2019-04-21,33.76686592748783
2019-04-28,49.591403360315475
2019-05-05,53.826985483980515
2019-05-12,62.2981497313106
2019-05-19,68.09262738589192
2019-05-26,54.88588101489678
2019-06-02,51.709194422147995
2019-06-09,58.56256760764556
2019-06-16,53.326985483980515
2019-06-23,45.91471676756669
2019-06-30,40.12023911298539
2019-07-07,45.41471676756669
2019-07-14,42.73803017481791
2019-07-21,32.20797039657156
2019-07-28,55.94477654581304
2019-08-04,25.854597211073997
2019-08-11,48.03250782939921
2019-08-18,58.06256760764556
2019-08-25,48.03250782939921
2019-09-01,86.03495588055208
2019-09-08,63.35704526222686
2019-09-15,40.62023911298539
2019-09-22,50.150298891231735
2019-09-29,70.21041844772444
2019-10-06,27.97238827290652
2019-10-13,20.060119556492694
2019-10-20,71.7693139786407
2019-10-27,74.44600057138948
2019-11-03,62.7981497313106
2019-11-10,38.00244805115287
2019-11-17,72.82820950955696
2019-11-24,19.001224025576434
2019-12-08,73.38710504047322
2019-12-22,46.47361229848295
2019-12-29,32.70797039657156
2020-01-05,48.03250782939921
2020-01-12,68.09262738589192
2020-01-19,46.97361229848295
2020-01-26,38.00244805115287
2020-02-02,59.12146313856182
2020-02-09,49.091403360315475
2020-02-16,49.091403360315475
2020-02-23,74.94600057138948
2020-03-01,44.85582123665043
2020-03-08,39.06134358206913
2020-03-15,55.44477654581304
2020-03-22,36.94355252023661
2020-03-29,43.79692570573417
2020-04-05,51.209194422147995
2020-04-12,43.79692570573417
2020-04-19,25.854597211073997
2020-04-26,73.38710504047322
2020-05-03,58.06256760764556
2020-05-10,43.29692570573417
2020-05-17,45.91471676756669
2020-05-24,57.0036720767293
2020-05-31,81.79937375688704
2020-06-07,38.00244805115287
2020-06-14,38.00244805115287
2020-06-21,65.97483632405938
2020-06-28,34.82576145840409
2020-07-05,46.97361229848295
2020-07-12,46.97361229848295
2020-07-19,34.82576145840409
2020-07-26,45.91471676756669
2020-08-02,33.76686592748783
2020-08-09,48.03250782939921
2020-08-16,39.06134358206913
2020-08-23,41.67913464390165
2020-08-30,21.619015087408954
2020-09-06,27.97238827290652
2020-09-13,51.209194422147995
2020-09-20,43.79692570573417
2020-09-27,35.38465698932035
2020-10-04,50.650298891231735
2020-10-11,31.6490748656553
2020-10-18,46.97361229848295
2020-10-25,35.88465698932035
2020-11-01,51.209194422147995
2020-11-08,71.7693139786407
2020-11-15,39.06134358206913
2020-11-22,42.73803017481791
2020-11-29,34.82576145840409
2020-12-06,26.413492741990257
2020-12-13,44.35582123665043
2020-12-20,44.85582123665043
2020-12-27,69.15152291680818
2021-01-03,70.21041844772444
2021-01-10,55.94477654581304
2021-01-17,51.709194422147995
2021-01-24,42.23803017481791
2021-01-31,70.71041844772444
2021-02-07,53.326985483980515
2021-02-14,61.73925420039434
2021-02-21,45.91471676756669
2021-02-28,36.94355252023661
2021-03-07,32.20797039657156
2021-03-14,72.82820950955696
2021-03-21,42.23803017481791
2021-03-28,54.88588101489678
2021-04-04,31.1490748656553
2021-04-11,49.091403360315475
2021-04-18,67.03373185497566
2021-04-25,59.12146313856182
2021-05-02,59.12146313856182
2021-05-09,73.88710504047322
2021-05-16,58.06256760764556
2021-05-23,62.2981497313106
2021-05-30,52.768089953064255
2021-06-06,50.150298891231735
2021-06-13,55.94477654581304
2021-06-20,42.73803017481791
2021-06-27,37.50244805115287
2021-07-04,71.7693139786407
2021-07-11,49.091403360315475
2021-07-18,30.59017933473904
2021-07-25,35.38465698932035
2021-08-01,68.09262738589192
2021-08-08,53.826985483980515
2021-08-15,38.00244805115287
2021-08-22,49.091403360315475
2021-08-29,70.21041844772444
2021-09-05,45.91471676756669
2021-09-12,68.09262738589192
2021-09-19,63.85704526222686
2021-09-26,59.12146313856182
2021-10-03,38.00244805115287
2021-10-10,34.82576145840409
2021-10-17,44.85582123665043
2021-10-24,63.35704526222686
2021-10-31,58.06256760764556
2021-11-07,41.17913464390165
2021-11-14,71.2693139786407
2021-11-21,60.68035866947808
2021-11-28,48.03250782939921
2021-12-05,65.97483632405938
2021-12-12,51.709194422147995
2021-12-19,53.826985483980515
2021-12-26,33.76686592748783
2022-01-02,76.00979220461146
2022-01-09,74.89200114277894
2022-01-16,52.53617990612851
2022-01-23,72.6564190191139
2022-01-30,86.06991176110415
2022-02-06,63.714090524453724
2022-02-13,57.0073441534586
2022-02-20,70.42083689544886
2022-02-27,35.76931397864069
2022-03-06,77.12758326644399
2022-03-13,68.18525477178382
2022-03-20,73.77421008094642
2022-03-27,29.06256760764556
2022-04-03,31.298149731310602
2022-04-10,72.6564190191139
2022-04-17,58.12513521529112
2022-04-24,65.94967264811876
2022-05-01,72.6564190191139
2022-05-08,77.12758326644399
2022-05-15,53.65397096796103
2022-05-22,76.00979220461146
2022-05-29,68.18525477178382
2022-06-05,40.240478225970776
2022-06-12,58.12513521529112
2022-06-19,45.82943353513338
2022-06-26,36.88710504047321
2022-07-03,62.596299462621204
2022-07-10,64.83188158628624
2022-07-17,65.94967264811876
2022-07-24,62.596299462621204
2022-07-31,50.30059778246347
2022-08-07,80.48095645194155
2022-08-14,95.01224025576433
2022-08-21,64.83188158628624
2022-08-28,36.88710504047321
2022-09-04,35.76931397864069
2022-09-11,77.12758326644399
2022-09-18,27.94477654581304
2022-09-25,80.48095645194155
2022-10-02,76.00979220461146
2022-10-09,61.478508400788684
2022-10-16,41.358269287803296
2022-10-23,74.89200114277894
2022-10-30,48.06501565879842
2022-11-06,65.94967264811876
2022-11-13,111.77910618325215
2022-11-20,68.18525477178382
2022-11-27,71.53862795728138
2022-12-04,35.76931397864069
2022-12-11,62.596299462621204
2022-12-18,61.478508400788684
2022-12-25,67.0674637099513
