,MVT_GT_San Diego CA
2017-01-08,40.0
2017-01-15,26.0
2017-01-22,33.0
2017-01-29,24.0
2017-02-05,18.0
2017-02-12,16.0
2017-03-05,20.0
2017-03-19,17.0
2017-04-02,24.0
2017-04-16,45.0
2017-05-21,33.0
2017-05-28,18.0
2017-06-04,45.0
2017-06-18,28.0
2017-06-25,16.0
2017-07-09,15.0
2017-07-16,27.0
2017-08-06,100.0
2017-08-13,17.0
2017-08-20,26.0
2017-09-03,31.0
2017-09-17,12.0
2017-10-08,13.0
2017-10-15,42.0
2017-10-29,20.0
2017-11-05,40.0
2017-11-12,26.0
2017-11-19,46.0
2017-11-26,13.0
2017-12-17,17.0
2017-12-24,72.0
2018-01-07,32.220158459377814
2018-01-14,45.027997860246955
2018-01-28,18.961759101303723
2018-02-18,26.066238758943236
2018-02-25,30.31903854496793
2018-03-04,28.917918630558056
2018-03-11,34.62127837378769
2018-03-18,23.71455888732842
2018-04-08,36.022398288197564
2018-04-15,17.060639186893845
2018-04-22,20.862879015713602
2018-05-27,37.92351820260745
2018-06-03,18.011199144098782
2018-06-17,27.967358673353115
2018-07-01,24.16511884453336
2018-07-08,53.083037475091416
2018-07-22,17.060639186893845
2018-07-29,36.022398288197564
2018-08-05,17.060639186893845
2018-08-19,30.31903854496793
2018-09-02,34.12127837378769
2018-09-09,45.9785578174519
2018-09-16,21.81343897291854
2018-09-30,21.31343897291854
2018-10-07,20.862879015713602
2018-10-21,16.110079229688907
2018-10-28,15.159519272483966
2018-11-04,40.27519807422226
2018-12-02,90.05599572049391
2018-12-09,14.208959315279028
2018-12-16,33.17071841658275
2019-01-20,36.97295824540251
2019-01-27,27.016798716148173
2019-02-03,15.159519272483966
2019-02-10,24.66511884453336
2019-02-17,26.066238758943236
2019-02-24,42.17631798863214
2019-03-10,48.33023768906672
2019-03-24,27.967358673353115
2019-03-31,13.258399358074087
2019-04-07,13.258399358074087
2019-04-14,25.115678801738298
2019-04-28,19.912319058508665
2019-05-05,42.17631798863214
2019-05-12,18.961759101303723
2019-05-19,19.912319058508665
2019-05-26,18.011199144098782
2019-06-16,19.912319058508665
2019-06-23,48.83023768906672
2019-06-30,22.263998930123478
2019-07-07,14.208959315279028
2019-07-14,37.92351820260745
2019-07-21,20.862879015713602
2019-07-28,22.763998930123478
2019-08-04,33.67071841658275
2019-08-11,74.89647644800996
2019-08-18,16.610079229688907
2019-09-15,22.763998930123478
2019-09-22,13.258399358074087
2019-09-29,29.868478587762993
2019-10-13,20.362879015713602
2019-10-20,20.862879015713602
2019-11-03,26.066238758943236
2019-11-10,17.060639186893845
2019-12-01,39.82463811701733
2019-12-08,12.807839400869149
2019-12-29,34.12127837378769
2020-01-05,19.912319058508665
2020-01-12,37.92351820260745
2020-02-16,24.66511884453336
2020-02-23,40.77519807422226
2020-03-01,32.720158459377814
2020-03-08,24.66511884453336
2020-03-15,40.27519807422226
2020-03-22,36.97295824540251
2020-03-29,12.807839400869149
2020-04-05,18.011199144098782
2020-04-12,57.83583726111611
2020-04-26,15.159519272483966
2020-05-03,15.159519272483966
2020-05-17,19.412319058508665
2020-06-07,24.66511884453336
2020-06-14,28.917918630558056
2020-06-21,19.412319058508665
2020-06-28,21.81343897291854
2020-07-26,11.85727944366421
2020-08-02,36.97295824540251
2020-08-16,19.912319058508665
2020-09-20,27.016798716148173
2020-09-27,50.731357603476596
2020-10-04,24.16511884453336
2020-10-11,31.769598502172872
2020-10-18,33.67071841658275
2020-10-25,49.28079764627165
2020-11-08,35.57183833099263
2020-12-13,25.115678801738298
2020-12-27,83.90207602005935
2021-01-17,35.07183833099263
2021-01-24,76.29759636241982
2021-02-14,36.97295824540251
2021-02-21,14.208959315279028
2021-02-28,18.961759101303723
2021-03-07,22.263998930123478
2021-03-21,15.159519272483966
2021-03-28,24.16511884453336
2021-04-04,40.27519807422226
2021-04-11,27.016798716148173
2021-04-18,74.89647644800996
2021-04-25,16.110079229688907
2021-05-02,13.758399358074087
2021-05-16,20.862879015713602
2021-07-11,25.615678801738298
2021-07-18,58.78639721832104
2021-07-25,13.758399358074087
2021-08-01,41.725758031427205
2021-08-08,29.368478587762993
2021-08-15,21.81343897291854
2021-08-22,26.066238758943236
2021-09-05,18.011199144098782
2021-09-12,21.81343897291854
2021-09-26,46.92911777465684
2021-10-03,20.862879015713602
2021-10-10,28.917918630558056
2021-10-31,35.07183833099263
2021-11-07,27.016798716148173
2021-11-21,36.97295824540251
2021-12-05,14.208959315279028
2021-12-19,23.71455888732842
2022-01-09,35.14367666198525
2022-01-16,46.858235549313676
2022-01-23,27.03359743229635
2022-01-30,21.62687794583708
2022-03-06,20.7257580314272
2022-03-13,24.330237689066717
2022-03-20,15.319038544967933
2022-03-27,25.231357603476596
2022-04-03,9.912319058508663
2022-04-10,19.824638117017326
2022-04-24,35.14367666198525
2022-05-01,34.24255674757538
2022-05-08,28.835837261116108
2022-05-22,13.516798716148175
2022-06-05,21.62687794583708
2022-06-19,41.4515160628544
2022-07-10,27.93471734670623
2022-07-17,28.835837261116108
2022-07-24,55.86943469341246
2022-07-31,18.022398288197568
2022-08-14,13.516798716148175
2022-08-21,28.835837261116108
2022-08-28,36.044796576395136
2022-09-25,29.736957175525987
2022-10-02,18.022398288197568
2022-10-09,35.14367666198525
2022-10-16,30.638077089935866
2022-10-30,15.319038544967933
2022-12-04,14.417918630558054
2022-12-11,31.539197004345745
2022-12-25,37.847036405214894
