,MVT_GT_Dallas-Ft. Worth TX
2017-01-01,36.0
2017-01-08,48.0
2017-01-15,28.0
2017-01-22,23.0
2017-01-29,53.0
2017-02-12,44.0
2017-02-19,12.0
2017-02-26,58.0
2017-03-05,85.0
2017-03-12,21.0
2017-03-19,32.0
2017-03-26,57.0
2017-04-02,17.0
2017-04-09,20.0
2017-04-23,25.0
2017-04-30,61.0
2017-05-07,25.0
2017-05-14,38.0
2017-05-21,37.0
2017-05-28,44.0
2017-06-04,18.0
2017-06-11,37.0
2017-06-25,29.0
2017-07-02,60.0
2017-07-09,26.0
2017-07-16,27.0
2017-07-23,49.0
2017-07-30,42.0
2017-08-06,47.0
2017-08-13,39.0
2017-08-27,31.0
2017-09-03,63.0
2017-09-10,21.0
2017-09-17,41.0
2017-09-24,39.0
2017-10-01,34.0
2017-10-15,58.0
2017-10-22,37.0
2017-10-29,14.0
2017-11-05,11.0
2017-11-12,36.0
2017-11-19,30.0
2017-11-26,33.0
2017-12-03,34.0
2017-12-10,59.0
2017-12-17,17.0
2017-12-24,25.0
2017-12-31,16.0
2018-01-07,26.0
2018-01-21,31.0
2018-01-28,50.0
2018-02-04,28.0
2018-02-11,43.0
2018-02-18,20.0
2018-03-04,14.0
2018-03-18,21.0
2018-03-25,81.0
2018-04-01,27.0
2018-04-08,35.0
2018-04-15,44.0
2018-04-22,28.0
2018-04-29,17.0
2018-05-06,26.0
2018-05-13,41.0
2018-05-20,21.0
2018-05-27,31.0
2018-06-10,27.0
2018-06-17,19.0
2018-06-24,31.0
2018-07-01,49.0
2018-07-15,39.0
2018-07-22,100.0
2018-07-29,23.0
2018-08-05,69.0
2018-08-19,29.0
2018-08-26,37.0
2018-09-02,47.0
2018-09-09,26.0
2018-09-16,44.0
2018-09-23,99.0
2018-09-30,56.0
2018-10-07,43.0
2018-10-14,29.0
2018-10-28,32.0
2018-11-04,46.0
2018-11-11,55.0
2018-11-25,29.0
2018-12-02,16.0
2018-12-09,25.0
2018-12-16,87.0
2018-12-23,37.0
2018-12-30,45.0
2019-01-06,49.0
2019-01-20,38.0
2019-01-27,31.0
2019-02-03,25.0
2019-02-10,43.0
2019-02-17,22.0
2019-02-24,30.0
2019-03-03,37.0
2019-03-10,58.0
2019-03-17,39.0
2019-03-24,58.0
2019-03-31,15.0
2019-04-14,20.0
2019-04-21,38.0
2019-04-28,21.0
2019-05-05,36.0
2019-05-12,45.0
2019-05-26,21.0
2019-06-02,45.0
2019-06-09,42.0
2019-06-16,26.0
2019-06-23,35.0
2019-06-30,32.0
2019-07-07,51.0
2019-07-14,72.0
2019-07-21,23.0
2019-07-28,61.0
2019-08-04,52.0
2019-08-11,56.0
2019-08-18,19.0
2019-08-25,49.0
