date,Atlanta GA
2022-07-31,18.558
2022-08-07,34.732
2022-08-14,32.344
2022-08-21,34.287
2022-08-28,31.15
2022-09-04,47.582
2022-09-11,31.305
2022-09-18,41.005
2022-09-25,27.696
2022-10-02,21.113
2022-10-09,21.282
2022-10-16,24.108
2022-10-23,37.221
2022-10-30,28.897
2022-11-06,46.637
2022-11-13,67.379
2022-11-20,34.489
2022-11-27,32.1
2022-12-04,44.89
2022-12-11,47.703
2022-12-18,53.713
2022-12-25,20.29
