,MVT_GT_Louisville KY
2017-02-12,29.0
2017-02-26,34.0
2017-03-05,47.0
2017-04-30,35.0
2017-05-14,65.0
2017-05-21,29.0
2017-06-04,43.0
2017-07-23,36.0
2017-07-30,28.0
2017-08-13,29.0
2017-09-17,39.0
2017-10-08,64.0
2017-10-29,26.0
2017-11-12,27.0
2017-11-26,48.0
2017-12-03,25.0
2017-12-31,56.0
2018-01-07,26.0
2018-03-18,35.0
2018-04-01,47.0
2018-04-15,22.0
2018-04-29,25.0
2018-05-13,30.0
2018-06-03,51.0
2018-08-26,24.0
2018-09-02,60.0
2018-09-09,32.0
2018-09-16,45.0
2018-09-30,23.0
2018-10-14,53.0
2018-11-18,23.0
2018-12-16,23.0
2018-12-23,26.0
2018-12-30,75.0
2019-01-13,92.0
2019-01-27,22.0
2019-03-03,21.0
2019-03-17,100.0
2019-04-07,29.0
2019-05-05,39.0
2019-05-12,41.0
2019-06-02,44.0
2019-06-16,38.0
2019-06-23,26.0
2019-09-15,61.0
2019-09-29,34.0
2019-11-03,34.0
2019-12-15,30.0
2020-01-19,34.0
2020-01-26,28.0
2020-02-09,59.0
2020-02-16,27.0
2020-02-23,12.0
2020-03-01,29.0
2020-03-15,56.0
2020-04-12,35.0
2020-05-10,52.0
2020-05-17,28.0
2020-05-31,26.0
2020-06-07,49.0
2020-06-14,36.0
2020-06-28,27.0
2020-08-09,21.0
2020-09-27,26.0
2020-11-22,62.0
2021-01-24,24.0
2021-01-31,45.0
2021-02-21,41.0
2021-03-28,26.0
2021-04-04,30.0
2021-04-18,25.0
2021-05-09,38.0
2021-05-16,68.0
2021-06-27,25.0
2021-07-25,41.0
2021-09-12,39.0
2021-12-05,25.0
2021-12-19,30.0
2021-12-26,37.0
2022-01-09,30.0
2022-01-16,23.0
2022-01-23,24.0
2022-02-27,19.0
2022-04-10,41.0
2022-04-17,16.0
2022-05-08,34.0
2022-05-15,24.0
2022-07-03,25.0
2022-07-24,42.0
2022-09-04,27.0
2022-09-25,18.0
2022-10-09,32.0
2022-10-16,68.0
2022-10-30,46.0
2022-11-13,35.0
2022-12-04,48.0
