date,Philadelphia PA
2022-09-04,62.38
2022-09-11,53.676
2022-09-18,70.871
2022-09-25,19.506
2022-10-02,74.752
2022-10-09,99.734
2022-10-16,48.831
2022-10-23,42.123
2022-10-30,55.476
2022-11-06,85.364
2022-11-13,55.397
2022-11-20,91.063
2022-11-27,55.775
2022-12-04,79.288
2022-12-11,56.526
2022-12-18,52.753
2022-12-25,44.789
