,MVT_GT_Norfolk-Portsmouth-Newport News VA
2017-01-29,32.0
2017-02-26,100.0
2017-05-07,56.0
2017-06-18,37.0
2017-07-16,47.0
2017-08-06,28.0
2017-09-03,87.0
2017-09-24,54.0
2017-11-12,28.0
2017-12-03,36.0
2017-12-17,81.0
2017-12-24,65.0
2018-02-11,28.884100517311587
2018-02-18,39.61468252360671
2018-04-08,49.84526452990183
2018-04-15,39.11468252360671
2018-04-29,56.11437828383629
2018-06-03,79.88318779800031
2018-06-10,35.15321427124604
2018-06-17,40.768505274393604
2018-06-24,77.57554229642653
2018-07-08,27.730277766524697
2018-07-22,39.61468252360671
2018-08-05,32.845568769672255
2018-08-19,32.845568769672255
2018-09-23,41.42232802518049
2018-11-25,32.845568769672255
2018-12-16,47.53761902832805
2018-12-23,53.8067327822625
2019-01-13,47.03761902832805
2019-01-20,52.65291003147561
2019-01-27,50.49908728068873
2019-03-17,40.768505274393604
2019-05-26,35.15321427124604
2019-06-02,49.34526452990183
2019-06-16,61.22966928698385
2019-07-07,28.884100517311587
2019-07-14,30.037923268098478
2019-08-04,31.191746018885368
2019-08-11,43.57615077596738
2019-08-18,70.80642854249209
2019-09-08,41.92232802518049
2019-10-13,40.268505274393604
2019-11-24,37.960859772819816
2019-12-22,68.4987830409183
2020-01-05,58.92202378541006
2020-01-26,50.99908728068873
2020-02-16,39.11468252360671
2020-03-15,22.114986763377136
2020-04-12,31.191746018885368
2020-05-10,47.03761902832805
2020-05-31,54.460555533049394
2020-06-28,41.42232802518049
2020-07-12,47.03761902832805
2020-07-19,40.268505274393604
2020-07-26,31.191746018885368
2020-08-16,40.768505274393604
2020-08-23,73.61407404406586
2020-08-30,23.768809514164026
2020-09-13,49.84526452990183
2020-09-20,32.345568769672255
2020-10-04,27.730277766524697
2020-11-08,40.768505274393604
2020-12-06,83.34465605036098
2021-01-31,65.19113753934451
2021-02-07,24.922632264950916
2021-03-28,30.037923268098478
2021-04-18,62.883492037770736
2021-05-16,71.96025129327897
2021-07-04,74.76789679485275
2021-07-11,44.22997352675427
2021-08-08,47.03761902832805
2021-08-22,32.345568769672255
2021-09-05,60.075846536196956
2021-09-12,37.460859772819816
2021-10-10,48.19144177911494
2021-12-05,28.384100517311587
2021-12-12,52.65291003147561
2022-01-09,31.383492037770736
2022-01-30,30.075846536196956
2022-02-06,36.61407404406586
2022-02-20,24.845264529901833
2022-03-13,50.998174561377446
2022-04-10,26.152910031475614
2022-04-24,30.075846536196956
2022-05-08,130.76455015737807
2022-05-15,36.61407404406586
2022-05-22,69.30521158341037
2022-06-12,32.69113753934452
2022-06-19,56.22875656767257
2022-06-26,98.07341261803356
2022-07-10,39.22936504721342
2022-07-24,69.30521158341037
2022-07-31,28.768201034623175
2022-08-14,30.075846536196956
2022-08-21,52.30582006295123
2022-09-04,23.537619028328052
2022-09-25,77.15108459285307
2022-10-02,23.537619028328052
2022-10-09,41.84465605036098
2022-10-16,23.537619028328052
2022-10-23,36.61407404406586
2022-11-06,27.460555533049394
2022-11-13,39.22936504721342
2022-11-27,44.45994705350854
2022-12-11,35.30642854249208
2022-12-25,31.383492037770736
