,MVT_GT_Atlanta GA
2017-01-01,51.0
2017-01-08,21.0
2017-01-15,16.0
2017-01-22,50.0
2017-01-29,25.0
2017-02-19,28.0
2017-03-05,19.0
2017-03-12,12.0
2017-03-19,11.0
2017-04-02,26.0
2017-04-09,27.0
2017-04-23,50.0
2017-05-07,55.0
2017-05-14,41.0
2017-05-21,63.0
2017-06-11,65.0
2017-06-18,46.0
2017-06-25,26.0
2017-07-02,21.0
2017-07-09,19.0
2017-07-16,35.0
2017-07-23,88.0
2017-08-06,17.0
2017-08-13,17.0
2017-08-20,27.0
2017-08-27,48.0
2017-09-03,38.0
2017-09-10,31.0
2017-09-17,23.0
2017-10-01,46.0
2017-10-22,18.0
2017-11-05,56.0
2017-11-12,45.0
2017-11-19,45.0
2017-11-26,25.0
2017-12-10,14.0
2017-12-24,24.0
2017-12-31,53.0
2018-01-07,51.0
2018-01-14,44.0
2018-01-21,43.0
2018-02-04,46.0
2018-02-11,39.0
2018-02-18,51.0
2018-02-25,20.0
2018-03-04,41.0
2018-03-11,29.0
2018-03-18,24.0
2018-04-01,71.0
2018-04-08,77.0
2018-04-15,24.0
2018-04-22,27.0
2018-04-29,38.0
2018-05-06,44.0
2018-05-13,22.0
2018-05-20,33.0
2018-05-27,47.0
2018-06-03,23.0
2018-06-10,25.0
2018-06-17,65.0
2018-06-24,18.0
2018-07-01,33.0
2018-07-15,49.0
2018-07-29,39.0
2018-08-05,43.0
2018-08-12,32.0
2018-08-19,30.0
2018-08-26,32.0
2018-09-09,12.0
2018-09-16,42.0
2018-09-23,29.0
2018-09-30,31.0
2018-10-07,31.0
2018-10-14,32.0
2018-10-21,67.0
2018-10-28,23.0
2018-11-04,49.0
2018-11-11,27.0
2018-11-25,30.0
2018-12-09,17.0
2018-12-16,23.0
2018-12-23,37.0
2018-12-30,72.0
2019-01-06,25.0
2019-01-13,63.0
2019-01-20,47.0
2019-01-27,21.0
2019-02-03,64.0
2019-02-10,29.0
2019-02-17,99.0
2019-02-24,51.0
2019-03-03,58.0
2019-03-17,34.0
2019-04-14,36.0
2019-04-28,23.0
2019-05-05,68.0
2019-05-12,22.0
2019-05-19,27.0
2019-05-26,32.0
2019-06-09,25.0
