,MVT_GT_Baltimore MD
2017-01-01,24.0
2017-01-08,14.0
2017-02-26,34.0
2017-03-05,27.0
2017-03-12,12.0
2017-03-19,22.0
2017-03-26,16.0
2017-04-02,19.0
2017-04-23,12.0
2017-05-07,26.0
2017-05-14,55.0
2017-07-23,26.0
2017-08-06,21.0
2017-08-13,15.0
2017-08-27,13.0
2017-09-10,22.0
2017-09-17,100.0
2017-10-01,26.0
2017-10-08,11.0
2017-11-26,11.0
2017-12-24,13.0
2017-12-31,17.0
2018-01-21,17.769655211225043
2018-02-04,35.039310422450086
2018-03-25,28.282009915423643
2018-04-22,15.767408901370754
2018-05-13,18.020216788688614
2018-05-27,17.769655211225043
2018-06-03,16.2685320562979
2018-06-10,17.01909363376147
2018-07-01,14.015724168980034
2018-07-08,28.031448337960068
2018-09-16,20.27302467600648
2018-09-23,12.013477859125743
2018-09-30,23.025832563324343
2018-11-04,15.016847323907179
2018-11-18,15.767408901370754
2018-12-02,20.77302467600648
2018-12-09,12.764039436589316
2018-12-16,14.266285746443607
2018-12-23,16.017970478834325
2019-01-20,11.012354704198598
2019-02-17,24.77751729571506
2019-02-24,15.767408901370754
2019-04-14,22.024709408397197
2019-05-05,30.784256225277932
2019-06-23,21.02358625347005
2019-06-30,19.771901521079336
2019-07-21,16.017970478834325
2019-10-13,18.020216788688614
2019-12-01,21.774147830933625
2019-12-08,12.264039436589316
2019-12-15,21.774147830933625
2020-01-05,37.04155673230437
2020-01-12,11.012354704198598
2020-01-19,18.770778366152186
2020-02-23,19.02133994361576
2020-03-29,18.020216788688614
2020-04-12,10.011231549271454
2020-04-19,16.7685320562979
2020-05-03,8.008985239417163
2020-06-14,16.017970478834325
2020-07-12,44.79998039425797
2020-08-23,17.269655211225043
2020-09-06,17.01909363376147
2020-09-27,49.80559616889369
2020-10-11,19.771901521079336
2020-11-01,16.7685320562979
2020-11-22,10.011231549271454
2020-11-29,10.011231549271454
2020-12-27,24.77751729571506
2021-01-03,25.028078873178632
2021-01-10,14.015724168980034
2021-01-24,33.0370641125958
2021-01-31,9.010108394344307
2021-02-14,9.26066997180788
2021-03-21,14.266285746443607
2021-04-04,22.024709408397197
2021-04-18,14.766285746443607
2021-05-02,30.284256225277932
2021-05-23,9.26066997180788
2021-05-30,12.764039436589316
2021-06-13,22.77527098586077
2021-06-27,49.80559616889369
2021-07-04,25.278640450642207
2021-07-18,14.015724168980034
2021-07-25,13.26516259151646
2021-09-26,15.767408901370754
2021-10-03,16.2685320562979
2021-11-07,10.011231549271454
2021-11-21,11.262916281662172
2021-12-05,18.020216788688614
2021-12-12,15.016847323907179
2022-01-02,11.525832563324343
2022-01-23,21.047172506940104
2022-01-30,14.031448337960068
2022-02-06,11.024709408397197
2022-02-13,15.03369464781436
2022-02-27,10.523586253470052
2022-04-03,25.056157746357265
2022-04-10,13.530325183032923
2022-05-08,15.03369464781436
2022-05-15,16.537064112595797
2022-05-22,10.022463098542907
2022-06-12,27.561773520992993
2022-06-19,50.11231549271453
2022-07-31,10.022463098542907
2022-08-14,9.020216788688616
2022-08-28,16.03594095766865
2022-09-04,12.026955718251488
2022-09-11,20.044926197085815
2022-09-18,19.543803042158668
2022-10-09,13.029202028105779
2022-11-13,13.029202028105779
2022-11-27,23.051665126648686
2022-12-11,22.55054197172154
2022-12-18,16.537064112595797
2022-12-25,10.022463098542907
