,MVT_GT_Omaha NE
2017-01-08,25.0
2017-01-15,16.0
2017-02-19,13.0
2017-03-12,10.0
2017-03-26,11.0
2017-04-02,23.0
2017-04-09,19.0
2017-04-23,28.0
2017-05-28,100.0
2017-07-09,11.0
2017-07-30,13.0
2017-08-06,29.0
2017-08-20,32.0
2017-09-03,12.0
2017-09-10,22.0
2017-09-17,20.0
2017-09-24,25.0
2017-10-08,68.0
2017-10-22,12.0
2017-10-29,22.0
2017-11-12,11.0
2017-12-03,12.0
2018-01-21,15.865824056925927
2018-01-28,24.270685528804446
2018-02-25,37.06334477434518
2018-04-01,12.792659245540742
2018-04-22,17.809722943757038
2018-05-06,14.236558132371853
2018-05-13,11.978026283263706
2018-05-20,18.124355906034076
2018-06-17,21.69752071741926
2018-07-08,10.034127396432593
2018-07-15,21.19752071741926
2018-07-22,10.034127396432593
2018-08-05,10.034127396432593
2018-08-26,12.292659245540742
2018-10-21,10.84876035870963
2018-11-04,18.124355906034076
2018-11-11,12.292659245540742
2018-12-23,12.792659245540742
2019-01-13,20.068254792865186
2019-03-17,14.736558132371853
2019-03-24,10.034127396432593
2019-04-28,32.04628107612889
2019-05-05,15.051191094648889
2019-05-12,41.76577551028444
2019-05-26,13.107292207817778
2019-06-02,22.012153679696297
2019-06-23,62.96329622770371
2019-07-07,28.973116264743705
2019-08-18,10.84876035870963
2019-09-08,11.163393320986668
2019-10-20,18.124355906034076
2019-11-03,25.085318491081484
2020-02-02,26.714584415635557
2020-02-16,20.068254792865186
2020-05-24,24.270685528804446
2020-06-21,11.978026283263706
2020-06-28,44.024307359392594
2020-07-12,22.012153679696297
2020-08-02,24.770685528804446
2020-08-09,15.865824056925927
2020-08-30,45.15357328394667
2020-10-04,24.770685528804446
2020-10-11,20.88288775514222
2020-11-29,15.051191094648889
2020-12-20,11.163393320986668
2021-01-10,10.034127396432593
2021-01-24,20.068254792865186
2021-01-31,22.826786641973335
2021-02-07,11.163393320986668
2021-02-21,33.99017996296
2021-03-07,18.938988868311114
2021-04-04,42.89504143483852
2021-04-11,16.18045701920296
2021-05-02,23.95605256652741
2021-05-09,13.921925170094816
2021-06-06,36.74871181206815
2021-06-13,27.843850340189633
2021-06-20,21.19752071741926
2021-07-04,13.921925170094816
2021-07-18,13.107292207817778
2021-08-01,18.938988868311114
2021-08-08,13.921925170094816
2021-08-22,20.068254792865186
2021-09-05,22.012153679696297
2021-09-12,18.124355906034076
2021-10-03,19.753621830588152
2021-12-05,14.736558132371853
2021-12-12,22.826786641973335
2021-12-26,25.085318491081484
2022-02-13,45.30714656789334
2022-03-27,16.990179962960003
2022-06-05,22.024307359392594
2022-07-31,54.11686951165038
2022-08-14,25.170636982162968
2022-09-04,25.79990290671704
2022-09-11,19.5072436611763
2022-09-25,13.214584415635557
2022-11-06,10.068254792865186
2022-11-20,11.326786641973335
2022-12-11,15.10238218929778
2022-12-18,12.585318491081484
