,MVT_GT_Omaha NE
2017-01-01,23.0
2017-02-19,25.0
2017-03-05,19.0
2017-03-19,20.0
2017-04-30,79.0
2017-05-14,55.0
2017-09-10,19.0
2017-09-17,18.0
2017-10-15,22.0
2017-11-12,56.0
2017-12-24,22.0
2018-01-07,40.0
2018-01-21,32.0
2018-01-28,22.0
2018-02-25,18.0
2018-04-29,31.0
2018-06-17,20.0
2018-07-29,100.0
2018-08-05,22.0
2018-08-26,32.0
2018-11-25,30.0
2018-12-09,79.0
2018-12-16,48.0
2019-01-20,38.0
2019-04-28,28.0
2019-05-05,34.0
2019-05-26,20.0
2019-06-30,34.0
2019-09-08,17.0
2019-09-15,28.0
2019-10-20,57.0
2019-11-03,20.0
2019-11-17,19.0
2019-11-24,36.0
2019-12-08,17.0
2020-01-12,23.0
2020-02-16,27.0
2020-03-01,18.0
2020-05-03,15.0
2020-05-10,16.0
2020-05-17,42.0
2020-06-28,17.0
2020-11-01,28.0
2020-11-08,18.0
2020-11-29,22.0
2020-12-06,27.0
2021-01-10,49.0
2021-02-14,20.0
2021-03-07,17.0
2021-04-04,20.0
2021-05-02,19.0
2021-05-09,47.0
2021-05-16,20.0
2021-05-23,99.0
2021-06-20,39.0
2021-09-12,19.0
2021-10-03,26.0
2021-10-17,20.0
2021-10-31,24.0
2022-01-16,50.0
2022-02-06,27.0
2022-02-27,27.0
2022-03-13,44.0
2022-03-20,27.0
2022-03-27,19.0
2022-04-17,48.0
2022-04-24,27.0
2022-05-29,40.0
2022-06-26,30.0
2022-07-17,22.0
2022-07-24,50.0
2022-08-14,49.0
2022-09-04,17.0
2022-09-11,16.0
2022-09-25,29.0
2022-10-16,31.0
2022-11-06,39.0
2022-11-20,33.0
2022-12-04,27.0
2022-12-11,26.0
2022-12-18,24.0
2022-12-25,49.0
