date,Detroit MI
2022-10-23,55.978
2022-10-30,21.902
2022-11-06,36.256
2022-11-13,45.846
2022-11-20,19.983
2022-11-27,32.01
2022-12-04,41.248
2022-12-11,36.146
2022-12-18,37.362
2022-12-25,30.806
