,MVT_GT_Miami-Ft. Lauderdale FL
2018-05-13,22.667751627968208
2018-07-29,24.001148782554573
2018-08-12,20.00095731879548
2018-08-26,26.667943091727302
2018-09-09,29.334737400900035
2018-09-23,25.334545937140938
2018-11-04,30.6681345554864
2018-12-16,24.001148782554573
2018-12-30,21.334354473381843
2019-01-13,26.667943091727302
2019-03-03,40.00191463759096
2019-03-10,48.002297565109146
2019-03-24,25.334545937140938
2019-05-05,34.6683260192455
2019-05-12,33.33492886465913
2019-06-09,33.33492886465913
2019-06-16,21.334354473381843
2019-08-18,33.33492886465913
2019-09-15,16.000765855036384
2019-09-22,17.33416300962275
2019-10-27,17.33416300962275
2019-11-03,36.00172317383186
2019-11-10,44.00210610135005
2019-12-08,20.00095731879548
2020-03-15,68.00325488390463
2020-05-03,20.00095731879548
2020-05-17,38.66851748300459
2020-06-28,37.33512032841823
2020-09-06,42.66870894676369
2020-09-13,14.667368700450018
2020-09-27,64.00306342014554
2020-10-04,24.001148782554573
2020-11-29,88.0042122027001
2020-12-27,24.001148782554573
2021-01-17,16.000765855036384
2021-01-31,38.66851748300459
2021-02-14,22.667751627968208
2021-03-07,38.66851748300459
2021-08-01,29.334737400900035
2021-09-12,44.00210610135005
2021-09-26,26.667943091727302
2021-10-31,28.00134024631367
2021-11-07,16.000765855036384
2021-11-28,21.334354473381843
2021-12-05,22.667751627968208
2021-12-26,26.667943091727302
2022-01-02,26.667943091727302
2022-01-23,30.6681345554864
2022-02-13,21.334354473381843
2022-02-27,34.6683260192455
2022-03-06,32.00153171007277
2022-03-13,25.334545937140938
2022-03-20,46.66890041052278
2022-03-27,17.33416300962275
2022-04-10,13.333971545863651
2022-04-17,41.33531179217732
2022-05-22,30.6681345554864
2022-05-29,60.002871956386436
2022-06-05,16.000765855036384
2022-06-12,24.001148782554573
2022-06-26,49.33569471969551
2022-07-03,33.33492886465913
2022-07-10,17.33416300962275
2022-07-24,53.335886183454605
2022-09-04,92.0044036664592
2022-09-11,49.33569471969551
2022-09-18,16.000765855036384
2022-09-25,20.00095731879548
2022-10-02,32.00153171007277
2022-10-09,64.00306342014554
2022-10-16,26.667943091727302
2022-10-30,32.00153171007277
2022-11-13,58.66947480180007
2022-11-20,36.00172317383186
2022-11-27,18.667560164209114
2022-12-11,28.00134024631367
2022-12-18,14.667368700450018
2022-12-25,45.335503255936416
