,MVT_GT_Charlotte NC
2017-01-01,100.0
2017-01-15,44.0
2017-02-05,58.0
2017-02-19,18.0
2017-03-05,51.0
2017-03-12,34.0
2017-03-19,24.0
2017-03-26,30.0
2017-04-02,23.0
2017-04-09,26.0
2017-04-23,19.0
2017-05-07,50.0
2017-07-09,47.0
2017-07-16,30.0
2017-07-23,20.0
2017-08-20,22.0
2017-09-03,39.0
2017-09-10,14.0
2017-09-17,41.0
2017-09-24,16.0
2017-10-01,29.0
2017-10-08,15.0
2017-10-15,32.0
2017-10-22,33.0
2017-10-29,21.0
2017-11-12,29.0
2017-11-19,44.0
2017-11-26,53.0
2018-01-28,61.70675664664386
2018-02-04,61.20675664664386
2018-02-18,16.94435807782706
2018-03-04,73.34810797597264
2018-03-25,56.019915440062526
2018-04-29,34.772550613737174
2018-05-20,48.68157085923204
2018-07-01,33.88871615565412
2018-07-08,19.095861452076207
2018-07-22,65.1259289370591
2018-08-12,21.747364826325352
2018-08-26,45.14623302689985
2018-09-09,23.015033742491447
2018-10-07,19.979695910159258
2018-10-28,26.93420603290669
2018-11-11,34.272550613737174
2018-12-16,18.71202699399316
2018-12-30,23.898868200574498
2019-01-06,14.792854703577916
2019-01-13,62.974425562809955
2019-01-20,36.04021952990327
2019-02-03,33.88871615565412
2019-02-10,29.085709407155832
2019-03-03,55.136080981979475
2019-03-10,66.00976339514216
2019-03-24,48.18157085923204
2019-03-31,36.92405398798632
2019-05-26,19.979695910159258
2019-06-02,17.828192535910112
2019-06-09,28.20187494907279
2019-07-14,55.136080981979475
2019-07-28,28.20187494907279
2019-08-11,23.015033742491447
2019-08-25,66.3935978532252
2019-09-01,17.828192535910112
2019-10-27,28.70187494907279
2019-11-10,61.20675664664386
2019-12-08,40.84322627840156
2019-12-22,34.272550613737174
2019-12-29,52.98457760773033
2020-01-05,13.025185787411822
2020-02-02,23.015033742491447
2020-02-16,24.782702658657545
2020-02-23,16.94435807782706
2020-03-15,46.913901943065945
2020-03-29,66.00976339514216
2020-04-19,40.84322627840156
2020-05-17,62.974425562809955
2020-05-24,41.2270607364846
2020-05-31,33.88871615565412
2020-06-14,20.8635303682423
2020-06-28,36.42405398798632
2020-07-19,33.00488169757108
2020-07-26,22.1311992844084
2020-08-02,29.969543865238883
2020-08-16,21.247364826325352
2020-08-23,15.676689161660965
2020-08-30,14.292854703577916
2020-09-06,16.44435807782706
2020-09-13,29.085709407155832
2020-09-20,17.828192535910112
2020-10-11,16.94435807782706
2020-10-18,37.30788844606937
2020-10-25,25.666537116740592
2020-11-01,16.94435807782706
2020-11-15,24.782702658657545
2020-11-22,41.2270607364846
2020-12-06,17.328192535910112
2021-01-03,38.191722904152414
2021-02-14,16.060523619744014
2021-03-07,52.100743149647286
2021-03-14,37.30788844606937
2021-03-21,39.959391820318515
2021-04-04,34.772550613737174
2021-04-11,56.90374989814558
2021-05-09,31.237212781404978
2021-05-16,72.96427351788958
2021-05-23,21.747364826325352
2021-05-30,29.969543865238883
2021-06-06,66.00976339514216
2021-06-27,76.88344580830483
2021-07-11,42.110895194567654
2021-07-18,21.247364826325352
2021-08-08,18.71202699399316
2021-08-15,23.015033742491447
2021-08-29,29.969543865238883
2021-09-05,32.12104723948803
2021-09-12,28.20187494907279
2021-09-26,21.747364826325352
2021-10-03,17.828192535910112
2021-10-24,66.3935978532252
2021-10-31,19.979695910159258
2021-11-07,42.110895194567654
2021-11-14,21.247364826325352
2021-11-21,72.08043905980654
2021-11-28,27.318040490989738
2021-12-05,56.019915440062526
2021-12-12,18.71202699399316
2021-12-19,24.282702658657545
2021-12-26,51.716908691564235
2022-01-30,56.03983088012505
2022-02-27,15.35337832332193
2022-03-13,36.84810797597264
2022-03-20,36.08043905980654
2022-03-27,19.191722904152414
2022-04-17,42.22179038913531
2022-04-24,17.65638507182022
2022-05-01,19.959391820318512
2022-05-08,36.08043905980654
2022-05-15,16.888716155654123
2022-05-22,62.18118220945382
2022-05-29,50.666148466962376
2022-06-12,19.191722904152414
2022-07-03,18.42405398798632
2022-07-17,17.65638507182022
2022-07-24,41.45412147296921
2022-08-14,18.42405398798632
2022-08-21,20.727060736484606
2022-08-28,45.2924660537997
2022-09-04,19.191722904152414
2022-09-18,27.636080981979475
2022-09-25,30.70675664664386
2022-10-23,36.08043905980654
2022-12-11,13.818040490989738
2022-12-18,24.56540531731509
