date,Phoenix AZ
2022-04-24,37.968
2022-05-08,50.465
2022-05-22,34.59
2022-05-29,43.032
2022-06-05,42.159
2022-06-12,36.155
2022-06-19,18.899
2022-06-26,22.85
2022-07-03,37.608
2022-07-10,42.886
2022-07-17,42.849
2022-07-24,64.719
2022-07-31,51.55
2022-08-07,25.45
2022-08-14,39.865
2022-08-21,30.529
2022-08-28,29.751
2022-09-04,55.357
2022-09-11,25.939
2022-09-18,43.246
2022-09-25,17.755
2022-10-02,34.093
2022-10-09,32.932
2022-10-16,29.52
2022-10-23,25.198
2022-10-30,16.782
2022-11-06,24.983
2022-11-13,28.462
2022-11-20,35.859
2022-11-27,45.943
2022-12-04,64.817
2022-12-11,63.877
2022-12-18,19.868
