,MVT_GT_Raleigh-Durham (Fayetteville) NC
2017-01-22,24.0
2017-01-29,22.0
2017-02-26,33.0
2017-03-05,30.0
2017-04-30,27.0
2017-05-21,25.0
2017-05-28,29.0
2017-06-25,34.0
2017-07-16,52.0
2017-08-20,100.0
2017-10-15,40.0
2017-11-19,50.0
2017-12-03,51.0
2017-12-10,77.0
2017-12-17,69.0
2017-12-24,41.0
2018-03-04,37.7457599946562
2018-03-25,45.26270856493967
2018-04-15,51.88700189738237
2018-04-22,25.943500948691185
2018-05-06,18.8728799973281
2018-05-13,27.83615618653196
2018-06-17,26.889828567611573
2018-06-24,39.63841523249697
2018-07-15,28.282483805452344
2018-07-22,68.86722665686969
2018-07-29,44.31638094601928
2018-08-12,36.29943237573581
2018-09-02,45.76270856493967
2018-10-14,29.72881142437273
2018-10-21,24.050845710850414
2018-11-04,30.675139043293115
2018-11-18,52.333329516302754
2018-11-25,16.980224759487328
2018-12-30,24.9971733297708
2019-01-20,37.2457599946562
2019-01-27,25.943500948691185
2019-02-03,22.65819047300964
2019-02-10,45.76270856493967
2019-02-24,24.050845710850414
2019-03-03,89.13276189203856
2019-03-10,49.9943466595416
2019-03-17,17.926552378407713
2019-03-24,32.067794281133885
2019-03-31,22.65819047300964
2019-04-07,17.926552378407713
2019-04-28,33.960449518974656
2019-05-12,30.175139043293115
2019-05-26,21.711862854089254
2019-06-23,39.13841523249697
2019-07-14,21.211862854089254
2019-08-11,64.13558856226777
2019-08-25,37.2457599946562
2019-09-01,17.926552378407713
2019-09-22,20.26553523516887
2019-10-20,45.26270856493967
2019-11-03,33.960449518974656
2019-11-10,60.85027808658623
2019-11-17,27.83615618653196
2019-11-24,55.67231237306392
2019-12-01,56.118639991984296
2019-12-29,33.01412190005427
2020-01-05,28.782483805452344
2020-01-12,28.282483805452344
2020-01-19,23.60451809193003
2020-01-26,35.353104756815426
2020-02-09,17.926552378407713
2020-02-16,26.889828567611573
2020-02-23,19.819207616248484
2020-04-12,24.9971733297708
2020-05-24,33.01412190005427
2020-05-31,83.95479617851626
2020-06-07,19.319207616248484
2020-06-28,24.050845710850414
2020-07-05,24.9971733297708
2020-07-12,31.1214666622135
2020-07-19,28.282483805452344
2020-07-26,27.83615618653196
2020-08-09,47.65536380278044
2020-08-16,46.20903618386006
2020-08-23,47.15536380278044
2020-09-06,16.033897140566943
2020-09-13,15.087569521646557
2020-09-27,57.06496761090469
2020-10-18,21.211862854089254
2020-11-01,18.8728799973281
2020-11-15,21.211862854089254
2020-11-22,39.13841523249697
2020-12-13,45.26270856493967
2020-12-20,53.27965713522315
2021-01-03,43.8700533270989
2021-02-07,17.926552378407713
2021-05-16,39.13841523249697
2021-05-30,17.926552378407713
2021-06-06,27.83615618653196
2021-06-27,67.92089903794931
2021-07-11,24.9971733297708
2021-08-15,47.15536380278044
2021-08-29,37.2457599946562
2021-09-05,24.9971733297708
2021-10-17,22.15819047300964
2021-12-19,79.22315808391433
2022-01-09,20.531070470337742
2022-01-30,23.209036183860057
2022-02-06,32.13558856226777
2022-02-27,43.740106654197795
2022-03-06,34.81355427579008
2022-03-20,15.175139043293113
2022-04-03,20.531070470337742
2022-04-10,16.067794281133885
2022-04-17,41.954796178516254
2022-04-24,18.7457599946562
2022-05-08,33.02824380010854
2022-05-15,33.02824380010854
2022-05-29,22.316380946019283
2022-06-05,18.7457599946562
2022-06-12,17.853104756815426
2022-06-19,45.525417129879344
2022-06-26,73.19772950294325
2022-07-03,31.242933324427
2022-07-31,58.91524569749091
2022-08-07,47.310727605560885
2022-08-14,63.37852188669477
2022-08-21,30.350278086586226
2022-09-11,16.067794281133885
2022-09-25,41.954796178516254
2022-10-09,45.525417129879344
2022-10-23,16.067794281133885
2022-11-06,40.16948570283471
2022-11-13,16.960449518974656
2022-12-04,23.209036183860057
2022-12-11,33.02824380010854
2022-12-18,28.564967610904684
2022-12-25,83.01693711919174
