,MVT_GT_Tucson AZ
2017-01-15,53.0
2017-01-22,48.0
2017-03-05,18.0
2017-03-19,29.0
2017-03-26,37.0
2017-04-16,20.0
2017-04-23,43.0
2017-04-30,22.0
2017-06-04,21.0
2017-06-25,34.0
2017-07-09,25.0
2017-09-24,100.0
2017-12-31,27.0
2018-01-07,38.00580647889002
2018-02-18,33.29582898134467
2018-03-04,54.90372096956235
2018-03-18,29.085851483799317
2018-03-25,45.041770474962576
2018-04-08,26.259864985272106
2018-05-06,30.469842482817455
2018-05-20,28.143855984290248
2018-05-27,45.98376597447165
2018-08-05,52.07773447103514
2018-09-02,36.12181547987188
2018-10-21,23.433878486744895
2018-11-18,27.201860484781175
2018-12-30,20.665896488708615
2019-01-13,35.17981998036281
2019-03-03,23.933878486744895
2019-03-24,18.281905489690473
2019-05-05,88.19954995090703
2019-05-26,31.911837982326524
2019-06-23,31.911837982326524
2019-06-30,31.911837982326524
2019-08-04,20.665896488708615
2019-08-18,20.665896488708615
2019-10-13,38.947801978399085
2020-02-23,40.83179297741723
2020-03-15,17.339909990181404
2020-05-17,37.063810979380946
2020-05-24,15.013923491654193
2020-06-28,18.781905489690473
2020-07-19,18.281905489690473
2020-08-23,17.339909990181404
2020-11-01,31.911837982326524
2020-11-15,22.991882987235826
2020-11-22,30.969842482817455
2020-11-29,24.875873986253964
2020-12-20,19.723900989199542
2021-01-31,15.013923491654193
2021-02-07,21.607891988217684
2021-02-14,53.01972997054421
2021-03-14,26.759864985272106
2021-04-04,36.12181547987188
2021-07-25,33.79582898134467
2021-10-17,25.817869485763033
2021-10-31,24.875873986253964
2021-11-21,17.839909990181404
2021-11-28,47.86775697348979
2021-12-05,55.84571646907142
2021-12-19,41.2737884769263
2022-02-13,15.027846983308386
2022-03-06,17.679819980362808
2022-03-20,22.98376597447165
2022-04-17,67.18331592537866
2022-06-19,15.911837982326526
2022-08-07,15.911837982326526
2022-08-21,17.679819980362808
2022-09-11,19.447801978399088
2022-10-30,24.751747972507932
2022-11-20,40.66358595483446
2022-11-27,29.171702967598634
2022-12-11,17.679819980362808
2022-12-18,22.09977497545351
